iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,normdx,stepsize,df0,linesearch_status,linesearch_counter
0,0.0,0.811187178447836,1.1430445635548513e-15,4.415856303022538,3.7268230397365465,2.368665641122175,0.0,0.0,0.0,0.0,1,,1.0,,,,,,,,,,,,
1,0.6198723316192627,0.7975138194832543,1.1693139301532305,0.043185957039519794,0.04318476786990843,0.0003204831374256423,0.0,0.0,0.0,0.0,1,0.0025528755499266706,0.0025528755499266706,optimal,10.0,2.082999520833762e-14,-0.018351083783266917,-0.018351083783287748,7.227427919464025e-16,2.831982833996786e-15,2.2486261411406807,0.5314410000000002,0.032576018537115406,1.0,6.0
2,1.113083839416504,0.7892185249684697,0.9909345778073049,0.03144900236848036,0.0313804299713286,0.0001755108535286312,0.0,0.0,0.002068226469107936,0.000129264154319246,1,0.0011083861452790347,0.0011083861452790347,optimal,11.0,1.7491509098315857e-14,-0.009515471959651056,-0.009515471959668547,5.169267680570881e-16,3.602980094495584e-15,1.69935152110526,0.5904900000000002,0.018131741352373772,1.0,5.0
3,1.5827996730804443,0.7816792976071663,1.101089991541289,0.02446105120378929,0.02446069022516753,0.00013288981448952383,0.0,0.0,0.0,0.0,1,0.002127205827888611,0.002127205827888611,optimal,10.0,6.740385921666907e-13,-0.007030822422970341,-0.007030822423644381,5.492296071442175e-16,8.947748901328312e-16,1.3820505211263845,0.81,0.012609812760079825,1.0,2.0
4,2.0546364784240723,0.7781898299379587,0.9061632315432624,0.020821137460041387,0.020820121242872837,0.00020570989770538308,0.0,0.0,0.0,0.0,1,0.0012952923438514926,0.0012952923438514926,optimal,10.0,6.172208548892145e-14,-0.0041540165893946095,-0.004154016589456332,3.9012771029357943e-16,2.2911908228352867e-15,1.5450970965085902,0.5904900000000002,0.006949123351126096,1.0,5.0
5,2.5271573066711426,0.7760248270245186,1.1850642715197712,0.019240955458319643,0.01923863075330954,0.00029908809212824815,0.0,0.0,0.0,0.0,1,0.001956727677172037,0.001956727677172037,optimal,9.0,5.115124135108933e-13,-0.005909111913529535,-0.005909111914041047,5.611680562685674e-16,7.695103017460644e-16,5.776380639759403,0.2058911320946491,0.010240581838251692,1.0,15.0
6,3.002883195877075,0.7748139082367177,0.35984542101875916,0.01774345143165491,0.017740785853432733,0.000307548386660795,0.0,0.0,0.0,0.0,1,0.0016629974863760575,0.0016629974863760575,optimal,9.0,9.44505875734119e-13,-0.005441019968881807,-0.005441019969826315,9.2027703856667e-16,3.6792821254591873e-16,2.9612789213442396,0.12157665459056936,0.009798294726103923,1.0,20.0
7,3.475867509841919,0.7744543794296013,0.1591543069475501,0.016426744184337802,0.016424080142069294,0.00029583100676034996,0.0,0.0,0.0,0.0,1,0.005393665141993094,0.005393665141993094,optimal,9.0,2.8124013891420763e-13,-0.005558085211114174,-0.005558085211395414,9.086348837759546e-16,3.283288563570596e-16,4.635218767329002,0.03433683820292516,0.01009794253041505,1.0,32.0
8,3.922713279724121,0.7741819549702454,0.11254593261346861,0.020865364318874653,0.020861704575645467,0.00037098792452696484,0.0,0.0,0.00011872354522646233,9.379810903525215e-06,1,0.012015732771217086,0.012015732771217086,optimal,9.0,3.8361435316467095e-13,-0.004758819613780172,-0.004758819614163789,7.879375005834552e-16,3.655221163633748e-16,3.6420147884659233,0.030903154382632643,0.008242990957918047,1.0,33.0
9,4.368374586105347,0.773727026689791,0.1603090388615806,0.017292186160046734,0.017286099487417713,0.00027179164604329824,0.0,0.0,0.0003538467762818631,2.8785220431943453e-05,1,0.006743049336523345,0.006743049336523345,optimal,9.0,4.4606051007028465e-13,-0.004660952578493029,-0.004660952578939089,5.061857509179624e-16,2.357203511435568e-16,3.0632418605066603,0.0523347633027361,0.008377563359468265,1.0,28.0
