iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,Phi,sigma,rho,maxabsLagmult,stepsize,linesearch_status,linesearch_counter
0,0.0,0.8077336256280888,1.3597399555105185e-15,3.512922416129439,2.3856554284029183,2.5786182498920587,0.0,0,0.0,0.0,27.58905736032857,0.5,1.0,1.0,,,
1,0.6201903820037842,0.8206362256776808,2.5383246352762945,3.3439119999596674,1.8765706060886118,2.7669798687062475,0.0,0,0.06366027028562932,0.003978766892851832,21.36497094242945,0.5,0.8691773396394636,1.1661471812180615,0.25,True,2.0
2,1.2245831489562988,0.8263761993422871,2.5574047555870063,3.143130561078888,1.7730607382045214,2.5905497833364146,0.0,0,0.15577856380285943,0.01083694429932237,18.902680521644086,0.5,0.8417863243556881,1.207259040193225,0.0625,True,4.0
3,1.815288782119751,0.8200238378775992,1.428185258268261,2.291470459323847,1.0910510092442665,2.0150544809460884,0.0,0,0.0,0.0,8.432389566563344,0.5,0.6153265056851741,1.6354570012906549,0.5,True,1.0
4,2.4050605297088623,0.8196694868489236,1.1553899169523167,2.0235321591521034,0.9081271099066173,1.8082903825210013,0.0,0,0.00856993917587738,0.0005356211984923363,6.166849250177243,0.5,0.535803807502244,2.0482654352907077,0.25,True,2.0
5,3.0185132026672363,0.8192806996538369,2.1653994800108256,1.9674615305511907,0.7685537717805906,1.811041779187704,0.0,0,0.018911586852963996,0.0011819741783102497,6.060864979697511,0.5,0.4667208177137589,2.591901531958568,0.25,True,2.0
6,3.6205010414123535,0.8192440718553284,1.2595549811291615,1.7356106060350025,0.6143584079650345,1.6231051857109846,0.0,0,0.020915985799559573,0.0013072491124724733,4.626978927945371,0.5,0.43702700245693993,2.9794662144311306,0.125,True,3.0
7,4.222622871398926,0.8191294584106055,0.4175145657103944,1.7297820562678963,0.6094875732040391,1.6187108919064725,0.0,0,0.021116550845129537,0.001319784427820596,4.602934232818432,0.5,0.43531796149265123,3.0078996198013748,0.0078125,True,7.0
8,4.83571457862854,0.8191138617457917,0.04173906248419209,1.7297376752048816,0.6094511525316187,1.618677169102799,0.0,0,0.021117289750785983,0.001319830609424124,4.60276508673857,0.5,0.4353046765354615,3.0080972637326737,6.103515625e-05,True,14.0
9,5.455685377120972,0.8191049982942169,0.02316207229230452,1.7297271671538041,0.6094421012670092,1.6186693489946669,0.0,0,0.021117211424756598,0.0013198257140472874,4.602734015518949,0.5,0.4353013554059311,3.008138530331659,1.52587890625e-05,True,16.0
10,6.091313123703003,0.819101983638212,0.007772040199139816,1.7297255171968131,0.6094409675677805,1.6186680141244578,0.0,0,0.02111710070569053,0.0013198187941056581,4.602729296292544,0.5,0.4353009402680246,3.008140583515088,1.9073486328125e-06,True,19.0
11,6.739187240600586,0.8191003036592269,0.004312686952760244,1.7297250285848342,0.6094406858483338,1.6186675990574575,0.0,0,0.02111702410576944,0.00131981400661059,4.602728519886733,0.5,0.4353008364834666,3.0081395889884615,4.76837158203125e-07,True,21.0
12,7.378218650817871,0.8190996697524555,0.0016233246654753755,1.7297249164578545,0.6094406507869553,1.6186674928554021,0.0,0,0.02111699213219303,0.0013198120082620643,4.602728458573186,0.5,0.43530082351038224,3.0081387748873882,5.960464477539063e-08,True,24.0
13,8.022331714630127,0.8190995092465414,0.00041063990621848304,1.729724893829769,0.6094406485976662,1.6186674696084902,0.0,0,0.021116983745518566,0.0013198114840949104,4.6027284551877266,0.5,0.43530082269956416,3.0081385273106815,3.725290298461914e-09,True,28.0
14,8.68787407875061,0.8190994874659652,5.571003192226586e-05,1.7297248909222354,0.6094406485282104,1.6186674665425977,0.0,0,0.021116982597459553,0.001319811412341222,4.60272845482996,0.5,0.43530082267422626,3.008138492296128,1.1641532182693481e-10,True,33.0
15,9.35476803779602,0.8190994675500196,5.093928310955177e-05,1.7297248883117817,0.6094406484939853,1.618667463779637,0.0,0,0.021116981546473877,0.0013198113466546173,4.602728454772366,0.5,0.43530082266155723,3.008138460103129,5.820766091346741e-11,True,34.0
16,10.051029682159424,0.8190994624135376,1.313726193386418e-05,1.7297248876443236,0.6094406484918509,1.618667463070728,0.0,0,0.021116981275125176,0.0013198113296953235,4.602728454769977,0.5,0.4353008226607655,3.0081384517588248,3.637978807091713e-12,True,38.0
17,10.729594469070435,0.8190994615850185,2.1190360003025925e-06,1.7297248875368694,0.6094406484917838,1.6186674629564977,0.0,0,0.021116981231344242,0.0013198113269590151,4.602728454769794,0.5,0.4353008226607406,3.008138450411156,1.1368683772161603e-13,True,43.0
18,11.419786214828491,0.8190994612699999,8.056958173174973e-07,1.7297248874960314,0.6094406484917756,1.618667462913078,0.0,0,0.02111698121469717,0.001319811325918573,4.602728454769784,0.5,0.43530082266073766,3.0081384498986417,1.4210854715202004e-14,True,46.0
19,12.120193719863892,0.8190994611818996,2.2532706797685241e-07,1.7297248874846118,0.609440648491776,1.6186674629009354,0.0,0,0.02111698121004144,0.00131981132562759,4.602728454769784,0.5,0.43530082266073733,3.0081384497552968,8.881784197001252e-16,False,51.0
20,12.841285467147827,0.8190994582036407,7.617242537707778e-06,1.729724887099311,0.6094406484918022,1.6186674624912423,0.0,0,0.021116981052653413,0.0013198113157908383,4.602728454776526,0.5,0.43530082266073716,3.0081384449093718,8.881784197001252e-16,False,51.0
21,13.5443274974823,0.8190994595783668,3.516004133746691e-06,1.7297248872771718,0.6094406484915297,1.618667462680461,0.0,0,0.021116981125313593,0.0013198113203320995,4.602728454775154,0.5,0.4353008226606383,3.008138447147847,4.547473508864641e-13,True,41.0
