iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,Phi,sigma,rho,maxabsLagmult,stepsize,linesearch_status,linesearch_counter
16,9.440897226333618,0.8058486281747335,0.012445456773409991,1.824654274309711,0.7331499927008915,1.6681432502945228,0.0,0,0.09342213778750175,0.007126913883919455,5.22939689125362,0.5,0.4073600315645582,3.3997381712159314,3.814697265625e-06,True,18.0
17,10.046832799911499,0.8058505333844593,0.008676930305249755,1.8246521619031317,0.7331485885197515,1.6681415573594403,0.0,0,0.09342214686163786,0.0071269092165978515,5.229390816321097,0.5,0.40735964307453315,3.399741241221557,1.9073486328125e-06,True,19.0
18,10.64859914779663,0.8058518533313008,0.006003631588822316,1.8246510570708323,0.7331478864779989,1.668140654859246,0.0,0,0.09342220687074465,0.0071269088976180645,5.229387612469229,0.5,0.40735944882971287,3.3997417543050967,9.5367431640625e-07,True,20.0
19,11.253053903579712,0.8058527547367933,0.004096133271976533,1.824650470331645,0.7331475355312366,1.6681401643277978,0.0,0,0.09342227069578612,0.007126909897481201,5.229385871124351,0.5,0.4073593517073618,3.399741339280403,4.76837158203125e-07,True,21.0
20,11.852176666259766,0.8058539559765225,0.005459600920417186,1.8246499785701793,0.7331471835108296,1.6681397671599851,0.0,0,0.09342253507912623,0.007126922243312947,5.229385676283314,0.5,0.4073592545847981,3.3997400875299952,4.76837158203125e-07,True,21.0
21,12.460731744766235,0.8058544995181804,0.0024673026469814534,1.8246498195819876,0.7331470956078363,1.6681396267664574,0.0,0,0.09342263361527059,0.007126926395810826,5.229385468382264,0.5,0.40735923030418353,3.399739098073711,1.1920928955078125e-07,True,23.0
22,13.066807508468628,0.8058549280639753,0.0019446973148732794,1.8246497321242634,0.7331470515928846,1.6681395458528674,0.0,0,0.09342272138918029,0.0071269302585544245,5.229385452665977,0.5,0.40735921816386256,3.3997381669976914,5.960464477539063e-08,True,24.0
23,13.6995108127594,0.8058551248208266,0.000892467279941554,1.8246497002673654,0.7331470406011712,1.6681395138770951,0.0,0,0.09342275908396247,0.00712693185434935,5.2293854311379535,0.5,0.407359215128785,3.3997376848991476,1.4901161193847656e-08,True,26.0
24,14.318541765213013,0.8058552046597967,0.0003620617346241363,1.8246496887206682,0.7331470378589323,1.6681395016949454,0.0,0,0.09342277370490248,0.007126932456945121,5.229385417669736,0.5,0.4073592143700169,3.3997374791083845,3.725290298461914e-09,True,28.0
25,14.93430495262146,0.8058553114941859,0.0004844907320807231,1.824649675575069,0.733147035107935,1.668139487432141,0.0,0,0.09342279469488135,0.007126933350832351,5.229385416544125,0.5,0.4073592136112467,3.3997371981868234,3.725290298461914e-09,True,28.0
26,15.563613653182983,0.8058553603062228,0.0002213365598787913,1.8246496700793111,0.7331470344209978,1.6681394812326806,0.0,0,0.09342280412118842,0.007126933748079158,5.229385415110325,0.5,0.40735921342155446,3.39973706645835,9.313225746154785e-10,True,30.0
27,16.188635110855103,0.8058553799273442,8.896648085041031e-05,1.8246496679535746,0.7331470342496285,1.6681394787882415,0.0,0,0.09342280786834545,0.007126933904969918,5.2293854142360585,0.5,0.4073592133741314,3.399737012887131,2.3283064365386963e-10,True,32.0
28,16.823724508285522,0.8058554058926168,0.0001177326521834837,1.8246496652767872,0.7331470340777577,1.6681394756737027,0.0,0,0.09342281291052923,0.007126934117711807,5.229385414070061,0.5,0.4073592133267082,3.399736941663025,2.3283064365386963e-10,True,32.0
29,17.455228567123413,0.8058554172397092,5.14489629152658e-05,1.8246496641346837,0.7331470340348594,1.6681394743293407,0.0,0,0.09342281510343153,0.007126934209968662,5.229385413931124,0.5,0.40735921331485253,3.399736910346601,5.820766091346741e-11,True,34.0
30,18.08148741722107,0.8058554256689873,3.821899495564063e-05,1.8246496633009803,0.7331470340134003,1.668139473342021,0.0,0,0.09342281673560326,0.007126934278682654,5.229385413878033,0.5,0.4073592133089246,3.3997368870209024,2.9103830456733704e-11,True,35.0
31,18.720542907714844,0.8058554322623854,2.9894825905099626e-05,1.8246496626578306,0.7331470340026568,1.6681394725767704,0.0,0,0.09342281801461771,0.0071269343325663665,5.22938541387092,0.5,0.40735921330596064,3.3997368687394394,1.4551915228366852e-11,True,36.0
32,19.573636293411255,0.8058554352138252,1.3381894379953291e-05,1.824649662371803,0.7331470339999753,1.6681394722353637,0.0,0,0.09342281858649759,0.007126934356642414,5.22938541386386,0.5,0.4073592133052196,3.399736860543406,3.637978807091713e-12,True,38.0
33,20.285492181777954,0.8058554374973129,1.0353369029243189e-05,1.824649662151584,0.7331470339986323,1.6681394719720632,0.0,0,0.09342281902922189,0.007126934375285315,5.2293854138624285,0.5,0.4073592133048492,3.3997368541978776,1.8189894035458565e-12,True,39.0
34,20.976957321166992,0.805855438487957,4.4915835336907696e-06,1.8246496620562593,0.733147033998298,1.6681394718579643,0.0,0,0.0934228192212061,0.00712693438336759,5.229385413861303,0.5,0.40735921330475655,3.399736851443537,4.547473508864641e-13,True,41.0
35,21.627777576446533,0.8058554392154955,3.2986599942141166e-06,1.8246496619863608,0.7331470339981292,1.6681394717742528,0.0,0,0.0934228193622233,0.007126934389304548,5.229385413860832,0.5,0.4073592133047102,3.3997368494202544,2.2737367544323206e-13,True,42.0
36,22.28464698791504,0.805855439769815,2.5132849993154038e-06,1.8246496619331691,0.7331470339980466,1.668139471710522,0.0,0,0.0934228194696809,0.007126934393828848,5.22938541386071,0.5,0.40735921330468705,3.3997368478784313,1.1368683772161603e-13,True,43.0
37,22.9615740776062,0.8058554400005686,1.0462371813565699e-06,1.824649661911037,0.7331470339980244,1.6681394716839988,0.0,0,0.09342281951440845,0.007126934395711889,5.229385413860623,0.5,0.4073592133046812,3.3997368472365137,2.842170943040401e-14,True,45.0
38,23.635383129119873,0.8058554401600883,7.232606627915279e-07,1.8246496618957424,0.733147033998014,1.6681394716656666,0.0,0,0.09342281954532972,0.007126934397013701,5.229385413860568,0.5,0.40735921330467845,3.399736846792734,1.4210854715202004e-14,True,46.0
39,24.29853868484497,0.8058554403772372,9.845523612098037e-07,1.8246496618749317,0.7331470339980031,1.6681394716407203,0.0,0,0.09342281958742737,0.007126934398786155,5.229385413860566,0.5,0.4073592133046755,3.399736846188608,1.4210854715202004e-14,True,46.0
40,25.01717472076416,0.8058554404037861,1.2037181387949167e-07,1.8246496618723886,0.7331470339980041,1.6681394716376705,0.0,0,0.09342281959257348,0.0071269343990028045,5.22938541386057,0.5,0.4073592133046753,3.3997368461147435,8.881784197001252e-16,False,51.0
41,25.705629587173462,0.805855440463915,2.7262472973622777e-07,1.8246496618666266,0.7331470339980009,1.6681394716307636,0.0,0,0.09342281960422949,0.007126934399493542,5.22938541386056,0.5,0.407359213304675,3.39973684594745,1.7763568394002505e-15,True,49.0
42,26.36721420288086,0.8058554405072356,1.9641523277729235e-07,1.8246496618624777,0.733147033998002,1.6681394716257882,0.0,0,0.09342281961262744,0.007126934399847112,5.229385413860572,0.5,0.40735921330467484,3.3997368458269204,8.881784197001252e-16,False,51.0
43,693.1630449295044,0.8058554405701422,2.85218576533726e-07,1.8246496618564494,0.7331470339979984,1.6681394716185622,0.0,0,0.09342281962482257,0.007126934400360559,5.229385413860558,0.5,0.4073592133046746,3.3997368456518946,8.881784197001252e-16,True,50.0
