iteration,time,cost,distance,residual,gradnorm,maxviolation,meanviolation,rho,maxabsLagmult
0,0.0,-0.0135631676729319,0.0,1.741844388615683,1.4261913876306862,0.0,0.0,0.1,1.0
1,0.009290695190429688,-0.5320735453862699,0.6290846672336428,0.9370886356776309,0.00042349991020072824,0.0,0.0,0.1,0.9947565665141969
2,0.010303974151611328,-0.5321021871333559,0.00012207031348528594,0.8747349653537795,0.00039092485949059736,0.0,0.0,0.33333333333333337,0.989512633686855
3,0.011228799819946289,-0.5320988992421,0.00012207031348528594,0.6729686934726239,0.0004122802174201269,0.0,0.0,1.1111111111111114,0.9720414111601773
4,0.017702817916870117,-0.6005211037378702,0.10812677547407318,0.2552951044046937,0.0006110063586634467,0.0,0.0,1.1111111111111114,0.9359390221648851
5,0.027046918869018555,-0.7247791591847422,0.20715502746954792,0.07721607107869302,0.00032789025148991256,0.0,0.0,1.1111111111111114,0.9327731787332466
6,0.034549713134765625,-0.739895030737796,0.09699169137429411,0.020395655140909005,0.00021029231081980446,0.0,0.0,1.1111111111111114,0.9276705442755689
7,0.04073977470397949,-0.792570175567819,0.16518766824135284,0.05187899983161787,0.0002584765846515355,0.04535480223559639,0.012328145408739291,1.1111111111111114,0.945766016284569
8,0.04837298393249512,-0.7657325869525398,0.07403320890253914,0.00755028019210758,0.0003036121552689159,0.004452039096763408,0.0008904078193526816,1.1111111111111114,0.9507127263920839
9,0.054570913314819336,-0.7740552104589167,0.029114273202057072,0.011746582648278915,4.95835424024219e-05,0.006836155856890837,0.0027193117480078257,1.1111111111111114,0.9583084551219626
10,0.06090188026428223,-0.7687362262032384,0.012485032186314568,0.005514561740779168,0.00012703607192175815,0.003918285868251522,0.0007836571736503045,1.1111111111111114,0.9626621060866866
11,0.0685417652130127,-0.7695381950714394,0.005147398420844983,0.005106495039644163,0.00011031564001417064,0.0036276575286047805,0.0008770961323030475,3.7037037037037046,0.9666928366740252
12,0.07211184501647949,-0.7674237713900942,0.002387117109707539,0.0024095640904503598,4.1402374864037185e-05,0.0017254242780126695,0.00034508485560253387,3.7037037037037046,0.973083296962961
13,0.07389163970947266,-0.7666769686486439,0.0008638647636830086,0.0012572070267820922,2.5280221640848045e-05,0.0008990548783063824,0.0001798109756612765,3.7037037037037046,0.9764131298455773
14,0.0755918025970459,-0.7662684433158112,0.0004409909096879637,0.0006522685498061081,5.644115465908938e-05,0.0004644113075542129,9.288226151084259e-05,3.7037037037037046,0.9781331717254077
15,0.07725691795349121,-0.7660490410176827,0.00023414097433011114,0.00032787366367974957,3.061132063979243e-05,0.00023318292767067361,4.663658553413472e-05,3.7037037037037046,0.9789968121982621
16,0.07866477966308594,-0.7659368511848759,0.00012092926723587527,0.00016035151863109275,1.3154583663110728e-05,0.00011413073233628185,2.2826146467256368e-05,3.7037037037037046,0.9794195186143224
17,0.08010387420654297,-0.7658842869068031,5.6688940939289514e-05,8.239290646439525e-05,9.552261112815066e-06,5.843646112605295e-05,1.1687292225210591e-05,3.7037037037037046,0.9796359499518263
18,0.0816347599029541,-0.7658567835151413,2.9733918336915035e-05,4.263856469419174e-05,1.1659680504529534e-05,2.928225881763699e-05,5.8564517635273985e-06,3.7037037037037046,0.979744402762262
19,0.08338475227355957,-0.7658437366471449,1.4283476174694181e-05,2.3060181606462235e-05,8.367858216813904e-06,1.5341868867486322e-05,3.0683737734972644e-06,3.7037037037037046,0.9798012244988082
20,0.08458757400512695,-0.7658388371615064,5.521237154934131e-06,1.6427256181576417e-05,8.507180217701256e-06,1.0034506066730513e-05,2.0069012133461026e-06,3.7037037037037046,0.9798383893360925
21,0.0860128402709961,-0.7658329474877857,6.248065950821225e-06,5.562686187097065e-06,1.3842474463121206e-06,3.846298022761977e-06,7.692596045523954e-07,3.7037037037037046,0.979852634884325
22,0.08716273307800293,-0.7658314045569323,1.704604264939421e-06,3.123512656975108e-06,5.906577693322841e-07,2.1897838625460664e-06,4.3795677250921326e-07,3.7037037037037046,0.9798607451949269
23,0.08827757835388184,-0.7658305623968971,9.328412548238102e-07,2.5444690140564835e-06,1.79454066980824e-06,1.2879419447283138e-06,2.5758838894566273e-07,3.7037037037037046,0.9798655153502778
24,0.08944487571716309,-0.7658297794889772,8.379170846647e-07,7.212613300552515e-07,3.2160157456448675e-07,4.608463851087786e-07,9.216927702175572e-08,3.7037037037037046,0.9798672221887411
