iteration,time,cost,distance,residual,gradnorm,maxviolation,meanviolation,Phi,sigma,rho,maxabsLagmult,stepsize,linesearch_status,linesearch_counter,NTdir_error1,NTdir_error2,NTdir_norm,NTdir_angle
0,0.0,-5.097806468126554e-08,2.1073424255447017e-08,14.138641160394755,13.80595059674307,0.0,0.0,310.1807559110135,0.5,1.0,1.0,,,,,,,
1,2.616209030151367,-5.1315794811653924e-05,0.44651988680028487,13.652701549771733,13.287473001363818,0.0,0.0,294.04683325101286,0.5,0.991832920425315,1.1415117143396496,0.0078125,True,7.0,1.7280818858127266e-12,7.048583938740194e-12,118.07860691678741,0.002955721315330896
2,5.180868148803711,-0.0004751737958293954,0.6547502937068427,12.084313389209022,11.674273286046121,8.40739477449615e-07,1.1062361545389671e-08,241.68127403845833,0.5,0.9503577770354013,1.359387944831376,0.0625,True,4.0,3.2474758391655764e-13,6.821210263296962e-13,23.248080414652907,0.014938168813583822
3,7.6738340854644775,-0.0020563956731189867,1.3898935502187144,7.50905031707771,6.909617131681469,1.6904255475816066e-05,2.2242441415547454e-07,109.75980882453734,0.5,0.752704631340638,1.8032946775479435,0.25,True,2.0,1.0115463462052208e-13,7.389644451905042e-13,15.450158607863553,0.018941633754636027
4,10.21779990196228,-0.0025830508790671523,0.6575295949088786,6.652588465940332,5.968070775772621,0.13320040765335278,0.0025529663485870505,86.45907276818073,0.5,0.6941171625238365,2.6681832328137873,0.125,True,3.0,1.00904200329191e-13,6.252776074688882e-13,14.918280072661585,0.011151902002442794
5,12.77010703086853,-0.0027703208293756287,0.228522409235091,6.250048120568897,5.496353462946417,0.1863416614013311,0.003692843280554811,76.55459445898579,0.5,0.6683409603105668,3.7477173085619357,0.0625,True,4.0,1.9144956292239804e-13,4.831690603168681e-13,22.084447932968057,0.006383488014814917
6,15.330799102783203,-0.0028086397685195682,0.13292694294911825,6.180055855729045,5.39347845987715,0.20340482852366845,0.003722429798704337,74.42234593391403,0.5,0.662354645446905,4.550162626664431,0.015625,True,6.0,1.519314730036768e-13,1.4210854715202004e-14,56.54963530389289,0.002246249238766556
7,17.914213180541992,-0.0028464585379061095,0.13003917964784864,6.117385193965142,5.293714896105063,0.21238133802022802,0.0036120280954227307,72.3864002062282,0.5,0.6565647945001256,5.322955344965061,0.015625,True,6.0,2.4054682341876646e-13,1.2789769243681803e-12,54.663146329155325,0.002264083215456564
8,20.467445135116577,-0.0029221819596697914,0.18614598854128392,5.978000437922514,5.092531970727297,0.21638718815384297,0.0034341076523999934,68.42303069898708,0.5,0.6451507307931148,6.354165057474218,0.03125,True,5.0,7.779954188822369e-14,1.4210854715202004e-13,36.56092028039113,0.0033009259627425425
9,23.042148113250732,-0.0030685170643267555,0.229150100479185,5.665645468319798,4.7019525346269235,0.2086451063708265,0.003372796808290895,61.1131707237779,0.5,0.6230323973637334,7.443932370094164,0.0625,True,4.0,1.2657377555145905e-13,3.552713678800501e-13,20.543424605781592,0.00559174840743598
10,25.63825798034668,-0.003197960322045559,0.15785628182201158,5.354733620178498,4.365636916923354,0.19432134855343694,0.0038488833142567326,54.90263778453059,0.5,0.6017485056222972,7.673633545728754,0.0625,True,4.0,8.914938152994867e-14,3.126388037344441e-13,14.701404535488155,0.0071114595496470055
11,28.230040073394775,-0.0032116829506992958,0.15820889584382847,5.3607068591990545,4.338690223328995,0.19640124325968222,0.0033071197744915727,54.36113464026245,0.5,0.5993081249537221,8.22352880854551,0.00390625,True,8.0,1.5420407868794318e-12,1.9895196601282805e-12,294.5348934459331,0.0003258140019247647
12,30.83260703086853,-0.00326744706243632,0.12467393873629085,5.210709162438649,4.192853961092472,0.188293592777349,0.003935834219076069,51.64202788380348,0.5,0.5887327513533177,8.047097838553224,0.03125,True,5.0,1.574580973809003e-13,2.7000623958883807e-13,26.483788829685263,0.003601767343301569
13,33.391550064086914,-0.0032984864315332286,0.09757327461165179,5.158832407080948,4.1244261494527255,0.18649245684679547,0.003586521481385134,50.377902865626034,0.5,0.5836688845490258,8.395879983070037,0.015625,True,6.0,2.2583890486751298e-13,3.410605131648481e-13,43.35783855058621,0.0021120598864534136
14,35.99978303909302,-0.0033137416714265617,0.07340931837722924,5.136857157990416,4.0911714738206175,0.18571875142640562,0.0032482081652579612,49.75700308393505,0.5,0.5810821810441992,8.608223233680757,0.0078125,True,7.0,5.448039297272719e-13,1.5063505998114124e-12,62.00531403323211,0.0014509372844418921
15,38.606801986694336,-0.003325687634666931,0.0768522195080283,5.09658974532006,4.05799533108593,0.1833554132434386,0.0036683572530187983,49.13420591144616,0.5,0.5784060731049783,8.45636951004492,0.0078125,True,7.0,3.8216592850934353e-13,0.0,63.49145862575212,0.0014046411323965897
16,41.20081901550293,-0.003339802843512424,0.0442258362412624,5.070212144061046,4.025866246576056,0.18222941331820192,0.0034734637868559953,48.55327993591271,0.5,0.5760382029242778,8.586075230953012,0.0078125,True,7.0,1.0908116894902392e-13,5.684341886080802e-14,36.89152916376343,0.0023928423002646027
