iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,stepsize,linesearch_status,linesearch_counter
0,0.0,0.7941402369590693,9.354905487120434e-16,3.473996015739683,2.2901393305338047,2.6122615037774013,0.0,0,0.0,0.0,1,,1.0,,,,,,,,,,
1,0.47516322135925293,0.7901924481157212,0.393181880202194,0.020464530728330137,0.01886324062972881,0.007924552646872519,0.0,0,0.0004202811233714465,2.6267570210715407e-05,1,0.00468214736710159,0.00468214736710159,unknown,9.0,1.0879941956444134e-11,-14545.5218067198,-14545.521806719811,4.730905363416651e-10,1.47058054552717e-10,2.318269218083099e-07,1.0,145.0
2,0.9282867908477783,0.787143054024242,0.383817699477092,0.030845011358266648,0.030215605475227215,0.006199347663828651,0.0,0,0.0,0.0,1,0.01699073482942707,0.01699073482942707,unknown,8.0,8.98755970312732e-12,-39771.59647433013,-39771.59647433013,6.281203847846869e-10,3.442621853009638e-12,1.3689147905858892e-07,1.0,150.0
3,1.4043731689453125,0.7871430540242411,6.113610200967218e-14,0.03634039219377836,0.035732462442694936,0.0066193075603890004,0.0,0,0.0,0.0,1,0.018060859243822103,0.018060859243822103,unknown,8.0,2.6428603714736657e-11,-184757.68543078864,-184757.68543078867,2.296851393552275e-09,9.363833715190815e-12,1.0091985665596432e-20,1.0,437.0
4,1.8930470943450928,0.787143054024241,1.0170591277849098e-14,0.039675428201128675,0.03883235337122903,0.008135596757147806,0.0,0,0.0,0.0,1,0.020054217379765513,0.020054217379765513,unknown,8.0,1.0979314397252072e-10,-190931.55084197837,-190931.5508419785,5.416671879893444e-09,1.458095571631113e-11,1.6830587865558223e-21,1.0,454.0
5,2.383802890777588,0.7871430540242406,3.263687485422702e-14,0.035820421326199274,0.035127072906673856,0.007013653327307466,0.0,0,0.0,0.0,1,0.014971788919979294,0.014971788919979294,unknown,8.0,3.362597715939281e-11,-185613.87878213052,-185613.87878213057,1.4654055209949133e-09,1.3652846813130212e-11,5.363294954110234e-21,1.0,443.0
6,2.8688948154449463,0.7871430540242405,1.0409562029549918e-14,0.04111766688083748,0.04036876342832528,0.007811879990848985,0.0,0,0.0,0.0,1,0.02094004963940045,0.02094004963940045,unknown,8.0,2.593923993101795e-11,-181528.47744711846,-181528.4774471185,3.3194595567614888e-09,1.4496047035129147e-11,1.6830587865558223e-21,1.0,454.0
7,3.3281748294830322,0.7871430540242402,7.49379981654305e-15,0.03335130399626758,0.03221057634749359,0.008648019982269968,0.0,0,0.0,0.0,1,0.012096346277287014,0.012096346277287014,unknown,8.0,1.1328702423587845e-10,-131052.32090183409,-131052.3209018342,1.250908348362148e-09,9.399715324562131e-12,1.5147529079002402e-21,1.0,455.0
8,3.797142267227173,0.7871430540242402,1.3597399555105181e-15,0.0383433626124998,0.03784451041645474,0.006164940208347225,0.0,0,0.0,0.0,1,0.020817257402406152,0.020817257402406152,unknown,8.0,2.640395935410948e-11,-186145.7552752043,-186145.75527520434,1.4434328069060727e-09,1.056926535268524e-11,1.6321861968899057e-23,1.0,498.0
9,4.259808540344238,0.7871430540242402,5.087681048627601e-16,0.034412280613946356,0.033569163880754364,0.007570752498929349,0.0,0,0.0,0.0,1,0.013453768668418522,0.013453768668418522,unknown,8.0,9.725950033264133e-11,-150793.4065823767,-150793.40658237677,1.882918387689312e-09,7.695239845377256e-12,1.0708773637794672e-23,1.0,502.0
10,4.7249064445495605,0.7871430540242402,3.9510527403750455e-15,0.04040518132686113,0.0397331169382163,0.007338807561896937,0.0,0,0.0,0.0,1,0.02100402762662163,0.02100402762662163,unknown,8.0,1.729291046460406e-11,-181773.54328926327,-181773.54328926333,2.081800517608634e-09,1.0768391215914603e-11,5.868463122928831e-22,1.0,464.0
11,5.1894426345825195,0.7871430540242402,1.3955287025942435e-15,0.03346455211638957,0.032325888394302595,0.008655240485951074,0.0,0,0.0,0.0,1,0.011844766760457209,0.011844766760457209,unknown,8.0,1.2999132920138063e-10,-126024.66548108947,-126024.66548108957,2.9919305782181683e-09,8.733999716780442e-12,1.6321861968899057e-23,1.0,498.0
12,5.662628889083862,0.7871430540242402,1.3506446028928517e-15,0.03877847807151905,0.038267793951436146,0.006272663519886195,0.0,0,0.0,0.0,1,0.020893929044636536,0.020893929044636536,unknown,8.0,2.2709821436669762e-11,-184319.23604376643,-184319.23604376646,3.0686824879339344e-09,1.2689975328067788e-11,6.323423745381376e-24,1.0,507.0
13,6.125418663024902,0.7871430540242402,1.355199909595506e-15,0.03415899312257851,0.03326318395255658,0.007771576705324902,0.0,0,0.0,0.0,1,0.013069821539482156,0.013069821539482156,unknown,8.0,4.323069981019527e-10,-144351.5720782211,-144351.57207822154,1.5685021829096325e-09,1.1449853983783161e-11,1.0708773637794672e-23,1.0,502.0
14,6.607038259506226,0.7871430540242402,1.395528702594244e-15,0.04028318342747005,0.03963911489282877,0.007174638497117328,0.0,0,0.0,0.0,1,0.02105053053763425,0.02105053053763425,unknown,8.0,1.5693060532780094e-11,-181612.86345474998,-181612.86345475,2.1239413163746614e-09,1.707091804960791e-11,7.026026383757084e-24,1.0,506.0
15,7.075684309005737,0.7871430540242402,1.4043333874306805e-15,0.03372488581145842,0.03257429087232764,0.00873404242953406,0.0,0,0.0,0.0,1,0.011606971598822628,0.011606971598822628,unknown,8.0,1.1276451718980313e-10,-123519.70075100986,-123519.70075100992,3.625409641972402e-09,7.679489350255409e-12,1.0708773637794672e-23,1.0,502.0
16,7.546401262283325,0.7871430540242402,1.2008898127460164e-15,0.03906460064306848,0.038546004012600985,0.006344178281146826,0.0,0,0.0,0.0,1,0.02092117239066588,0.02092117239066588,unknown,8.0,2.0153468718482645e-11,-183016.44931297025,-183016.44931297028,2.485976766636414e-09,9.760960076343764e-12,6.323423745381376e-24,1.0,507.0
17,8.012866020202637,0.7871430540242402,1.5018818698107818e-15,0.03398949701985247,0.03305269315712601,0.007924984714397601,0.0,0,0.0,0.0,1,0.012805338059828314,0.012805338059828314,unknown,8.0,2.940774016595244e-10,-139308.98440465052,-139308.9844046509,4.308440969613622e-09,8.814994574083881e-12,1.0708773637794672e-23,1.0,502.0
18,8.485190629959106,0.7871430540242402,1.570092458683776e-15,0.0401250459329249,0.03950275595405927,0.007039288540283613,0.0,0,0.0,0.0,1,0.021059956555137288,0.021059956555137288,unknown,8.0,1.5459596416231284e-11,-181670.4246779375,-181670.42467793752,1.7815500271955616e-09,9.723443699026407e-12,7.026026383757084e-24,1.0,506.0
19,8.948485136032104,0.7871430540242402,2.1035723520297832e-15,0.03377235016551235,0.032827174109943305,0.0079339949368178,0.0,0,0.0,0.0,1,0.012311911471591261,0.012311911471591261,unknown,8.0,1.7660948157049357e-10,-134843.36020981905,-134843.3602098192,1.3874210249083958e-09,9.806675364809079e-12,1.0708773637794672e-23,1.0,502.0
20,9.41723895072937,0.7871430540242402,1.4261072965499193e-15,0.039849414766891265,0.039288329590795784,0.006663558751052776,0.0,0,0.0,0.0,1,0.021136838459301928,0.021136838459301928,unknown,8.0,1.830591114513873e-11,-181701.1349263531,-181701.1349263531,4.023844580244996e-09,1.302332677617039e-11,7.026026383757084e-24,1.0,506.0
21,9.878078699111938,0.7871430540242402,1.2803716525534347e-15,0.0338594405209251,0.03290056917207211,0.008000891234341513,0.0,0,0.0,0.0,1,0.012474481363399731,0.012474481363399731,unknown,8.0,1.563446426277142e-10,-136377.543617159,-136377.54361715913,2.0183770822007426e-09,8.249870347937858e-12,1.0708773637794672e-23,1.0,502.0
22,10.354375123977661,0.7871430540242402,1.8544380573903915e-15,0.040041904961910665,0.03944874332889954,0.006866644213099302,0.0,0,0.0,0.0,1,0.021113795708254095,0.021113795708254095,unknown,8.0,1.5717336446643712e-11,-181535.9185207486,-181535.91852074862,1.392818428347757e-09,1.3365941540003724e-11,7.026026383757084e-24,1.0,506.0
23,10.819205284118652,0.7871430540242402,1.497772746187569e-15,0.03377934711627423,0.032824931431595546,0.007972964825759292,0.0,0,0.0,0.0,1,0.012340510992407336,0.012340510992407336,unknown,8.0,1.5765756002331762e-10,-134560.2841605917,-134560.28416059184,1.3104575027116714e-09,1.0726700476525545e-11,1.0708773637794672e-23,1.0,502.0
24,11.29964828491211,0.7871430540242402,1.1801832636420708e-15,0.03990687027712472,0.03933578564730686,0.006727128869316272,0.0,0,0.0,0.0,1,0.021126769558168848,0.021126769558168848,unknown,8.0,1.734024300212239e-11,-181625.82801530248,-181625.82801530254,2.8546633828365693e-09,1.4077415396451741e-11,7.026026383757084e-24,1.0,506.0
25,11.783315420150757,0.7871430540242402,1.0414815143241344e-15,0.0338330474276056,0.03287459758315876,0.007995994746370333,0.0,0,0.0,0.0,1,0.012421969587245804,0.012421969587245804,unknown,8.0,1.555488048168615e-10,-135635.79692579774,-135635.79692579785,1.719633998420983e-09,1.1515066733724284e-11,1.0708773637794672e-23,1.0,502.0
26,12.277243852615356,0.7871430540242402,1.0877919644084142e-15,0.039998992946851504,0.0394134068475323,0.006819295963160026,0.0,0,0.0,0.0,1,0.021118470775270504,0.021118470775270504,unknown,8.0,1.6209462523794533e-11,-181544.11111516578,-181544.1111151658,1.5426242113587696e-09,9.066386772144782e-12,7.026026383757084e-24,1.0,506.0
27,12.761204242706299,0.7871430540242402,1.0706603116298291e-15,0.03379492955980281,0.0328384946419528,0.007983140585162644,0.0,0,0.0,0.0,1,0.012363269623646053,0.012363269623646053,unknown,8.0,1.5345904043105635e-10,-134827.66629983502,-134827.66629983517,1.3963838685125594e-09,1.034824873735892e-11,1.0708773637794672e-23,1.0,502.0
28,13.252025365829468,0.7871430540242402,1.2511578073120693e-15,0.03993474091708887,0.03935916082699938,0.00675573764361891,0.0,0,0.0,0.0,1,0.02112378170904035,0.02112378170904035,unknown,8.0,1.696488334830977e-11,-181598.688197639,-181598.68819763907,3.2316818568776556e-09,1.770923705683259e-11,7.026026383757084e-24,1.0,506.0
29,13.73923945426941,0.7871430540242402,9.485749680535094e-16,0.0338208033432002,0.03286284369284194,0.007992511695284577,0.0,0,0.0,0.0,1,0.012402396224988427,0.012402396224988427,unknown,8.0,1.5441424235997511e-10,-135357.08425490637,-135357.08425490648,2.032734476546474e-09,9.558550734868853e-12,1.0708773637794672e-23,1.0,502.0
