iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,Phi,sigma,rho,maxabsLagmult,normNTdirx,normNTdirw,stepsize,linesearch_status,linesearch_counter,linesearch_RightItem,gradfNTdir,NTdir_error1,NTdir_error2,NTdir_norm,NTdir_angle,CovDerivKKT_minabseigval
0,0.0,0.7975952691105745,1.2462222543165675e-15,4.564583779301644,3.723899318524946,2.639696752233697,0.0,0.0,0.0,0.0,35.93358728337205,0.5,1.0,1.0,,,,,,,,,,,,
1,1.7859077453613281,0.7994885100928687,2.35230879868873,3.7745188791324393,2.904587479487855,2.4099734782950715,0.0,0.0,0.04890988493085707,0.003056867808178567,24.052873515072154,0.5,0.8689233652846031,1.16733657499106,10.328863420486982,10.66755157162867,0.25,True,2.0,-55.8671745667441,0.0095827456258794,3.67734017584747e-14,2.842170943040401e-14,10.66755157162867,0.04131807286900216,7.898196061744263e-05
2,3.58066463470459,0.8028758746835762,2.5931231961754393,2.7723303901928023,1.8365760782542258,2.0767281552705104,0.0,0.0,0.0020664650122492745,0.00012915406326557965,11.140971395666673,0.5,0.6335736864393005,1.5987626974345364,5.664110062297132,6.095194915999252,0.5,True,1.0,-36.02530199434399,0.0095364080598324,2.6111592107491887e-14,2.842170943040401e-14,6.095194915999252,0.08270477921151989,0.00010723030756047286
3,5.374319314956665,0.805596925163449,5.244933852803277,2.387654648984461,1.462112806339302,1.887623072638105,0.0,0.0,0.0,0.0,8.02437574572489,0.5,0.5508505467500978,2.034687940370927,21.664316995742684,21.816412205968454,0.25,True,2.0,-15.859292932960786,0.014133612039887474,6.548348999009715e-14,6.394884621840902e-14,21.816412205968454,0.02941767218893125,-2.534647557173836e-05
4,7.185927391052246,0.8048361738991224,8.186309081224453,2.310913025442067,1.4291825274345338,1.8159725533260804,0.0,0.0,0.0,0.0,7.49941499454749,0.5,0.5465221589672457,2.0858686523130707,527.0661116327384,527.0796096235625,0.015625,True,6.0,-11.193770293771674,-0.12166434554420384,1.6510388963147975e-12,8.384404281969182e-13,527.0796096235625,0.0014447600362966003,7.483582044172318e-07
5,8.987062454223633,0.8054157387833315,0.660398640844154,2.308556834312689,1.4261295200746424,1.815375787329856,0.0,0.0,0.0,0.0,7.486423223045873,0.5,0.5459881039457312,2.08832207967525,339.3326249038445,339.3504682805373,0.001953125,True,9.0,-10.219846465219472,0.3024500510409952,1.3133422853943989e-12,5.044853423896711e-13,339.3504682805373,0.0018467983913309928,-3.504567542783695e-06
6,10.790659427642822,0.8042722100025392,1.400060383818466,2.301217913946142,1.420482155826219,1.8104790289681685,0.0,0.0,0.00013458234781085765,8.411396738178603e-06,7.467772831251829,0.5,0.5449192326789906,2.10298612281639,361.8640368049303,361.89164396860366,0.00390625,True,8.0,-10.203198291687674,-0.28542829870827796,1.4986406696591452e-12,1.9895196601282805e-13,361.89164396860366,0.0017291552172805072,2.935942829579923e-06
7,12.58193564414978,0.8037605660938142,1.2100175399858126,2.2656038114964008,1.376353916130998,1.7996124181476414,0.0,0.0,0.0023817360650340708,0.00014885850406462942,7.255436448460235,0.5,0.5363745118483205,2.1784987463681054,38.9681441603525,39.073414990143306,0.03125,True,5.0,-10.1845541402083,-0.012531804655794138,1.5828233554070387e-13,4.085620730620576e-14,39.073414990143306,0.016462117347431533,2.502660420150194e-05
8,14.364408731460571,0.8044125689332514,2.8153119153152875,2.130613499023657,1.2165570978311895,1.7491234396144082,0.0,0.0,0.008360797201566472,0.0005225498250979045,6.342643037080511,0.5,0.5023025954711858,2.5009854521258337,22.815465166298672,23.014959888169948,0.125,True,3.0,-9.907711025552082,0.006600257616104547,6.390759720543883e-14,2.842170943040401e-14,23.014959888169948,0.028761240873788632,2.4596579130157604e-05
9,16.150471925735474,0.8055360128575028,1.7560429116031635,1.967757753667116,1.0742287638239811,1.6486176072033147,0.0,0.0,0.012772051889672379,0.0007982532431045237,5.496185370045105,0.5,0.47047288759554884,2.8644563876624174,15.194143573878783,15.53829545610163,0.125,True,3.0,-8.648359715487587,0.009496827962802377,7.459421968015799e-14,1.4210854715202004e-14,15.53829545610163,0.039422847603513125,-6.213145833404049e-05
10,17.953450918197632,0.8055010645188584,0.5303911851517121,1.940543733607001,1.040107686827972,1.6381968881896543,0.0,0.0,0.014033437515376331,0.0008770898447110207,5.373774444888143,0.5,0.46309324390695683,2.975423149912184,17.19935773890682,17.606991497146158,0.03125,True,5.0,-7.450854932690308,0.002439754644526528,2.1822055991159013e-13,8.881784197001252e-15,17.606991497146158,0.03353453194733991,2.124858351448902e-05
