iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,stepsize,linesearch_status,linesearch_counter
0,0.0,-3.6125327056384236e-06,2.9802322387695312e-08,9.3159367135701,8.95290247559158,2.5753085472986412,0.0,0,0.0,0.0,1.0,,1.0,,,,,,,,,,
1,0.6064045429229736,-0.005498118027210771,0.005748805404144563,1.0000000048788067,0.9999999998741779,2.86084389217971e-13,0.0,0,0.00010004627872938878,2.3266576448695066e-06,1.0,2.8593323679675745e-09,2.8593323679675745e-09,optimal,14.0,5.705619462885068e-14,-0.002747252747238449,-0.0027472527472955054,2.4280379207696804e-16,7.536998844457429e-17,1.0,1.0,0.0
2,1.1924822330474854,-0.023986803556041845,1.0049143386295696,76.16021205851276,61.218489200977864,45.30645076295827,0.0,0,0.00010500521960073975,2.441981851179994e-06,89.77162065490512,89.27162065490512,89.27162065490512,unknown,29.0,8.024911433563109e-05,-7422.58847555121,-7422.588555793174,2.1879730109306616e-10,1.8411697092022502e-08,1.2510760713943073e-06,1.0,129.0
3,1.7687644958496094,-0.029485734223794965,0.02136917155173881,0.9999999994737372,0.999999998863999,2.314851031569914e-13,0.0,0,3.492100235012556e-05,8.121163337238502e-07,89.77162065490512,3.2375504529759014e-09,3.2375504529759014e-09,optimal,13.0,2.58674872215091e-13,-0.0027494653342852145,-0.0027494653345438895,2.1066395879303649e-16,1.7744078263618016e-16,1.0,1.0,0.0
4,2.345679759979248,-0.07401592006359928,0.40692055868179056,1.5360852078931215,1.531918491366234,0.11306414868673453,0.0,0,0.0,0.0,89.77162065490512,1.2661625525022366,1.2661625525022366,optimal,11.0,2.2460127618686065e-13,-0.36627244819954263,-0.36627244819976607,3.9827100445534413e-16,3.4745155809341106e-15,0.12157665459056936,1.0,20.0
5,2.938262701034546,-0.0978993647306889,0.10461853205021038,0.999999992154651,0.999999992154651,6.650760815888152e-13,0.0,0,0.0,0.0,89.77162065490512,5.140462094634039e-09,5.140462094634039e-09,optimal,13.0,4.241056372020498e-13,-0.014742867086725422,-0.014742867087149527,4.249592909782805e-16,1.6440424403852375e-16,0.81,1.0,2.0
6,3.521679639816284,-0.10472535444216075,0.08427314250144206,0.09035125649611611,0.07049121989537836,0.05651842095191223,0.0,0,7.457339222166626e-05,1.7342649353875873e-06,89.77162065490512,0.5680037304199381,0.5680037304199381,optimal,12.0,3.499139842758431e-13,-0.14492149569173227,-0.144921495692082,3.846023414875138e-16,1.9966569243851387e-15,0.04710128697246249,1.0,29.0
7,4.090721130371094,-0.10617239329545186,0.014716189527353884,0.9999998643665399,0.9999998606260624,1.4671931726603858e-09,0.0,0,8.64925074685885e-05,2.0114536620601978e-06,89.77162065490512,3.812226069660169e-08,3.812226069660169e-08,optimal,13.0,3.342474465538955e-13,-0.048949677527759236,-0.04894967752809348,3.249852981807576e-16,5.55693721816212e-16,0.014780882941434608,1.0,40.0
8,4.67014741897583,-0.1091265934819885,0.03675049841108717,0.05929317980658054,0.02822012003439125,0.05214683502430346,0.0,0,0.00011659231586274438,2.7114492061103345e-06,89.77162065490512,0.6375787986740749,0.6375787986740749,optimal,12.0,2.9106417634325913e-13,-0.1311322573470183,-0.13113225734730902,4.768705337813815e-16,5.113584660294238e-15,0.0225283995449392,1.0,36.0
9,5.236752271652222,-0.11025441495212122,0.012104113712202854,0.9856811777084741,0.9856809444275366,0.0006663992915240492,0.0,0,0.00012567095199011308,2.922580278839839e-06,89.77162065490512,0.009804424628343768,0.009804424628343768,optimal,13.0,1.341517542803505e-13,-0.053074702251443735,-0.053074702251577885,3.012690696276714e-16,2.83572674370786e-16,0.01077526366430583,1.0,43.0
