iteration,time,cost,distance,residual,gradnorm,maxviolation,meanviolation,mu,maxabsLagmult,num_inner,inner_status,TR_radius,normdx,min_primal_feasibility,min_dual_feasibility,complementarity,mineigval_TRS_quadratic,ared/pred,radius_update,dual_clipping
0,0.0,-0.4230109269550345,0.0,6.175424166185784,6.093920218735341,0,0.0,0.1,1.0,,,,,,,,,,,
1,0.10601615905761719,-0.4230109269550345,0.0,6.175424166185784,6.093920218735341,0,0.0,0.1,1.0,1.0,unsuccessful,1.0,0.17284213931858414,0.014430100504203335,-63.545537517656385,8.845648589819389,,0.08884423180196106,reduced,
1,0.1923999786376953,-0.4230109269550345,0.0,6.175424166185784,6.093920218735341,0,0.0,0.1,1.0,2.0,unsuccessful,0.25,0.17284213931858414,0.014430100504203335,-63.545537517656385,8.845648589819389,,0.08884423180196106,reduced,
1,0.25147509574890137,-0.4230109269550345,0.0,6.175424166185784,6.093920218735341,0,0.0,0.1,1.0,3.0,unsuccessful,0.0625,0.06250000000000001,0.008583697946486946,0.538333750744213,7.441687752701068,,0.1091288892612039,reduced,
1,0.34229016304016113,-0.4230109269550345,0.0,307.94401339365635,307.94240156291664,0,0.0,0.1,218.1936470005799,4.0,successful,0.015625,0.015625000000000003,0.00431840413557707,0.5372570321589566,2.8457713948372936,,0.21586705924310667,reduced,False
1,0.4157710075378418,-0.42527736739972916,0.015623728620460828,31.25653510790332,31.24169229667321,0,0.0,0.1,12.99014678878367,5.0,successful,0.00390625,0.00390625,0.005954163828040836,-4.188558836253492,0.2565894043087547,,1.284885277719659,expanded,True
1,0.48363518714904785,-0.427052215621343,0.01808559184038735,39.64414355679661,39.63198899666852,0,0.0,0.1,15.831246264427971,6.0,successful,0.0078125,0.007812499999999999,0.008838138452192248,0.5381700174505021,0.05702849360602406,,0.9450391767819633,unchanged,False
1,0.5230979919433594,-0.430891309918491,0.024278593880929185,29.27382872675699,29.257668608937518,0,0.0,0.1,8.282431215863191,7.0,successful,0.0078125,0.0078125,0.011288453977204052,0.5390922897855853,0.031519445941358255,,1.0245554497117144,expanded,False
1,0.5731301307678223,-0.43504750113907065,0.03118213846723454,24.031782506520386,24.012612037235115,0,0.0,0.1,6.106406787908845,8.0,successful,0.015625,0.015625,0.01573873194074652,0.5412186950570133,0.023339296065539073,,1.0119698819874203,expanded,False
1,0.649193286895752,-0.4436717784161135,0.045741958258816384,17.49286061510349,17.46775374124597,0,0.0,0.1,3.5890615966264012,9.0,successful,0.03125,0.03125000000000001,0.02355780651278473,0.5465236423899529,0.05318406828500626,,1.029133882121065,unchanged,False
1,0.7376811504364014,-0.4615977986738545,0.07573968754699605,15.49054137206295,15.461257802469909,0,0.0,0.1,3.2804247605584056,10.0,successful,0.03125,0.031249999999999997,0.030265727187251703,0.5537934054938078,0.01106215526653595,,1.0017392208688267,unchanged,False
1,0.784135103225708,-0.480290114600452,0.10584921340751728,13.168904443287548,13.13406647930429,0,0.0,0.1,2.670199669166815,11.0,successful,0.03125,0.031249999999999993,0.03619784643176043,0.5626755641708436,0.013281519501110643,,1.0065726464077622,unchanged,False
1,0.8689992427825928,-0.49923520877974603,0.13604005454994858,11.549971181105192,11.509698008296063,0,0.0,0.1,2.3534912152230594,12.0,successful,0.03125,0.03125,0.04172338841732396,0.5731591799954276,0.007872671957657541,,1.0035607866945604,expanded,False
1,0.979543924331665,-0.5181768422977978,0.16628982743342138,9.00931037449321,8.960184608014227,0,0.0,0.1,1.8145827757069584,13.0,successful,0.0625,0.06249999999999999,0.052125185229672126,0.5969844166655176,0.026490117971862594,,1.0132117049101936,unchanged,False
1,1.0762453079223633,-0.554885000837376,0.22707000048123485,7.297672373137886,7.234892422259643,0,0.0,0.1,1.6071150329349424,14.0,successful,0.0625,0.06249999999999999,0.06097677698396395,0.627722108484831,0.011811913791050968,,1.0038437153834046,unchanged,False
1,1.1637601852416992,-0.5902266422138902,0.2877697881470568,5.732988964540641,5.651170085409671,0,0.0,0.1,1.4533943561586562,15.0,successful,0.0625,0.062499999999999986,0.06808484106156942,0.6619152054852144,0.009925572894211143,,1.0038893287903277,unchanged,False
1,1.2188751697540283,-0.6235529662571644,0.3484052598812769,4.365548740900481,4.255424453773219,0,0.0,0.1,1.349444942756956,16.0,successful,0.0625,0.0625,0.07353052806667636,0.7055901990581793,0.007642410681252353,,1.0023968758323172,expanded,False
1,1.308129072189331,-0.6544498226223012,0.4089321802227309,2.4868361887777386,2.2901728760448403,0,0.0,0.1,1.1806497622398384,17.0,successful,0.125,0.125,0.08265883179066184,0.8142802163609235,0.027065522199418098,,1.0094007758843146,expanded,False
1,1.366781234741211,-0.7286858430390319,0.053355446521479,1.0002089865133619,0.08860517646111847,0,0.0,0.023862921099341006,1.184168008827433,18.0,converged,0.25,0.05340613506945761,0.08433262467815494,0.8525426256746066,0.005579413486932297,,,,
2,1.4266679286956787,-0.7286858430390319,0.0,0.6207445281873526,0.5679321112463165,0,0.0,0.023862921099341006,0.4529571948799487,1.0,successful,1.0,0.049179030438684206,0.07213892537614666,0.12007870433863643,0.03663975521769124,,1.7009989190568682,unchanged,False
