iteration,time,cost,distance,residual,gradnorm,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,stepsize,linesearch_status,linesearch_counter
10,24.839197874069214,-1.3353960663861297,0.0,5.81030592523016e-08,5.68489636390716e-08,0,0.0,1,0.24339362246049662,0.24339362246049662,optimal,10.0,1.6140011289354308e-08,7.426113582855004e-11,-1.606575015352327e-08,4.3910391087505107e-16,5.893576455690472e-13,2.77555134107661e-09,1.0,187.0
11,27.31188702583313,-1.3353960663861297,0.0,5.810317060841039e-08,5.684907743397015e-08,0,0.0,1,0.2433936224604384,0.2433936224604384,optimal,10.0,1.6140011280419963e-08,7.426112593287672e-11,-1.6065750154488115e-08,5.479439832250674e-16,6.57980621381556e-13,1.2510760713943073e-06,1.0,129.0
12,29.619602918624878,-1.3353960663861297,0.0,5.810301697211912e-08,5.684892040651542e-08,0,0.0,1,0.2433936224608313,0.2433936224608313,optimal,10.0,1.61400112904317e-08,7.426104355839552e-11,-1.606575024687275e-08,5.3297907547386e-16,4.952686005147946e-13,1.5210164339843212e-07,1.0,149.0
13,32.19487476348877,-1.3353960663861297,0.0,5.8103202528057736e-08,5.684911005540115e-08,0,0.0,1,0.24339362246056032,0.24339362246056032,optimal,10.0,1.6140011280252793e-08,7.42610209372909e-11,-1.6065750259315923e-08,4.685216828394726e-16,5.85655924068886e-13,1.3480674533377557e-08,1.0,172.0
14,34.49967885017395,-1.3353960663861297,0.0,5.810310829697927e-08,5.684901374554923e-08,0,0.0,1,0.24339362246064197,0.24339362246064197,optimal,10.0,1.61400112837327e-08,7.426102439743915e-11,-1.6065750259335422e-08,4.940304973171932e-16,5.794461380872645e-13,1.0919346372035822e-08,1.0,174.0
15,36.89436483383179,-1.3353960663861297,0.0,5.810324794487292e-08,5.684915647394988e-08,0,0.0,1,0.243393622460714,0.243393622460714,optimal,10.0,1.6140011279969623e-08,7.426101909987357e-11,-1.6065750260870404e-08,4.272478861454821e-16,6.37749362842913e-13,1.3275376022277854e-09,1.0,194.0
16,39.292335748672485,-1.3353960663861297,0.0,5.81031605456564e-08,5.684906714668405e-08,0,0.0,1,0.24339362246031906,0.24339362246031906,optimal,10.0,1.6140011280382793e-08,7.426101931200136e-11,-1.6065750261069917e-08,3.881886037687814e-16,7.685793123387045e-13,1.475041780253095e-09,1.0,193.0
17,41.758585929870605,-1.3353960663861297,0.0,5.810301065855855e-08,5.684891395328866e-08,0,0.0,1,0.24339362246078547,0.24339362246078547,optimal,10.0,1.6140011289924665e-08,7.426102985808765e-11,-1.606575026006513e-08,4.14477785041531e-16,5.152336437960315e-13,4.628837403188785e-10,1.0,204.0
18,44.32449698448181,-1.3353960663861297,0.0,5.81031632794854e-08,5.6849069940836235e-08,0,0.0,1,0.24339362246038213,0.24339362246038213,optimal,10.0,1.614001128126975e-08,7.426102027197213e-11,-1.6065750260998518e-08,6.33573167238955e-16,6.74695948739884e-13,4.628837403188785e-10,1.0,204.0
19,46.882354974746704,-1.3353960663861297,0.0,5.810310463188485e-08,5.684900999952871e-08,0,0.0,1,0.2433936224607033,0.2433936224607033,optimal,10.0,1.614001128444769e-08,7.426102359358635e-11,-1.6065750260850827e-08,6.636909180243112e-16,6.376628274304758e-13,4.628837403188785e-10,1.0,204.0
20,49.391072034835815,-1.3353960663861297,0.0,5.810312885147239e-08,5.684903475339033e-08,0,0.0,1,0.2433936224605904,0.2433936224605904,optimal,10.0,1.6140011283476796e-08,7.426102270287102e-11,-1.6065750260775166e-08,5.01139285274397e-16,5.391448167623143e-13,4.628837403188785e-10,1.0,204.0
21,51.89358592033386,-1.3353960663861297,0.0,5.810302831367613e-08,5.684893199787156e-08,0,0.0,1,0.24339362246064497,0.24339362246064497,optimal,10.0,1.6140011289994565e-08,7.426102999686023e-11,-1.6065750260001732e-08,6.929080948805363e-16,6.867160217847055e-13,4.628837403188785e-10,1.0,204.0
22,54.555781841278076,-1.3353960663861297,0.0,5.8103094026389064e-08,5.684899916006232e-08,0,0.0,1,0.24339362246064128,0.24339362246064128,optimal,10.0,1.6140011284140436e-08,7.426102334238359e-11,-1.6065750260799158e-08,4.885588864814492e-16,5.60645910026614e-13,4.628837403188785e-10,1.0,204.0
23,56.9225549697876,-1.3353960663861297,0.0,5.8103038064511286e-08,5.68489419637105e-08,0,0.0,1,0.24339362246066062,0.24339362246066062,optimal,10.0,1.614001128697501e-08,7.426102639919101e-11,-1.6065750260575098e-08,3.0263656055841186e-16,5.526350878102695e-13,4.628837403188785e-10,1.0,204.0
24,59.28321313858032,-1.3353960663861297,0.0,5.81030289849013e-08,5.6848932683789905e-08,0,0.0,1,0.24339362246066745,0.24339362246066745,optimal,10.0,1.6140011286167194e-08,7.42610256242694e-11,-1.606575026054277e-08,4.3793613227981273e-16,5.134885874400209e-13,4.628837403188785e-10,1.0,204.0
25,61.73114013671875,-1.3353960663861297,0.0,5.810307039058814e-08,5.68489750028762e-08,0,0.0,1,0.24339362246112092,0.24339362246112092,optimal,10.0,1.614001128647592e-08,7.426102567175141e-11,-1.606575026080476e-08,6.642330181003907e-16,7.575949309198001e-13,4.628837403188785e-10,1.0,204.0
