iteration,time,cost,distance,residual,gradnorm,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,stepsize,linesearch_status,linesearch_counter
0,0.0,-0.00046661321305611675,0.0,2.6554180446390148,2.345520413377872,0.0,0.0,1.0,,1.0,,,,,,,,,,
1,0.0789649486541748,-0.03379999071853533,1.218341652311064,1.0000012279005897,1.0000012279005879,0.0,0.0,1.0,1.326926974233975e-06,1.326926974233975e-06,optimal,6.0,1.0065288214828343e-07,-0.01666665302723662,-0.016666753680118253,7.757369675600261e-10,6.379911934609603e-10,1.0,1.0,0.0
2,0.15111398696899414,-0.19525214002043212,0.5521133213053188,7.133061214751057,4.816700590911206,0.001034788688740268,7.959912990309754e-05,11.312719465675377,10.812719465675377,10.812719465675377,optimal,9.0,8.197760380605636e-06,-8.84765547077398,-8.847663666994125,1.3530217747490812e-10,3.275915579938862e-10,0.01824800363140075,1.0,38.0
3,0.21665668487548828,-0.2290521240158913,0.24597061207981974,0.9999998123275662,0.999999812327566,0.0,0.0,11.312719465675377,1.1432667253710633e-07,1.1432667253710633e-07,optimal,5.0,4.8720207504962985e-08,-0.016899994378286258,-0.016900043098493762,2.6796226529777814e-16,3.88348700646092e-16,1.0,1.0,0.0
4,0.28209781646728516,-0.4260350482627497,0.8341034674741292,1.0499893860660485,0.9787041108604303,0.0,0.0,11.312719465675377,1.2628183912753763,1.2628183912753763,optimal,6.0,4.142966966754334e-07,-0.9567333063680976,-0.9567337069603731,1.1127755444325643e-08,4.377232586263424e-08,0.2058911320946491,1.0,15.0
5,0.34918904304504395,-0.47771156706807344,0.2713849411600632,0.1952080593001501,0.19515819342097795,0.0,0.0,11.312719465675377,0.15030069496344564,0.15030069496344564,optimal,6.0,1.7486964917228023e-07,-0.05430419803597773,-0.0543043729056269,1.8878616199146373e-16,8.644581550382242e-16,0.81,1.0,2.0
6,0.4140739440917969,-0.4877326150000478,0.0874098229355384,0.006151940326954133,0.0060662083530997595,0.0002156852244268037,2.7707366116379412e-05,11.312719465675377,0.2214655920275752,0.2214655920275752,optimal,6.0,6.049201368650073e-07,-0.011798076451666424,-0.011798681371803293,2.6036829342552814e-16,3.238256222289957e-15,0.81,1.0,2.0
7,0.47894906997680664,-0.4891102759828447,0.03137521438211596,0.0022016435706580695,0.002157679086436556,0.00031675279375185245,3.55485339847358e-05,11.312719465675377,0.21735048148744734,0.21735048148744734,optimal,6.0,4.531420987299699e-07,-0.001827420644771178,-0.0018278737868699087,1.6688081155492887e-16,1.5752358999046824e-15,0.7290000000000001,1.0,3.0
8,0.5450258255004883,-0.48958170333572704,0.03382841891006284,0.0020197164188316104,0.002000892060092996,0.00021645145570311358,3.402541663340409e-05,11.312719465675377,0.21679826899427154,0.21679826899427154,optimal,6.0,4.194938592955985e-07,-0.0004896642550869731,-0.0004900837489462682,2.3902442173425265e-16,1.0515114745321194e-15,0.9,1.0,1.0
9,0.6109280586242676,-0.48964212828185943,0.022784830308458362,0.0018441279357808457,0.0018267987257339676,0.00017442601986519812,3.237183210038758e-05,11.312719465675377,0.21645745031995722,0.21645745031995722,optimal,6.0,3.6500165095489005e-07,-7.133698502398688e-05,-7.170198667494304e-05,2.608336648171365e-16,3.2846703865772127e-15,0.5904900000000002,1.0,5.0
10,0.6754698753356934,-0.4896832138606969,0.019584607473761492,0.0019386556201369416,0.001923043326174664,0.00019141028287425477,3.108383879990893e-05,11.312719465675377,0.2162959290274392,0.2162959290274392,optimal,6.0,3.1847179029028285e-07,-5.161888075731388e-05,-5.1937352547603104e-05,1.8921016083802256e-16,1.83029028989042e-15,0.47829690000000014,1.0,7.0
11,0.7420997619628906,-0.4897195106103365,0.018476306382049928,0.002033609382790797,0.0020187808016135208,0.00019999103475798474,3.064005983787989e-05,11.312719465675377,0.21613608447845598,0.21613608447845598,optimal,6.0,2.726623121710962e-07,-4.705912815278845e-05,-4.73317904649593e-05,2.5172463135090653e-16,6.006148800715774e-15,0.43046721000000016,1.0,8.0
