iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,second_order_residual,Phi,sigma,rho,maxabsLagmult,stepsize,linesearch_status,linesearch_counter
10,1.1410350799560547,41207351.20880932,0.0380599732369512,4272080.4980967725,4272080.498096268,2.060623901235513,0.0,0,0.19817352150301507,0.024567039818686028,-4855113.301026876,18250671782217.676,0.5,0.4062266450105288,8.653519522247604,0.001953125,True,9.0
11,1.2563884258270264,41207101.78310614,0.0030003404779106934,4263699.954514172,4263699.954513589,2.2141678165153307,0.0,0,0.1999457001986838,0.0247704752870247,-3549061.933985673,18179137302122.4,0.5,0.40570276659748444,9.456469722754973,0.001953125,True,9.0
12,1.4018120765686035,41206456.602625325,0.002417697966025883,4261304.235191261,4261304.235190641,2.2843294359939152,0.0,0,0.2006208102723356,0.024733417890504684,-5558128.599226032,18158713784856.918,0.5,0.40547954486749427,9.847793652879705,0.0009765625,True,10.0
13,1.5188407897949219,41202289.597256996,0.0026472046436517805,4245416.139655824,4245416.139655139,2.3981611469351423,0.0,0,0.20110143775665318,0.024727491549476302,-4252739.657501075,18023558198847.54,0.5,0.40462784095992016,10.48862255939742,0.00390625,True,8.0
14,1.637087106704712,41198015.717258304,0.001759061363905121,4228786.360933922,4228786.360933186,2.4818849633833326,0.0,0,0.2010948806187293,0.024744262948960934,-3754586.1344403434,17882634086417.723,0.5,0.4038073395141229,10.952515718156368,0.00390625,True,8.0
15,1.7576863765716553,41197647.04817321,0.0008709159666104211,4224066.03258101,4224066.032580237,2.5419777160219383,0.0,0,0.201399159622325,0.0247832691677411,-3310219.8763315286,17842733847601.33,0.5,0.4035977777111952,11.260275884409074,0.0009765625,True,10.0
16,1.8732340335845947,41172789.09493202,0.02536887629454307,4171746.8486773157,4171746.848676654,2.3360743780028206,0.0,0,0.1983882749911748,0.024243794642650602,-4533758.944492179,17403471769446.74,0.5,0.40147663574313275,10.466498521554191,0.0078125,True,7.0
17,1.9901025295257568,41169221.82817552,0.0018219396570671657,4156172.927803063,4156172.9278023406,2.4375247779813436,0.0,0,0.19855986288934277,0.02428980849504126,-4732521.425758138,17273773405800.207,0.5,0.4006499673410921,11.023068653230021,0.00390625,True,8.0
18,2.140594005584717,41166269.58080637,0.008412880756522235,4154364.4143847884,4154364.414384031,2.496244077176604,0.0,0,0.1987679229667441,0.024004910147711733,-2485212.314036529,17258743687503.496,0.5,0.4001366389754054,11.406220336669335,0.001953125,True,9.0
19,2.260568141937256,41164430.05537993,0.000992666892933085,4145655.4749721712,4145655.474971368,2.569492138773327,0.0,0,0.19894699752499256,0.024042376052294222,-3642068.0449578534,17186459317163.191,0.5,0.39972873409985715,11.797079893857719,0.001953125,True,9.0
20,2.3802740573883057,41162845.622906595,0.0016262180817531893,4136848.7813079595,4136848.7813071087,2.641624121344737,0.0,0,0.19907917247006163,0.02408326892484413,-3664755.8739345055,17113517839405.215,0.5,0.3993225622040237,12.182471084801485,0.001953125,True,9.0
21,2.5001230239868164,41161161.03421295,0.0007361015792022526,4128826.302736043,4128826.3027351475,2.708359001519429,0.0,0,0.1991386520867282,0.02410836220087344,-3579932.236467825,17047206638160.688,0.5,0.39891947596979055,12.539315938827778,0.001953125,True,9.0
22,2.617166519165039,41159404.16434888,0.0009234609763391658,4121573.9032944194,4121573.903293473,2.782238994902582,0.0,0,0.19922022604442907,0.024126742996263953,-5353879.984768478,16987371440312.895,0.5,0.3985158297694236,12.934412466044453,0.001953125,True,9.0
23,2.7370662689208984,41158465.56414648,0.0005183798536825807,4117932.5315405503,4117932.531539557,2.8498629124515857,0.0,0,0.19942948091962667,0.02414541442435458,-4789586.314490613,16957368334314.873,0.5,0.39831120986391866,13.285814902301684,0.0009765625,True,10.0
24,2.863093852996826,41157579.91721403,0.0004739316872941448,4113638.751712202,4113638.7517111544,2.9259258664470225,0.0,0,0.19966262399074577,0.02416096049767064,-3417929.123950824,16922023779582.785,0.5,0.39810485902941384,13.677860064972657,0.0009765625,True,10.0
25,2.996588706970215,41157358.22797532,0.0003340108246428612,4113375.557129896,4113375.5571288667,2.8992152443390644,0.0,0,0.19950956196257205,0.024142435711853802,-5121036.734017593,16919858473988.299,0.5,0.3980913888746024,13.546315095958839,6.103515625e-05,True,14.0
26,3.1511149406433105,41156988.984264985,0.00022474748612004151,4111554.494337984,4111554.4943369296,2.9342843228872977,0.0,0,0.19960247226476352,0.024148806725732386,-4497280.225523596,16904880359905.283,0.5,0.3979917680986958,13.728371817253015,0.00048828125,True,11.0
27,3.2746968269348145,41156678.347857475,0.00026805433262168003,4109461.7930415906,4109461.7930405005,2.9828908315967286,0.0,0,0.19975993671431663,0.02416716419063379,-3913772.061188816,16887676228462.73,0.5,0.39789010404194786,13.976473650935954,0.00048828125,True,11.0
28,3.3979663848876953,41156612.516269326,0.0002065691384568022,4108583.361722463,4108583.361721349,3.015500857902908,0.0,0,0.19987570997620624,0.02418152283510235,-4296138.80575532,16880457240216.578,0.5,0.3978395979231186,14.14143291608339,0.000244140625,True,12.0
29,3.5145959854125977,41156264.58302998,0.0002415610965814712,4106523.985307253,4106523.985306111,3.051997161274791,0.0,0,0.19995791080443667,0.024194710563879295,-5031945.801120985,16863539241897.465,0.5,0.3977399936660938,14.32907565054358,0.00048828125,True,11.0
30,3.6334595680236816,41155800.10557759,0.0001936484726104482,4104366.6453501424,4104366.645348966,3.0979390115482266,0.0,0,0.20008138025295188,0.024203354921120242,-4816918.907226938,16845825559456.203,0.5,0.39763927098461,14.564312800355786,0.00048828125,True,11.0
31,3.7499008178710938,41155045.44247426,0.00040381652465041235,4100235.9313266333,4100235.9313254105,3.1569963661107368,0.0,0,0.20015980767594133,0.02421525534443779,-5076991.620895034,16811934692535.027,0.5,0.3974389023930845,14.87063436563452,0.0009765625,True,10.0
32,3.867293357849121,41154608.005277164,0.00018634099838488294,4098176.4103870154,4098176.4103857605,3.197699407058048,0.0,0,0.20024295738157957,0.024225527410036807,-2817826.0852548745,16795049890645.385,0.5,0.3973391733160726,15.079138264696825,0.00048828125,True,11.0
33,3.9827637672424316,41153352.37627694,0.0008033593508393043,4094141.429177965,4094141.4291766523,3.268778627609887,0.0,0,0.20035603168242797,0.02423109301924499,-4466712.793477087,16761994042103.71,0.5,0.3971370937661699,15.4469974276191,0.0009765625,True,10.0
34,4.123133659362793,41144247.58107997,0.005531980058683815,4063094.1382704135,4063094.1382689513,3.438046438553317,0.0,0,0.19950774908604155,0.023967725145467817,-3735967.386928211,16508733976438.55,0.5,0.39551366209865957,16.42701863184837,0.0078125,True,7.0
35,4.243837594985962,41143414.36516269,0.00045659181025755805,4058802.2813626337,4058802.281361119,3.4982276534374623,0.0,0,0.19953013992662053,0.023983760711143314,-4668427.125838808,16473875959185.256,0.5,0.39531515798915534,16.73941760089946,0.0009765625,True,10.0
36,4.367205619812012,41140842.23208822,0.0029144584486968023,4051483.117557442,4051483.117555831,3.6045328028288752,0.0,0,0.19951670881900466,0.023944799170487294,-3325562.078529147,16414515451842.943,0.5,0.39491026226927,17.305479259221958,0.001953125,True,9.0
37,4.4880335330963135,41140127.19901537,0.0006837484571344363,4049352.812710013,4049352.8127083546,3.6563409286482664,0.0,0,0.19958966827952107,0.02393190898133905,-3696257.8801517524,16397258201792.086,0.5,0.3948103731741599,17.572282140690874,0.00048828125,True,11.0
38,4.605409860610962,41139574.491759084,0.0003069280457703288,4047323.8115665806,4047323.8115648734,3.708792175349469,0.0,0,0.1996579995912472,0.023937652124166802,-4290685.1520157475,16380830035663.035,0.5,0.39471088631137946,17.84011300601817,0.00048828125,True,11.0
39,4.7223827838897705,41134243.42014404,0.0037888845597640755,4030441.891958186,4030441.891956631,3.5322111720313254,0.0,0,0.1983365897032302,0.02380120222880581,-4717490.351840057,16244461844441.959,0.5,0.39390833194977876,17.037624495060644,0.00390625,True,8.0
40,4.853541851043701,41133465.252000585,0.000978607134475392,4028156.024195962,4028156.0241943477,3.5983305210492236,0.0,0,0.19846491573518849,0.02378668560653552,-5148039.469112131,16226040955256.21,0.5,0.39380620075044154,17.377715603896313,0.00048828125,True,11.0
41,4.984299182891846,41133846.95829963,0.0008164518725423103,4027246.927510559,4027246.9275089046,3.6424701897850458,0.0,0,0.1985578405280562,0.02381152639078996,-4489934.196884856,16218717815132.924,0.5,0.3937552701531458,17.59886642413581,0.000244140625,True,12.0
42,5.115492820739746,41133444.00348865,0.00016771366159860196,4025328.9736971995,4025328.973695498,3.693343348602972,0.0,0,0.19862148570387633,0.02381508965846215,-4219855.023301225,16203273346475.453,0.5,0.39365621379245447,17.860068722837763,0.00048828125,True,11.0
43,5.269967079162598,41132422.22786285,0.0007797228446470079,4022732.195138251,4022732.1951366034,3.6326091109139598,0.0,0,0.1983392395577093,0.023767003830485814,-4417232.679017908,16182374313791.557,0.5,0.3935562983043468,17.568529160118125,0.00048828125,True,11.0
44,5.39326548576355,41131420.732618265,0.0008039803242461434,4017964.460385955,4017964.4603842427,3.701420249717454,0.0,0,0.1983614471411632,0.023803036023390726,-3125564.10427917,16144038404913.836,0.5,0.3933569460199911,17.924284924820064,0.0009765625,True,10.0
45,5.52269172668457,41131306.42075362,0.00017121640815479324,4017039.9181917715,4017039.9181900187,3.7445668521351974,0.0,0,0.19844389458513767,0.02381483096674082,-4977100.255573116,16136609704335.068,0.5,0.3933069153875479,18.142396754630163,0.000244140625,True,12.0
46,5.648571014404297,41130978.55536474,0.00045502052748077514,4015687.351767411,4015687.351765596,3.8103467059594482,0.0,0,0.19854251609164192,0.02381955403906682,-3025894.3586144526,16125744907133.18,0.5,0.3932063423159813,18.478413481993957,0.00048828125,True,11.0
47,5.7715983390808105,41130857.94690756,0.00025600635930077395,4014264.3429600494,4014264.342958177,3.8697679573323116,0.0,0,0.19866326746929272,0.023835011782579137,-5563491.153878374,16114318215148.44,0.5,0.3931548198867681,18.776795185666227,0.000244140625,True,12.0
48,5.886986494064331,41130052.59738259,0.0007221943438387187,4009886.1413046964,4009886.141302741,3.952578353880471,0.0,0,0.19869667860780252,0.02386792356980204,-4601844.742866618,16079186866214.777,0.5,0.39295489880986223,19.203038613924505,0.0009765625,True,10.0
49,6.030685663223267,41129585.460808896,0.0001804687704751615,4008050.7917650063,4008050.791763002,4.000616921536361,0.0,0,0.19872648872151566,0.023870463491976843,-4451032.8915026635,16064471149355.014,0.5,0.3928567517225853,19.450452206808613,0.00048828125,True,11.0
50,6.1885292530059814,41129652.25326363,0.00017158712950536561,4008023.0998497596,4008023.0998477214,4.034666970864945,0.0,0,0.19881367377257647,0.023881776113354767,-4293257.892413299,16064249168915.924,0.5,0.39285556460106513,19.618735500706975,9.5367431640625e-07,True,20.0
51,6.433314800262451,41129652.25326354,0.0,4008023.0998497596,4008023.0998477214,4.0346669708676455,0.0,0,0.1988136737725833,0.023881776113354833,-3883803.7903647074,16064249168915.928,0.5,0.3928555646010649,19.618735500720405,8.881784197001252e-16,False,51.0
52,6.556312561035156,41126660.17909017,0.002322842074745392,3999869.2581902235,3999869.258188069,4.144422201355177,0.0,0,0.19870649476110366,0.023792576086852042,-3471917.2699072375,15998954082600.957,0.5,0.3924550440433842,20.20801173332761,0.001953125,True,9.0
53,6.683506965637207,41126293.49288457,0.0001706391385949203,3998031.87760442,3998031.877602199,4.207151340435674,0.0,0,0.1987584518208832,0.023800885924710156,-2884364.7240296775,15984258894326.34,0.5,0.3923558618094056,20.52787845076264,0.00048828125,True,11.0
54,6.808935165405273,41125954.610762335,0.00027561692782963735,3996116.98902555,3996116.989023244,4.286405278624432,0.0,0,0.19884341818209975,0.023817854945873393,-5400986.074607017,15968950989963.172,0.5,0.39225484008819284,20.928823125358353,0.00048828125,True,11.0
55,6.927016258239746,41125514.72147482,0.00018619905886045076,3994138.630249913,3994138.6302475412,4.345679214815507,0.0,0,0.19887749524902232,0.023821978265519253,-3872204.3413372277,15953143397638.678,0.5,0.3921562836001799,21.231978428143968,0.00048828125,True,11.0
56,7.049591541290283,41125423.729767896,0.0002138359120221188,3993118.906786733,3993118.9067843137,4.388816824991309,0.0,0,0.1989213978910965,0.023831225975600355,-4358887.369572242,15944998603721.324,0.5,0.39210694278916974,21.44972673096711,0.000244140625,True,12.0
57,7.254878759384155,41125423.72976795,5.1619136559035694e-08,3993118.9067867375,3993118.9067843184,4.38881682499238,0.0,0,0.19892139789109878,0.023831225975600754,-4931844.465552037,15944998603721.361,0.5,0.3921069427891696,21.44972673097238,8.881784197001252e-16,False,51.0
58,7.383965969085693,41125268.53780991,0.00019908419318497397,3992478.9875006783,3992478.9874982047,4.437588617271269,0.0,0,0.19899990425585182,0.02383523245021828,-3883974.005647929,15939888465617.66,0.5,0.3920813108593529,21.693546654718382,0.0001220703125,True,13.0
59,7.533909320831299,41125033.908702515,0.00011224726051414766,3991536.4672800777,3991536.4672775627,4.474439969596846,0.0,0,0.1990271404942674,0.02383788640530513,-4949951.566194873,15932363369609.62,0.5,0.3920324648275996,21.880852179612464,0.000244140625,True,12.0
60,7.696668863296509,41124790.054592,0.00010998022670370599,3990531.759613125,3990531.7596105626,4.515798599384588,0.0,0,0.19906216344908043,0.02384090806170318,-3283573.516238983,15924343724463.543,0.5,0.39198340068819737,22.0904077241921,0.000244140625,True,12.0
61,7.8190929889678955,41124421.66297806,0.00017758218970221918,3988659.1730756597,3988659.173073034,4.570230996830386,0.0,0,0.19907274464467828,0.02384543353056365,-4904155.328015885,15909401998942.623,0.5,0.39188552231278106,22.369527302710043,0.00048828125,True,11.0
62,7.945194482803345,41124431.51559791,0.0003196316016133465,3987807.1245507533,3987807.1245480482,4.638715125654908,0.0,0,0.19915605937978803,0.023863419012277606,-4700792.615086425,15902605662599.145,0.5,0.391834400805497,22.71182787497822,0.000244140625,True,12.0
63,8.07850193977356,41124516.88759929,0.00018816738914569022,3987734.3489349172,3987734.348932183,4.663769307178508,0.0,0,0.1991997402535206,0.02387477526472737,-5453122.167704436,15902025237656.545,0.5,0.3918309669080175,22.835171887000257,1.52587890625e-05,True,16.0
64,8.202728986740112,41124366.54551112,0.00012902554005294058,3986718.348589069,3986718.3485862752,4.713482462069418,0.0,0,0.19924309954126146,0.02388196956901878,-4319261.496368144,15893923190957.447,0.5,0.39178152182770726,23.08557934088859,0.000244140625,True,12.0
65,8.307939767837524,41077442.70431977,0.02610953264111136,3869521.7709649685,3869521.7709617293,5.0014673061812935,0.0,0,0.1935664443540316,0.022509370016263415,-3652545.647908409,14973198735949.648,0.5,0.3850751495802144,25.34382735414562,0.03125,True,5.0
66,8.42322063446045,41076902.17421846,0.0006988073498110658,3865509.965650991,3865509.965647257,5.368037279272939,0.0,0,0.19393646907506648,0.02255843241583643,-4181029.905982076,14942167294521.102,0.5,0.38481550476862314,27.219072570380654,0.0009765625,True,10.0
67,8.535562515258789,41075023.51063791,0.0009180461424421537,3857983.589289436,3857983.589285353,5.607997676394755,0.0,0,0.19387391980795168,0.022549719113540864,-5076510.805516926,14884037375197.928,0.5,0.38441133143210116,28.486202813271426,0.001953125,True,9.0
68,8.677002668380737,41074185.57248877,0.0007696565218181415,3854821.666355457,3854821.6663511097,5.784769613693886,0.0,0,0.19389687373413234,0.02255193418516098,-3151223.5534925438,14859650079372.787,0.5,0.3842100048280299,29.40860162725148,0.0009765625,True,10.0
69,8.792062520980835,41073245.06908329,0.0003746942207719645,3850758.718134223,3850758.7181296158,5.95225983242695,0.0,0,0.19389599058569348,0.02255486152291226,-3735279.4680346344,14828342705254.078,0.5,0.3840108524577312,30.284735804441876,0.0009765625,True,10.0
70,8.912302494049072,41073323.5789203,0.0002826193773289992,3850339.0627873484,3850339.0627824566,6.133221988651953,0.0,0,0.19406396548298496,0.022574996054986904,-4527181.333875939,14825110898391.322,0.5,0.38397556552232287,31.203069404314206,0.0001220703125,True,13.0
71,9.02649712562561,41072160.608427785,0.0006137632381836685,3845738.624520766,3845738.6245156517,6.267634284732371,0.0,0,0.19400853663256257,0.02257947038021087,-4349832.2846820885,14789705568094.367,0.5,0.38378123580403606,31.913550138657403,0.0009765625,True,10.0
72,9.148721933364868,41072057.202109605,8.031529873151773e-05,3845165.3660962847,3845165.3660911033,6.308386658033274,0.0,0,0.19402369491813148,0.022583384323509363,-4076764.774601181,14785296692589.354,0.5,0.3837572480745115,32.12359192089869,0.0001220703125,True,13.0
73,9.274495840072632,41072006.325491816,0.0001381738478216686,3844830.316411486,3844830.3164062193,6.359793071785197,0.0,0,0.1940602055128502,0.022589676723049307,-5326036.38312498,14782720161959.178,0.5,0.38374467895930486,32.385576259468884,6.103515625e-05,True,14.0
74,9.400312185287476,41071918.6037766,5.342575439159986e-05,3844358.736590289,3844358.736584944,6.4063401273637774,0.0,0,0.19407959016145637,0.02259269278971908,-4505786.451154154,14779094095559.824,0.5,0.3837205523122293,32.62497859481212,0.0001220703125,True,13.0
75,9.520694494247437,41071822.08311484,4.460149047731784e-05,3843895.921345451,3843895.921340034,6.449045882197841,0.0,0,0.1940948406948006,0.022594712394474817,-3748556.8896175916,14775535854097.379,0.5,0.3836965465266598,32.844995623556876,0.0001220703125,True,13.0
76,9.638831615447998,41071650.63510747,8.002656238490093e-05,3842987.9714469607,3842987.971441415,6.5245438322724505,0.0,0,0.19411536731437795,0.022596859160189355,-3205198.389430213,14768556548646.234,0.5,0.3836478924679637,33.23488905539289,0.000244140625,True,12.0
77,9.780739545822144,41071404.565725036,0.00013614470538125069,3842149.8935523224,3842149.893546642,6.602838508237044,0.0,0,0.19413676624030654,0.02259832269747945,-3025783.1683910927,14762115804483.3,0.5,0.3835991597472134,33.639102901791084,0.000244140625,True,12.0
78,9.904184818267822,41071395.91820376,2.409322392529498e-05,3842047.1910863854,3842047.1910806727,6.621670744925341,0.0,0,0.19414699068997543,0.02259855853987512,-4423669.15260491,14761326618493.71,0.5,0.3835932015483542,33.735406682124484,3.0517578125e-05,True,15.0
79,10.034759521484375,41071300.131128706,4.9059479322323605e-05,3841556.7939243168,3841556.793918511,6.674780963531082,0.0,0,0.19416856275410016,0.022601013572464985,-2565504.8114226954,14757558600904.295,0.5,0.3835689494665421,34.008153572263986,0.0001220703125,True,13.0
80,10.153133153915405,41071122.579382114,0.0002181891427926333,3840978.5550152045,3840978.555009287,6.738448624610784,0.0,0,0.19417461275586737,0.022593002144402734,-4489271.859948559,14753116260044.055,0.5,0.38352088020207836,34.338801712618654,0.000244140625,True,12.0
81,10.275319337844849,41071107.9702257,6.996482537329698e-05,3840717.3398128385,3840717.3398068273,6.791374420921281,0.0,0,0.1942062832132269,0.022597752467868343,-3462646.6985136243,14751109684295.658,0.5,0.38350837975130225,34.608508827154715,6.103515625e-05,True,14.0
82,10.389243364334106,41069941.15941884,0.0008444943467699966,3837424.8200396732,3837424.820033398,6.935893427499919,0.0,0,0.19413379850165577,0.02257636348518101,-3253416.635847597,14725829249411.176,0.5,0.38331454037311663,35.37431564486051,0.0009765625,True,10.0
83,10.513046264648438,41069874.53484381,0.00010788773509988098,3837121.6967409817,3837121.696734596,6.9966931043397524,0.0,0,0.19415724375660698,0.022574028211923534,-3768642.512017329,14723502915554.209,0.5,0.3832901416413467,35.68642484068066,0.0001220703125,True,13.0
84,10.640340805053711,41069842.42546653,4.1815555069919524e-05,3836894.9843466035,3836894.9843401555,7.0302846929920895,0.0,0,0.1941709683905143,0.022575701796311357,-3340574.3492274475,14721763120857.457,0.5,0.38327814478027816,35.858553937182236,6.103515625e-05,True,14.0
85,10.794068098068237,41069788.94959826,8.06071259671341e-05,3836888.395046013,3836888.3950396064,7.007691119451349,0.0,0,0.19415244980525165,0.022574000936167234,-5109974.592271209,14721712555992.426,0.5,0.3832765511557686,35.74452022735811,7.62939453125e-06,True,17.0
86,10.916481971740723,41069761.19249124,3.8877786367027844e-05,3836668.276926925,3836668.2769204564,7.041353911476765,0.0,0,0.1941661448048192,0.022576200738658115,-3887963.121423623,14720023467130.604,0.5,0.3832645537559278,35.917012410438424,6.103515625e-05,True,14.0
87,11.028605222702026,41067304.91338301,0.0015718908506556955,3828677.162392862,3828677.1623860304,7.229263008855105,0.0,0,0.19392860119161334,0.02251810031706071,-4106132.636666595,14658768813779.16,0.5,0.38287856337633774,36.94073333763352,0.001953125,True,9.0
88,11.147257328033447,41067108.51053109,8.940017199756646e-05,3827724.0982733294,3827724.098266328,7.3174020237879125,0.0,0,0.19394391776055095,0.022521583402884727,-5192815.379293859,14651471772451.596,0.5,0.3828298654632874,37.396325541400074,0.000244140625,True,12.0
89,11.268769025802612,41066677.00341571,0.00023981894836270834,3825982.7131233597,3825982.7131160796,7.4602432519244815,0.0,0,0.19394831616025296,0.022524147898053022,-4436575.89091085,14638143721065.885,0.5,0.3827313353474407,38.138451845086244,0.00048828125,True,11.0
90,11.399274110794067,41066599.72167306,0.00018554007341495268,3825789.1574705597,3825789.157463391,7.402811457307551,0.0,0,0.1939040885401114,0.022521997612280374,-4371441.856223593,14636662677367.254,0.5,0.38272475163136027,37.848467605183174,3.0517578125e-05,True,15.0
91,11.523369312286377,41066350.59189089,9.844779952464164e-05,3824813.7747465954,3824813.7747392785,7.477948153572755,0.0,0,0.19390763776264094,0.02252170658582721,-5064063.454701325,14629200411438.139,0.5,0.3826766697895613,38.23864876644177,0.000244140625,True,12.0
92,11.631970405578613,41026497.7430174,0.024932313521675676,3699243.494715997,3699243.4947071066,8.107344194019207,0.0,0,0.18832275120928793,0.02128062699647717,-4621339.851446681,13684402433135.549,0.5,0.3762150222426601,42.76159593306303,0.03125,True,5.0
93,11.750372171401978,41024806.4766593,0.000840952242784677,3692361.487001387,3692361.4869917333,8.440418454515209,0.0,0,0.18813462791054728,0.02128646702423118,-3390475.059615306,13633533350622.504,0.5,0.37582411287122774,44.58656115652088,0.001953125,True,9.0
94,11.899231672286987,41023973.58049131,0.0009889216038334247,3687671.561690454,3687671.5616800045,8.776138642061289,0.0,0,0.18811715422474498,0.02133612730813046,-5080977.556678365,13598921546826.133,0.5,0.3756185709714258,46.38541113742272,0.0009765625,True,10.0
95,12.02742886543274,41023845.25884551,0.00016592928103423103,3686725.9411867354,3686725.941175624,9.048994226591995,0.0,0,0.18819593805976556,0.021346188462114498,-3399450.4445455316,13591948165339.98,0.5,0.3755606272088084,47.823875109199896,0.000244140625,True,12.0
96,12.152817010879517,41023657.267684385,0.0001611938415325813,3685642.5687568253,3685642.568745387,9.17973075486242,0.0,0,0.1882061651453096,0.021355485453092553,-2699086.1253119824,13583961144550.785,0.5,0.3755120845307624,48.51955039453858,0.000244140625,True,12.0
97,12.281069993972778,41023468.77169831,0.00018923729961345192,3685382.9141524904,3685382.9141413174,9.072310864215982,0.0,0,0.1881498210458603,0.02134633790943384,-4085254.8919566013,13582047223847.443,0.5,0.37549893745821356,47.960227830483085,6.103515625e-05,True,14.0
98,12.406701564788818,41023384.32857224,7.214768635475629e-05,3684893.31201993,3684893.312008561,9.151079841347594,0.0,0,0.18816050613098995,0.021350345167192943,-4882130.882497373,13578438720888.117,0.5,0.3754750569115987,48.378330134784626,0.0001220703125,True,13.0
99,12.53871774673462,41023300.580440335,0.00015989866892153934,3684660.1087246947,3684660.108713486,9.085815753893222,0.0,0,0.1881302269174324,0.021346118354532886,-3913466.953277576,13576720116747.174,0.5,0.3754715639379541,48.037394404307165,1.52587890625e-05,True,16.0
100,12.670258522033691,41023331.48139113,5.7142698926446534e-05,3684623.7640574896,3684623.764046145,9.140869172205015,0.0,0,0.18815079958377887,0.02134940843583025,-4750689.647776037,13576452282576.277,0.5,0.37546824330672857,48.32627122218942,1.52587890625e-05,True,16.0
101,12.785943746566772,41014761.789796054,0.008718876174719427,3663956.727600788,3663956.727588373,9.5357797812464,0.0,0,0.18758146288183541,0.02100736852819085,-3238827.483124622,13424578901642.773,0.5,0.3746455635680712,50.59430743882606,0.00390625,True,8.0
102,12.94775915145874,41014782.05431852,5.0731471068514883e-05,3663887.5830138028,3663887.5830012844,9.575110986564223,0.0,0,0.18759586276172785,0.021010293136044935,-4953442.459244646,13424072220873.668,0.5,0.3746446384068408,50.80105447481772,3.814697265625e-06,True,18.0
103,13.080697774887085,41014776.45215094,1.8739251476395874e-05,3663826.0255105384,3663826.0254979567,9.599339977277111,0.0,0,0.1876022370022012,0.02101129510612352,-4201280.724904193,13423621145118.832,0.5,0.37464170052122314,50.92908373801659,1.52587890625e-05,True,16.0
104,13.202044248580933,41014575.92293826,0.00010625901658794171,3662887.210710182,3662887.210697328,9.701403907575422,0.0,0,0.18759515053531664,0.021015954949070235,-5671272.120236111,13416742718292.729,0.5,0.3745945006680339,51.477598115571546,0.000244140625,True,12.0
105,13.328075408935547,41014558.07528487,3.298448352931895e-05,3662747.5118111805,3662747.511798229,9.737848142397644,0.0,0,0.1876029557572027,0.021017766550256216,-4753318.086220608,13415719335186.797,0.5,0.3745886077474975,51.6705960282979,3.0517578125e-05,True,15.0
106,13.51931881904602,41014558.07528484,0.0,3662747.511811177,3662747.511798226,9.73784814246029,0.0,0,0.1876029557572243,0.021017766550256924,-3941609.893055495,13415719335186.771,0.5,0.3745886077474961,51.67059602862743,7.105427357601002e-15,True,47.0
