iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,second_order_residual,Phi,sigma,rho,maxabsLagmult,stepsize,linesearch_status,linesearch_counter
0,0.0,50000011.0,0.0,20000003.000001,20000003.000000924,1.7497142623868622,0.0,0,0.0,0.0,-19999999.000000898,400000120000072.75,0.5,1.0,1.0,,,
1,0.1518540382385254,43063797.480112486,0.6215817280348939,9874241.569534043,9874241.569533955,1.3141731698483738,0.0,0,0.0013431801751580038,0.0001790906900210593,-7801187.990335419,97500646573522.28,0.5,0.6723306270140131,1.2450000248750022,0.5,True,1.0
2,0.26146984100341797,42450187.932026364,0.4068571109374456,8426852.297712527,8426852.297712432,1.255218322237212,0.0,0,0.14959888085806008,0.01042125385048232,-4231281.293418388,71011839647469.39,0.5,0.611772880943965,1.7162166905026073,0.125,True,3.0
3,0.3689241409301758,41663774.11143233,0.22097151895356762,6199099.56991835,6199099.569918246,1.1270096896731794,0.0,0,0.09582297092799437,0.013963637236597489,-4275200.581139254,38428835477766.08,0.5,0.5205238443096288,1.8241809788849772,0.25,True,2.0
4,0.4786081314086914,41658558.73860097,0.11142136833421923,6011732.212578619,6011732.212578499,1.1886379850817381,0.0,0,0.15851901805010987,0.02068431622358129,-3101220.469888127,36140924195759.19,0.5,0.5068413508724652,2.4061492191679728,0.03125,True,5.0
5,0.5833654403686523,41495108.44422623,0.09145487836481858,5286219.110326157,5286219.110325992,1.2977559120337803,0.0,0,0.1850764204096184,0.024128372142146755,-2185847.970090954,27944112482380.047,0.5,0.46538176400869674,3.130698836241419,0.125,True,3.0
6,0.6849286556243896,41291330.00964315,0.09879396131328923,4622839.042546196,4622839.042546,1.324619210907476,0.0,0,0.1760138279603578,0.02314448357414826,-3914564.53864204,21370640813291.26,0.5,0.43199516077426126,3.946464481222052,0.125,True,3.0
7,0.8158557415008545,41259710.25496659,0.023776846155573614,4445527.746829325,4445527.746829049,1.5495881901871789,0.0,0,0.18800014245973884,0.02456183110320791,-3702759.6945742397,19762716947830.445,0.5,0.4225930513387832,5.114721673832544,0.03125,True,5.0
8,0.9226231575012207,41243240.12635912,0.009104140725135296,4374894.321921991,4374894.321921661,1.6813931712680101,0.0,0,0.19225087923296874,0.02471429351290039,-4452422.274170484,19139700327985.8,0.5,0.41877577778140795,5.998068425458109,0.015625,True,6.0
9,1.028075933456421,41197393.05002184,0.04892232216151333,4295785.260462267,4295785.260461927,1.6928325978268493,0.0,0,0.19129282669746162,0.02273672316405814,-3884256.1208763667,18453771004005.2,0.5,0.40917553543365154,7.003077610995102,0.03125,True,5.0
