iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,second_order_residual,rho,maxabsLagmult
0,0.0,50000011.0,0.0,20000003.000001,20000003.000000924,1.7497142623868622,0.0,0,0,0.0,-19999999.00000091,1.0,1.0
1,0.5374934673309326,40000011.82421582,1.5465767693734982,611.9109208353836,611.9109190587185,0.04662962238068506,0.0,0,0,0.0,-6365.086779580779,1.0,0.9900191644587202
2,0.9883003234863281,40000011.46394256,0.003043084961028791,92.20365920255335,92.20364883213715,0.043730773330407355,0.0,0,0,0.0,-4312.0412167379845,1.0,0.9800378377189699
3,1.4639747142791748,40000010.991548784,0.015597955953380033,4.739361296818096,4.739226882987778,0.035693883835285094,0.0,0,0,0.0,-518.199887156782,1.0,0.9700554937698608
4,1.7610054016113281,40000010.99131689,8.693250599974751e-05,13.230922850479095,13.23087569049914,0.035326164365696515,0.0,0,0,0.0,-544.8313111441728,3.3333333333333335,0.9600731473217997
5,1.829927921295166,40000010.99130604,4.025685970748133e-06,13.20678878007234,13.206745134611586,0.03395336298325883,0.0,0,0,0.0,-313.4082368374557,11.111111111111112,0.9267986590758417
6,2.282702684402466,40000010.99096895,0.00012252335702056503,8.221507118944334,8.22145442982328,0.02943408214146224,0.0,0,0,0.0,-472.8195565626909,37.037037037037045,0.8158837045668358
7,2.7298927307128906,40000010.99067895,0.00010341038383318099,6.3417226683236745,6.34170548270699,0.014763892930144523,0.0,0,0,0.0,-451.1053258690415,123.45679012345683,0.44616727158920966
8,2.976901054382324,40000010.990516216,5.767223736183775e-05,8.304495941881981,8.304495941881981,0.0,0.0,0,0,0.0,-462.87342508256665,123.45679012345683,0.0
9,3.1734421253204346,40000010.9904041,3.976152821004848e-05,9.524438563235663,9.524438563235663,0.0,0.0,0,0,0.0,-465.23616173353855,123.45679012345683,0.0
10,3.3334274291992188,40000010.99032301,2.843149756193461e-05,8.449400749992606,8.449400749992606,0.0,0.0,0,0,0.0,-519.1317291589208,123.45679012345683,0.0
11,3.419773578643799,40000010.99029645,9.46750409818587e-06,8.87798352475451,8.87798352475451,0.0,0.0,0,0,0.0,-222.05936828110148,123.45679012345683,0.0
12,3.7667534351348877,40000010.99002063,9.759671005248521e-05,10.848049594479997,10.848049594479997,0.0,0.0,0,0,0.0,-327.1793340872693,123.45679012345683,0.0
13,4.1467626094818115,40000010.98973074,0.00010126179562047267,4.6478947250342415,4.6478947250342415,0.0,0.0,0,0,0.0,-277.352311342147,123.45679012345683,0.0
14,4.474127769470215,40000010.989526734,7.234193785797015e-05,8.94375863458055,8.94375863458055,0.0,0.0,0,0,0.0,-561.9012288404712,123.45679012345683,0.0
15,4.807452201843262,40000010.98925602,9.474213601374169e-05,5.2154856458652965,5.2154856458652965,0.0,0.0,0,0,0.0,-464.5725278876341,123.45679012345683,0.0
16,5.134705305099487,40000010.989019476,8.3156804224306e-05,5.624240390837427,5.624240390837427,0.0,0.0,0,0,0.0,-251.5551956777484,123.45679012345683,0.0
17,5.466763734817505,40000010.98876759,8.836506065410023e-05,5.362950677293705,5.362950677293705,0.0,0.0,0,0,0.0,-399.67799214732383,123.45679012345683,0.0
18,5.792645215988159,40000010.988508336,9.09920566917737e-05,6.565361218008385,6.565361218008385,0.0,0.0,0,0,0.0,-373.85579802008743,123.45679012345683,0.0
19,6.129777908325195,40000010.98828268,7.909861863716487e-05,7.330415178817345,7.330415178817345,0.0,0.0,0,0,0.0,-560.6038697796588,123.45679012345683,0.0
20,6.468209505081177,40000010.98802776,8.901478765881241e-05,6.390123396995911,6.390123396995911,0.0,0.0,0,0,0.0,-339.62693327397795,123.45679012345683,0.0
21,6.80591082572937,40000010.98778721,8.371739320475903e-05,3.329909346528363,3.329909346528363,0.0,0.0,0,0,0.0,-277.78173448977935,123.45679012345683,0.0
22,7.136629343032837,40000010.987502,9.950750663722143e-05,4.706705808464764,4.706705808464764,0.0,0.0,0,0,0.0,-377.0071319593407,123.45679012345683,0.0
23,7.466721773147583,40000010.98727672,7.832007515641863e-05,3.280086727112907,3.280086727112907,0.0,0.0,0,0,0.0,-494.73581176985977,123.45679012345683,0.0
24,7.752444267272949,40000010.98703719,8.375231686271684e-05,8.584454185916531,8.584454185916531,0.0,0.0,0,0,0.0,-524.4068713698493,123.45679012345683,0.0
25,7.925559759140015,40000010.98691762,4.149886713657405e-05,8.626443551559639,8.626443551559639,0.0,0.0,0,0,0.0,-487.21537374608454,123.45679012345683,0.0
26,8.253347873687744,40000010.98665136,9.171085357924369e-05,3.0573999172805717,3.0573999172805717,0.0,0.0,0,0,0.0,-359.1528504248289,123.45679012345683,0.0
27,8.57908296585083,40000010.98640693,8.582006559279973e-05,12.634676933228583,12.634676933228583,0.0,0.0,0,0,0.0,-361.92910137268666,123.45679012345683,0.0
28,8.72472333908081,40000010.98630143,3.569731705143835e-05,8.642209949365935,8.642209949365935,0.0,0.0,0,0,0.0,-536.5154983329456,123.45679012345683,0.0
29,9.049152851104736,40000010.98605816,8.343195418162418e-05,4.208622296617538,4.208622296617538,0.0,0.0,0,0,0.0,-353.43092403234266,123.45679012345683,0.0
30,9.38817048072815,40000010.98577354,9.82585123071667e-05,7.319289891634494,7.319289891634494,0.0,0.0,0,0,0.0,-440.02722247926545,123.45679012345683,0.0
31,9.713963747024536,40000010.98552978,8.359775876100397e-05,6.543203532599807,6.543203532599807,0.0,0.0,0,0,0.0,-464.0053886328132,123.45679012345683,0.0
