iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,second_order_residual,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,stepsize,linesearch_status,linesearch_counter
0,0.0,50000011.0,0.0,20000003.000001,20000003.000000924,1.7497142623868622,0.0,0,0,0.0,-19999999.00000091,1.0,,1.0,,,,,,,,,,
1,0.1766524314880371,40000840.866618454,2.2214413078468844,750955.1829293404,750819.2843668505,14285.97183567129,0.0,0,0,0.0,-5613289.251683797,12225251.515857799,12225251.015857799,12225251.015857799,unknown,11.0,148424.44200332204,-28296683.680106804,-28423566.355909873,0.0033066822688060495,2.7389313714909987e-09,0.6561000000000001,1.0,4.0
2,0.27156734466552734,40000707.41416307,0.023609729285107132,161804.77627973747,161804.2336711738,419.03820838337606,0.0,0,0,0.0,-67384.4853637968,12225251.515857799,101006.53627767898,101006.53627767898,optimal,12.0,7.350616950141722e-10,-1516.7676944151945,-1516.7676944159298,9.940767008681723e-17,1.937200048679506e-14,0.5904900000000002,1.0,5.0
3,0.35305023193359375,40000011.10489176,0.014599017810638123,1714.224974522,1714.2249745219922,0.0001614077219199195,0.0,0,0,0.0,-567.0054178898882,12225251.515857799,684.0587941970566,684.0587941970566,optimal,9.0,2.363965680329295e-11,-701.3187503264836,-701.3187503265071,4.474549386243683e-16,1.0815250288425946e-16,1.0,1.0,0.0
4,0.4397752285003662,40000011.08669404,0.015176993593282007,3621.803303100027,3613.482355458497,245.3659168188967,0.0,0,0,0.0,-35435.45142556423,12225251.515857799,278847.02745922655,278847.02745922655,unknown,19.0,3.358212342992113e-13,-260.3194051168943,-260.3194051168984,5.590803198048396e-15,4.336147041909671e-11,0.00026972160559060804,1.0,78.0
5,0.5201408863067627,40000011.025142334,0.0017935849495656637,136.36156736186055,136.36156736186055,3.4539906591670765e-08,0.0,0,0,0.0,-18.75298608485712,12225251.515857799,2.004898023887996,2.004898023887996,optimal,8.0,5.281374591386281e-13,-0.0702694328969115,-0.07026943289743733,2.5154232931485856e-15,1.400242878157621e-15,1.0,1.0,0.0
6,0.6088786125183105,40000010.88464876,0.44454471245464816,5080.458623549565,5080.458559216226,0.8085083400902209,0.0,0,0,0.0,-4188.783754544826,12225251.515857799,183.33864815525703,183.33864815525703,unknown,16.0,1.7545772101628326e-19,-1.9987264407179723,-1.9987264407179723,2.0863021161019866e-16,6.480596168695379e-12,0.5904900000000002,1.0,5.0
7,0.7014694213867188,40000010.55668394,0.038307012885244726,3214.344435348134,3214.3444206209256,0.30769569685576964,0.0,0,0,0.0,-1736.477107171751,12225251.515857799,28.57726849073506,28.57726849073506,optimal,9.0,1.4475672564949078e-12,-1.5470929939929585,-1.5470929939943896,1.2703363452441496e-15,1.3816590143574256e-14,0.5904900000000002,1.0,5.0
8,0.7958416938781738,40000010.53574813,0.09488738351816198,3048.0202716633275,3048.0202631670063,0.22758277585263936,0.0,0,0,0.0,-5711.834921586454,12225251.515857799,4.093647535559784,4.093647535559784,optimal,10.0,1.9867943148256956e-14,-0.8753044143321432,-0.8753044143321632,3.588376157986052e-16,3.266834284864553e-13,0.07178979876918531,1.0,25.0
9,0.9160618782043457,40000010.37286874,0.1669762557624839,2641.029913105624,2641.0299087474027,0.15172470311721784,0.0,0,0,0.0,-1443.580811094524,12225251.515857799,8.793167033961085,8.793167033961085,optimal,10.0,1.0638564745695734e-14,-1.0091271193018718,-1.0091271193018825,1.6429104372108878e-16,1.7176662925242673e-13,0.43046721000000016,1.0,8.0
10,1.003716230392456,40000010.24475408,0.03224149055698151,2560.9563324564197,2560.9562562813094,0.6246296946951838,0.0,0,0,0.0,-1106.51104684254,12225251.515857799,37.475587803344915,37.475587803344915,optimal,9.0,5.6107271995141783e-14,-1.251180004443929,-1.2511800044439845,2.105743595372232e-16,5.2281265132273835e-14,0.38742048900000015,1.0,9.0
11,1.0913164615631104,40000010.21228105,0.20153641014041443,2936.781886047837,2936.778929026007,4.1675229513357035,0.0,0,0,0.0,-2249.964833921969,12225251.515857799,5.122475133810487,5.122475133810487,optimal,9.0,2.8431877649584647e-13,-4.800259712460906,-4.800259712461187,9.621581287093028e-16,4.558720235481862e-13,0.06461081889226679,1.0,26.0
12,1.1758692264556885,40000010.12460996,0.30910910632137645,4237.636657802641,4237.636568197297,0.8714526834443587,0.0,0,0,0.0,-1316.8115778218837,12225251.515857799,6.871957112486647,6.871957112486647,optimal,11.0,2.2569141116409617e-16,-1.6664069781129713,-1.6664069781129713,3.896057059843027e-16,7.405209789959899e-13,0.16677181699666577,1.0,17.0
13,1.2593955993652344,40000009.80651079,0.027992583449389062,1172.5766877496296,1172.5766877488873,0.0013194386088339943,0.0,0,0,0.0,-2797.8266831970086,12225251.515857799,0.34380965847988154,0.34380965847988154,optimal,9.0,3.0008461307796146e-13,-0.5301774550896456,-0.5301774550899456,5.957070706740479e-16,1.052881181380508e-14,0.5904900000000002,1.0,5.0
14,1.3468570709228516,40000009.6859193,0.16071411691783702,1814.0133589060101,1814.0132985042076,0.46812322083502206,0.0,0,0,0.0,-781.0459475516615,12225251.515857799,108.85572591842018,108.85572591842018,optimal,13.0,5.537129681072679e-13,-0.9417045887154758,-0.9417045887159802,9.554492611203883e-16,3.5972590016622723e-13,0.28242953648100017,1.0,12.0
15,1.4341087341308594,40000009.683234915,0.024616186623746122,1739.6160088387408,1739.615982434291,0.3030960345711823,0.0,0,0,0.0,-1272.1112183882321,12225251.515857799,0.6893797242178664,0.6893797242178664,optimal,9.0,7.161351571729817e-13,-0.441534791205101,-0.4415347912058161,2.0467880495051146e-15,5.180950872628682e-13,0.02781283894436938,1.0,34.0
16,1.5185375213623047,40000009.64097206,0.020384755517661377,1114.629822994065,1114.6298229938363,0.0007138623812071447,0.0,0,0,0.0,-1580.9892050961923,12225251.515857799,0.25159296830409006,0.25159296830409006,optimal,9.0,2.5903950796815924e-13,-0.12536672525095902,-0.12536672525121803,4.174152798284411e-16,8.40695271738845e-15,0.6561000000000001,1.0,4.0
17,1.6292846202850342,40000009.635075085,0.12814152868994247,1314.1328878735321,1314.1328877386456,0.018828643586489665,0.0,0,0,0.0,-265.65491997166623,12225251.515857799,1.0234639082115229,1.0234639082115229,unknown,15.0,1.1017530673606902e-23,-0.1036030511100883,-0.10360305111008832,2.0066984836416361e-16,3.185432874497096e-12,0.12157665459056936,1.0,20.0
