iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,second_order_residual,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,stepsize,linesearch_status,linesearch_counter
18,1.7175514698028564,40000009.63413682,0.01895747416522415,1213.97043581861,1213.9704350474524,0.04327037298969717,0.0,0,0,0.0,-549.1659975255332,12225251.515857799,4.714241053040319,4.714241053040319,optimal,10.0,2.079784997394263e-13,-0.12233647005836426,-0.12233647005857219,2.3279958399480285e-16,7.892296246004449e-13,0.02781283894436938,1.0,34.0
19,1.806206226348877,40000009.62143526,0.015294400070395807,1467.3839655608976,1467.3839655533982,0.0046914403108475715,0.0,0,0,0.0,-657.6078767341248,12225251.515857799,0.3861122387046497,0.3861122387046497,optimal,10.0,1.09657341752641e-14,-0.06655626004085788,-0.06655626004086884,2.0701773415110096e-16,5.398872629538884e-14,0.31381059609000017,1.0,11.0
20,1.8931715488433838,40000009.61926105,0.05063844529853319,1578.2223237040187,1578.2223059032572,0.2370382199444411,0.0,0,0,0.0,-991.7143164572508,12225251.515857799,1.072932820310782,1.072932820310782,optimal,9.0,5.31564465520551e-13,-0.31091026207794437,-0.31091026207847394,2.852080300011781e-15,5.358828613531387e-13,0.05814973700304011,1.0,27.0
21,1.9835340976715088,40000009.6048364,0.01742514013694378,777.4119432275547,777.4119432224988,0.0028037398683892567,0.0,0,0,0.0,-520.4828080532468,12225251.515857799,0.48249086238562816,0.48249086238562816,optimal,9.0,3.3436801489888237e-13,-0.0614299675968402,-0.061429967597174534,3.4440083457201824e-16,2.617997293057406e-14,0.38742048900000015,1.0,9.0
22,2.069845199584961,40000009.591163374,0.016724058435153715,1182.7120156299918,1182.7120156287694,0.0017003006085753276,0.0,0,0,0.0,-92.5987322264969,12225251.515857799,0.174326513861506,0.174326513861506,optimal,10.0,2.8797780661669564e-14,-0.04703901687927685,-0.047039016879305645,3.138341867759399e-16,5.801108824068072e-14,0.43046721000000016,1.0,8.0
23,2.1535043716430664,40000009.582067296,0.012451072542146967,656.5918492070126,656.5918492060217,0.0011407014569755516,0.0,0,0,0.0,-19.4970839278422,12225251.515857799,0.13383058059485245,0.13383058059485245,optimal,9.0,4.59946865271948e-13,-0.033230835181534024,-0.033230835181993955,3.637549258403954e-16,1.9585684607313046e-14,0.31381059609000017,1.0,11.0
24,2.2369041442871094,40000009.57994956,0.0146277314896921,619.2467732623616,619.246773161517,0.011175658431468196,0.0,0,0,0.0,-480.76210180508144,12225251.515857799,1.5431874596750277,1.5431874596750277,optimal,9.0,6.693269372611856e-13,-0.038049698355076114,-0.03804969835574379,2.3380546791684686e-15,1.1388174177768695e-13,0.1500946352969992,1.0,18.0
25,2.3202576637268066,40000009.570907116,0.013018647725681034,706.27910194026,706.2791019401323,0.00042486945067775377,0.0,0,0,0.0,-475.05660748343485,12225251.515857799,0.21777648595831228,0.21777648595831228,optimal,9.0,3.8055110222636304e-13,-0.024074493281430225,-0.02407449328181073,5.798766249397008e-16,3.319954266734528e-14,0.7290000000000001,1.0,3.0
26,2.4294421672821045,40000009.569637775,0.048338119544323314,664.6004397175658,664.6004391241604,0.028084781966728315,0.0,0,0,0.0,-234.49625843147192,12225251.515857799,6.174319708225834,6.174319708225834,optimal,11.0,6.304092800846679e-14,-0.04569024641101545,-0.04569024641107838,1.8935509670543618e-16,5.52855372708089e-13,0.10941898913151243,1.0,21.0
27,2.515758514404297,40000009.56837854,0.04832894111807371,625.7778071765616,625.7778050231615,0.05191435243617138,0.0,0,0,0.0,-56.66277328256003,12225251.515857799,0.16289166729485824,0.16289166729485824,optimal,10.0,3.0992846970351074e-14,-0.07056510272668128,-0.07056510272671226,8.345999172838822e-17,9.070763220925028e-13,0.06461081889226679,1.0,26.0
28,2.606977701187134,40000009.557638235,0.0014059910660570952,6.994401344157982,6.994401344157982,2.0743721244753487e-14,0.0,0,0,0.0,-5.785410543936431,12225251.515857799,2.048891048072554e-14,2.048891048072554e-14,optimal,7.0,4.820518807188381e-14,-0.010642884856816909,-0.010642884856865114,1.4797942083884187e-16,8.477478562038186e-16,1.0,1.0,0.0
29,2.6989543437957764,40000009.55711805,0.011829015380583148,145.16432040767822,145.16432040588396,0.0007217497496155043,0.0,0,0,0.0,-50.24549748215828,12225251.515857799,0.052958508779934056,0.052958508779934056,unknown,12.0,2.0873209322734789e-22,-0.0030626317885156943,-0.0030626317885156943,8.719747146858897e-17,1.225198444476318e-11,0.28242953648100017,1.0,12.0
30,2.8169238567352295,40000009.5568529,0.006144098639804935,216.51550965269413,216.51550960411655,0.004586458662779276,0.0,0,0,0.0,-92.05328580821025,12225251.515857799,0.377979618119702,0.377979618119702,optimal,9.0,3.0638193773180985e-13,-0.0061509401491720486,-0.006150940149478388,3.6581520569075493e-16,5.784560716145885e-13,0.10941898913151243,1.0,21.0
31,2.9078917503356934,40000009.55666055,0.004946723741625358,160.8516969321178,160.85169693160395,0.0004065720019756711,0.0,0,0,0.0,-41.68086645064075,12225251.515857799,0.04913142356090871,0.04913142356090871,optimal,8.0,3.669074874469973e-14,-0.001672949158764394,-0.0016729491588010847,2.356777649225124e-16,8.60910315080394e-14,0.16677181699666577,1.0,17.0
32,2.996880054473877,40000009.55625045,0.01759457417154211,237.21832554378105,237.21832472278598,0.0197360115335869,0.0,0,0,0.0,-61.87732488844494,12225251.515857799,1.492714301950484,1.492714301950484,optimal,10.0,5.2156650092492647e-14,-0.02555065077779909,-0.025550650777851253,2.1824130101097626e-16,7.955677582382551e-13,0.0523347633027361,1.0,28.0
33,3.0829858779907227,40000009.5557936,0.006882641897375159,135.2471878607816,135.24718786061675,0.0002111635457234803,0.0,0,0,0.0,-156.7385954881545,12225251.515857799,0.03435637812271381,0.03435637812271381,optimal,8.0,3.321817997421667e-14,-0.0017425003006221024,-0.0017425003006553206,1.8586681917880848e-16,2.1572109788114555e-13,0.31381059609000017,1.0,11.0
34,3.196242570877075,40000009.55576474,0.017203213843569532,146.602382084818,146.60238118144446,0.016274932523517707,0.0,0,0,0.0,-77.80817898537329,12225251.515857799,3.4990407205483423,3.4990407205483423,unknown,16.0,9.943599397909115e-26,-0.018195399319180308,-0.018195399319180308,3.001100434990077e-16,1.5828326689811862e-12,0.030903154382632643,1.0,33.0
35,3.2863881587982178,40000009.555715956,0.0075183643107794886,133.71575423098784,133.7157541992596,0.0029129246692981207,0.0,0,0,0.0,-112.988778779239,12225251.515857799,0.5064625424017566,0.5064625424017566,unknown,12.0,3.850158683280218e-20,-0.004997162584667161,-0.004997162584667158,1.5096214954803265e-16,5.379106383865407e-12,0.03433683820292516,1.0,32.0
36,3.3739943504333496,40000009.555711925,0.0010754643227381226,132.78025488139698,132.78025488065722,0.00044322952755719667,0.0,0,0,0.0,-125.40861425018218,12225251.515857799,0.027012345103517466,0.027012345103517466,optimal,10.0,1.485248102404915e-15,-0.0015337941105826444,-0.0015337941105841297,1.651562517099039e-16,8.050770263109155e-13,0.005726416897022355,1.0,49.0
37,3.461045742034912,40000009.55570536,0.00596037584387566,130.65030596490269,130.65030549196746,0.011116576044191709,0.0,0,0,0.0,-117.10895903071093,12225251.515857799,0.019117456616614605,0.019117456616614605,unknown,16.0,2.0355908859538245e-26,-0.012345016667530018,-0.012345016667530018,3.028329668967444e-16,3.686016652430101e-11,0.00515377520732012,1.0,50.0
38,3.545156717300415,40000009.55537737,0.006653101069045302,197.08033944197743,197.0803394418787,0.0001972717953929212,0.0,0,0,0.0,-58.055824021859806,12225251.515857799,0.07247520300227163,0.07247520300227163,optimal,10.0,1.7748371187852574e-14,-0.0014907919227384813,-0.0014907919227562297,2.3223307412770613e-16,5.799825773819758e-14,0.5314410000000002,1.0,6.0
39,3.6296141147613525,40000009.55533561,0.003189773487629646,179.9256152191525,179.92561521889684,0.0003033022135837296,0.0,0,0,0.0,-32.16444358624804,12225251.515857799,0.01648128323215987,0.01648128323215987,optimal,9.0,1.3112737836683466e-14,-0.001200366658979326,-0.0012003666589924388,2.0085172130783022e-16,9.392398989473207e-14,0.05814973700304011,1.0,27.0
40,3.7200558185577393,40000009.55533098,0.003666109223939503,173.27834373609204,173.27834373154107,0.0012558524935888978,0.0,0,0,0.0,-13.281402832685712,12225251.515857799,0.06890973883011421,0.06890973883011421,unknown,14.0,1.0849433828450745e-22,-0.002120959499010566,-0.0021209594990105663,3.94996637053209e-16,4.493500056075597e-12,0.009697737297875247,1.0,44.0
41,3.811771869659424,40000009.55501711,0.02142254109328219,47.719310104411214,47.71931010372943,0.000255085289568054,0.0,0,0,0.0,-68.20098595378286,12225251.515857799,0.01812460615668913,0.01812460615668913,optimal,8.0,5.805573350558101e-13,-0.0011718825019822081,-0.0011718825025627655,2.1308104703232173e-16,3.6275222668313025e-13,0.22876792454961012,1.0,14.0
42,3.902108907699585,40000009.55483007,0.005696756911353707,45.56453077344276,45.564530736295595,0.0018398876490473637,0.0,0,0,0.0,-77.06225573170501,12225251.515857799,0.1511582072200385,0.1511582072200385,optimal,11.0,9.806387630848022e-17,-0.0023540266873753306,-0.0023540266873754287,2.389699822999855e-16,9.990810491049977e-13,0.13508517176729928,1.0,19.0
43,4.017796993255615,40000009.5547983,0.029066349559827495,69.38886840699038,69.38884613015976,0.05560150753477576,0.0,0,0,0.0,-19.776480061910938,12225251.515857799,0.15583073775371542,0.15583073775371542,unknown,16.0,1.3740206578625166e-25,-0.05919581120611988,-0.059195811206119886,2.841469833456375e-16,1.2589432089076824e-11,0.025031555049932444,1.0,35.0
44,4.105497360229492,40000009.554758385,0.004526779945330623,93.69231352009962,93.69231351851631,0.0005446890666309346,0.0,0,0,0.0,-41.211465953245565,12225251.515857799,0.05851994534829542,0.05851994534829542,unknown,12.0,1.2597095385237146e-22,-0.0009330819272887457,-0.0009330819272887457,1.4237882958628572e-16,5.8604269735021865e-12,0.0984770902183612,1.0,22.0
45,4.189982652664185,40000009.55460731,0.014804140844543718,80.42641415100172,80.42641387445629,0.006669566351808867,0.0,0,0,0.0,-54.34410381862066,12225251.515857799,0.7607835650837245,0.7607835650837245,unknown,11.0,4.218954575707174e-18,-0.00959143856911372,-0.009591438569113722,1.471162792048342e-16,4.9682310802017995e-12,0.05814973700304011,1.0,27.0
46,4.2733776569366455,40000009.55457362,0.004233564432442213,88.75148639633176,88.75148638862738,0.0011694221952688018,0.0,0,0,0.0,-27.47032956932077,12225251.515857799,0.14637815192399642,0.14637815192399642,optimal,8.0,2.0536134164773153e-14,-0.0016567444222270623,-0.0016567444222475981,3.0759947388448477e-16,6.830818228831559e-13,0.08862938119652508,1.0,23.0
47,4.358537912368774,40000009.55447902,0.005242164896054165,133.15485519283635,133.1548551895213,0.0009395909796237242,0.0,0,0,0.0,-18.832756922182632,12225251.515857799,0.1412012555424371,0.1412012555424371,optimal,10.0,1.218855247696896e-14,-0.0015272374587970898,-0.0015272374588092784,2.6803582642556984e-16,1.3813721418830068e-13,0.16677181699666577,1.0,17.0
48,4.445875883102417,40000009.55447115,0.009469211460924125,136.5337715750676,136.5337693395301,0.024707341471188513,0.0,0,0,0.0,-45.42419563073683,12225251.515857799,0.0453698676039685,0.0453698676039685,unknown,14.0,1.9012270239056827e-21,-0.025641930607500592,-0.025641930607500595,2.5905694886145325e-16,2.121597226059037e-11,0.007069650490151055,1.0,47.0
49,4.533539056777954,40000009.55444339,0.0036720477917331134,133.32917398026666,133.3291739750585,0.0011784750556219773,0.0,0,0,0.0,-9.553684087350371,12225251.515857799,0.08284121585627445,0.08284121585627445,optimal,8.0,4.0844883496101595e-14,-0.0017177544607165328,-0.0017177544607573777,1.3356826481559115e-16,4.4565596687934194e-13,0.08862938119652508,1.0,23.0
50,4.622718095779419,40000009.55439634,0.004080857368985781,100.67378426183325,100.67378426182756,3.378574281438257e-05,0.0,0,0,0.0,-46.848791318934744,12225251.515857799,0.004900751710520618,0.004900751710520618,optimal,8.0,8.982292205113478e-14,-0.0005458982677490722,-0.0005458982678388951,1.1622639302524304e-16,3.1995144258982647e-13,0.13508517176729928,1.0,19.0
51,4.731537818908691,40000009.55438069,0.0036692437081997536,91.22401475595493,91.22401475418609,0.0005680855059862637,0.0,0,0,0.0,-39.81722084355147,12225251.515857799,0.08604519941500491,0.08604519941500491,optimal,8.0,8.367364641575698e-14,-0.0011246515205715585,-0.001124651520655232,1.8356126867192983e-16,6.371091584713446e-13,0.042391158275216244,1.0,30.0
52,4.8185389041900635,40000009.554287896,0.012167217722377286,81.301836541956,81.30183654190242,9.334887181039963e-05,0.0,0,0,0.0,-54.397938734500435,12225251.515857799,0.006799711923855932,0.006799711923855932,optimal,13.0,2.4819138325762142e-21,-0.0005528863507392688,-0.0005528863507392688,2.5244263107277997e-16,5.423125657588888e-13,0.12157665459056936,1.0,20.0
53,4.9027931690216064,40000009.55422134,0.005639101322922422,58.57391317883563,58.57391316307523,0.0013587851451021926,0.0,0,0,0.0,-17.21773001247793,12225251.515857799,0.10859279745528606,0.10859279745528606,optimal,10.0,3.883746116446037e-18,-0.0017520627376889052,-0.0017520627376889089,1.204247489072509e-16,4.944078091137205e-13,0.08862938119652508,1.0,23.0
54,4.989116907119751,40000009.55420946,0.010270032568189771,62.71878174925709,62.71877874878174,0.019400317228922014,0.0,0,0,0.0,-13.715430256443096,12225251.515857799,0.06925599357205237,0.06925599357205237,unknown,13.0,1.175018287415835e-21,-0.020660035604190892,-0.020660035604190892,2.1116496388069276e-16,3.035063855569212e-11,0.009697737297875247,1.0,44.0
55,5.07368278503418,40000009.55416464,0.004322227734601479,93.79591127349215,93.79591127260443,0.000408080467998266,0.0,0,0,0.0,-39.0923262604354,12225251.515857799,0.04672197126383567,0.04672197126383567,optimal,8.0,3.3448598829628144e-14,-0.0007552314297632995,-0.0007552314297967481,1.4492044532492763e-16,6.230188693039539e-13,0.10941898913151243,1.0,21.0
56,5.157665252685547,40000009.554131314,0.0035350186028400093,66.82414372814888,66.82414372793855,0.000167664436422485,0.0,0,0,0.0,-35.95757799573499,12225251.515857799,0.021849716608954357,0.021849716608954357,optimal,8.0,3.702500215268613e-13,-0.00038980216544122264,-0.0003898021658114726,8.554735812235393e-17,2.2791899405461656e-13,0.12157665459056936,1.0,20.0
57,5.2416887283325195,40000009.55412407,0.006256363383958161,68.17426933714987,68.17426904084961,0.006356107874946027,0.0,0,0,0.0,-30.701425208933593,12225251.515857799,1.3534478887754333,1.3534478887754333,unknown,14.0,1.445297483746473e-20,-0.008177093616506152,-0.00817709361650615,4.066143769778222e-16,7.666829410260107e-12,0.009697737297875247,1.0,44.0
58,5.324846267700195,40000009.5540948,0.008405728102529866,69.07375398641769,69.07375398522868,0.0004052888923547567,0.0,0,0,0.0,-44.92421475709777,12225251.515857799,0.06071284455394758,0.06071284455394758,optimal,8.0,1.4693204054133815e-14,-0.0006591592572193427,-0.0006591592572340359,1.260291898592989e-16,9.548729875260635e-13,0.12157665459056936,1.0,20.0
59,5.40863037109375,40000009.55404507,0.00615137143741731,36.20266523222038,36.20266523064094,0.000338172167614876,0.0,0,0,0.0,-7.760687910482312,12225251.515857799,0.024694525854824234,0.024694525854824234,optimal,8.0,4.4420147048399746e-13,-0.000510201327952193,-0.0005102013283963944,1.9636127563107728e-16,6.492441410413691e-13,0.12157665459056936,1.0,20.0
60,5.517593622207642,40000009.554043196,0.007352785505204529,33.46170299452259,33.46170246857886,0.005932785627439817,0.0,0,0,0.0,-15.343648904453298,12225251.515857799,1.2787291254707986,1.2787291254707986,unknown,15.0,4.8182193767596433e-23,-0.007266889689737355,-0.007266889689737355,2.0951808342535191e-16,3.002613322018911e-11,0.009697737297875247,1.0,44.0
61,5.602512836456299,40000009.55401522,0.00429451060334624,64.18162758696927,64.18162758483896,0.0005229278076237382,0.0,0,0,0.0,-36.12287512693671,12225251.515857799,0.04329973021926856,0.04329973021926856,optimal,8.0,7.506091796830743e-14,-0.0006892302039512621,-0.0006892302040263232,2.7531056846948513e-16,9.56748256575818e-13,0.10941898913151243,1.0,21.0
62,5.687077283859253,40000009.55396118,0.006603751328607081,30.24054315997267,30.240543153601685,0.000620744694992521,0.0,0,0,0.0,-18.882389832035713,12225251.515857799,0.066159276746374,0.066159276746374,unknown,11.0,2.710930943927253e-20,-0.0010501210576104685,-0.0010501210576104685,1.868535139346709e-16,1.2571976473507687e-12,0.07178979876918531,1.0,25.0
63,5.770959854125977,40000009.55391174,0.004357978653123803,66.23538738369994,66.23538738243178,0.0004098698665088175,0.0,0,0,0.0,-13.33254054910032,12225251.515857799,0.053625805314182574,0.053625805314182574,optimal,8.0,7.482348576791378e-14,-0.0005912361392895449,-0.0005912361393643684,2.7162683205779457e-16,2.306489763902359e-13,0.1853020188851842,1.0,16.0
64,5.854485273361206,40000009.55382874,0.012042522654057468,34.18239814268414,34.18239814264172,5.385206580286455e-05,0.0,0,0,0.0,-50.10642199116471,12225251.515857799,0.012347243403020815,0.012347243403020815,optimal,8.0,4.326077034466602e-13,-0.00029552460089067806,-0.0002955246013232858,2.1235590299039068e-16,2.45265834789935e-13,0.43046721000000016,1.0,8.0
65,5.939161062240601,40000009.55381952,0.002826664021235751,34.0669939962875,34.06699399564186,0.00020973904455716147,0.0,0,0,0.0,-22.975487952723835,12225251.515857799,0.05474612079271378,0.05474612079271378,optimal,10.0,1.3573207747861495e-14,-0.00038984041182330844,-0.0003898404118368815,9.454934065380792e-17,6.791799574700041e-13,0.12157665459056936,1.0,20.0
66,6.022902488708496,40000009.55378962,0.007763499221371558,26.141415148365166,26.14141514664198,0.0003001548328384159,0.0,0,0,0.0,-49.3467172453401,12225251.515857799,0.09868359919079965,0.09868359919079965,optimal,8.0,6.306910325699742e-14,-0.0005016546895496095,-0.0005016546896126785,2.221423846445501e-16,7.489274687051276e-13,0.2058911320946491,1.0,15.0
67,6.106353759765625,40000009.55376112,0.00492855030141502,24.7639738324088,24.763973832383936,3.5091683197214696e-05,0.0,0,0,0.0,-36.82127945016212,12225251.515857799,0.016070905129458905,0.016070905129458905,optimal,8.0,2.9925108673827405e-14,-0.0001986553686501077,-0.00019865536868003282,2.713592580659851e-16,6.88152266794497e-13,0.28242953648100017,1.0,12.0
68,6.2172746658325195,40000009.553701356,0.004191434261825925,43.159166971117294,43.159166971116896,5.861557281891277e-06,0.0,0,0,0.0,-25.661760761227292,12225251.515857799,0.026886907985030108,0.026886907985030108,optimal,9.0,3.672909224932123e-13,-0.00012573422938425946,-0.00012573422975155034,1.743103867543674e-16,1.6752085489800375e-13,0.9,1.0,1.0
69,6.3031110763549805,40000009.55369712,0.004698345029189064,42.49457723148694,42.49457715936329,0.002475828853711453,0.0,0,0,0.0,-29.645312897034813,12225251.515857799,0.542588815890328,0.542588815890328,unknown,15.0,1.1091549722606286e-23,-0.0025654047228915212,-0.0025654047228915212,1.240288815688457e-16,1.6158808351277662e-11,0.016423203268260675,1.0,39.0
70,6.390449285507202,40000009.5536966,0.0029581927167768142,41.30660678076974,41.306606687418125,0.0027770626693204353,0.0,0,0,0.0,-16.144211082815517,12225251.515857799,0.004829131474446926,0.004829131474446926,unknown,13.0,1.8722211381014282e-22,-0.0028620610311010423,-0.0028620610311010423,1.7854726135139046e-16,1.841107852483306e-11,0.0041745579179292966,1.0,52.0
71,6.480091094970703,40000009.55366375,0.004669753735494861,9.701692481783942,9.701692481783937,3.1218968293638476e-07,0.0,0,0,0.0,-13.912714576160333,12225251.515857799,0.005403340897358831,0.005403340897358831,optimal,8.0,1.3801318012738006e-14,-6.370233567073813e-05,-6.370233568453946e-05,4.609310425698387e-16,2.2107964782415053e-13,0.81,1.0,2.0
72,6.568795442581177,40000009.55365271,0.003620414545736897,1.4299611327473458,1.4299611327471862,6.760442552260422e-07,0.0,0,0,0.0,2.172412408174152,12225251.515857799,0.04331347721232599,0.04331347721232599,optimal,9.0,3.822441499590599e-13,-2.8426209611576596e-05,-2.8426209993812526e-05,4.264144316618749e-16,5.413597683344145e-13,0.7290000000000001,1.0,3.0
73,6.658187389373779,40000009.553651504,0.0023542801296220707,12.549664655694851,12.549664650096744,0.0003748449514741415,0.0,0,0,0.0,-21.937631595156848,12225251.515857799,0.01755275422910174,0.01755275422910174,unknown,13.0,1.143136242794595e-22,-0.00039856371043338443,-0.00039856371043338443,1.8310254345554632e-16,3.695163127213102e-11,0.042391158275216244,1.0,30.0
74,6.748096466064453,40000009.55365065,0.0036787221492283633,10.947124089695455,10.94712202739884,0.006719555760208734,0.0,0,0,0.0,-9.134044532488897,12225251.515857799,0.03310359341685009,0.03310359341685009,unknown,13.0,7.153536052602105e-21,-0.007427356601707111,-0.007427356601707111,1.0629936947563724e-16,1.2423567049159548e-10,0.0030432527221704573,1.0,55.0
75,6.837547540664673,40000009.55364975,0.0023477618657501732,13.90301735475176,13.903017354472398,8.813597557216542e-05,0.0,0,0,0.0,-2.7276268050259156,12225251.515857799,0.004287032005649794,0.004287032005649794,unknown,14.0,2.2887194940070708e-23,-0.00011808239747254407,-0.00011808239747254405,2.9516291574087417e-16,7.321965443455115e-12,0.03433683820292516,1.0,32.0
