iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,second_order_residual,mu,num_inner,inner_status,TR_radius,dxtype,normdx,minxfeasi,minyfeasi,compl,mineigvalHw,ared/pred,radius_update,dual_clipping,maxabsLagmult
0,0.0,50000011.0,0.0,20000003.000001,20000003.000000924,1.7497142623868622,0.0,0,0,0.0,-19999999.00000089,0.1,,,,,,,,,,,,,1.0
1,0.11089420318603516,46215698.120961435,0.21321550982543147,15410872.093608366,15410872.09360836,0.3769053271613316,0.0,0,0,0.0,-15767926.150350286,0.1,1.0,successful,0.21650635094610965,tCG_EXCEEDED_TR,0.21650635094610965,0.00999998641333291,-11.650635094592669,2.68182460390104,,0.9800423495859591,expanded,True,10.0
1,0.17374300956726074,41742717.22167955,0.40863785509764505,6786189.937066062,6786189.937066052,0.3751813875577571,0.0,0,0,0.0,-8349147.861432148,0.1,2.0,successful,0.4330127018922193,tCG_EXCEEDED_TR,0.4330127018922193,0.009999866919041667,0.020363200861685804,0.08840419057878326,,0.9789296821435638,expanded,True,10.000080123120142
1,0.24124813079833984,41742717.22167955,0.0,6786189.937066062,6786189.937066052,0.3751813875577571,0.0,0,0,0.0,-8349148.911455984,0.1,3.0,primal_infeasible,0.8660254037844386,tCG_NEGATIVE_CURVATURE,0.8660254037816753,-0.08863947745891518,-608.2898165010458,339.00665227043186,,,,,10.000080123120142
1,0.3046128749847412,40669045.97124721,0.21321550982480744,3471835.3674057294,3471835.367405708,0.38801152616181617,0.0,0,0,0.0,-5173146.716067843,0.1,4.0,successful,0.2165063509454188,tCG_EXCEEDED_TR,0.2165063509454188,0.009999738369775272,0.09900990099013678,0.009790395889060641,,1.0268642751717354,expanded,False,10.000247525473808
1,0.36593174934387207,40669045.97124721,0.0,3471835.3674057294,3471835.367405708,0.38801152616181617,0.0,0,0,0.0,-5173145.438652086,0.1,5.0,primal_infeasible,0.4330127018908376,tCG_NEGATIVE_CURVATURE,0.4330127018919992,-0.036088236925467525,-258.44270209899685,76.44797061214749,,,,,10.000247525473808
1,0.4291694164276123,40363803.49103351,0.107833260105482,2240898.356104536,2240898.356104503,0.38605096597537625,0.0,0,0,0.0,-3814674.021124349,0.1,6.0,successful,0.1082531754729998,tCG_EXCEEDED_TR,0.1082531754729998,0.0099996607380276,0.09900990099017429,0.003455445540021535,,1.0154997200445934,expanded,False,10.000336088816612
1,0.49129271507263184,40071843.064860344,0.21321550982580825,682940.9524864899,682940.9524863822,0.38350652675145563,0.0,0,0,0.0,-1695077.2722678825,0.1,7.0,successful,0.2165063509459996,tCG_EXCEEDED_TR,0.21650635094599963,0.009999549402236666,0.09900990099031144,0.01189658387121808,,1.1629337299051024,expanded,False,10.000444984753228
1,0.5853469371795654,40013782.94449633,0.1413911566705986,200323.4899772941,200323.48997692642,0.3838195097400142,0.0,0,0,0.0,-742203.3889426143,0.1,8.0,successful,0.4330127018919992,tCG_REACHED_TARGET_LINEAR,0.14234095766238536,0.009994659487001602,0.09900990099419675,0.01324927597746724,,1.1945233956899697,unchanged,False,10.00524094914589
1,0.6547868251800537,40002696.97435139,0.09198716494082226,59103.04520488194,59103.0452036347,0.38396947523666825,0.0,0,0,0.0,-327754.70326398045,0.1,9.0,successful,0.4330127018919992,tCG_REACHED_TARGET_LINEAR,0.09224750015246165,0.009995606718412334,0.09900990102923111,0.013287821993588475,,1.199819868720199,unchanged,False,10.00458575607821
