iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,maxabsLagmult
0,0.0,0.8099297547173109,1.2111103358675955e-15,4.474428055075425,3.682261099369281,2.5419401283503484,0.0,0.0,0.0,0.0,1.0,1.0
1,0.4771304130554199,0.7970773502389897,0.4211921765347701,0.7447733809456167,0.05794007982858841,0.7400432056043887,0.0,0.0,0.058781393748111865,0.004581998245907513,1.0,1.0587813937481119
2,0.7960937023162842,0.7851392473092637,0.788694500621568,0.5554257885726015,0.04109960167190123,0.3319059543051022,0.0,0.0,0.334099600555886,0.03910557813530802,3.3333333333333335,0.6221561036890162
3,0.99220871925354,0.7753470233010519,0.5489483968366354,0.11936020532328087,0.11908224113243586,0.004199467502647321,0.0,0.0,0.0060167521316034644,0.0005965013346777848,3.3333333333333335,0.029793712605896194
4,1.1657953262329102,0.7617605283693796,0.49066749164700313,0.08113314865802718,0.08090674801839678,0.00012223664818341754,0.0,0.0,0.006055658053013335,0.00037847862831333345,3.3333333333333335,0.020185526843377787
5,1.3500595092773438,0.7539263514606509,0.2742064119027018,0.04645351075274798,0.04637142008412046,2.4804863346445358e-05,0.0,0.0,0.001973793653455125,0.0002745527028270543,3.3333333333333335,0.006579312178183749
6,1.5793848037719727,0.7520264961333207,0.0663404833078587,0.04499141455369645,0.04499138676720475,1.5369331906938286e-06,0.0,0.0,4.9979437755365286e-05,3.1237148597103304e-06,3.3333333333333335,0.006554869516820864
7,1.7978947162628174,0.7498236356930411,0.07521120945333092,0.04984130384063526,0.04981493989032327,9.020481543722444e-06,0.0,0.0,0.0016208796651558943,0.0001013049790722434,11.111111111111112,0.005402932217186315
8,2.020991325378418,0.7490764504318193,0.024938298492750467,0.038554382725773446,0.03855273421245883,1.3945139551996633e-06,0.0,0.0,0.0003517611379735275,2.7349763659336584e-05,11.111111111111112,0.005556087006339867
9,2.246549606323242,0.7483854137727394,0.02312965141839501,0.1241212228843526,0.12411742476551894,7.84299558796659e-06,0.0,0.0,0.0007715058412851583,8.506534894281437e-05,37.037037037037045,0.008819938193378082
