iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,stepsize,linesearch_status,linesearch_counter
0,0.0,0.8038306963245558,1.2262814116578435e-15,3.12276074493427,1.7700194589534153,2.5726767743011747,0.0,0.0,0.0,0.0,1,,1.0,,,,,,,,,,
1,0.4618821144104004,0.8018932506776391,0.24111225867563724,0.015020009467618636,0.013615677771445789,0.006341451192866697,0.0,0.0,0.0,0.0,1,0.0036483851494418843,0.0036483851494418843,unknown,9.0,5.545743864483207e-12,-10214.833640816552,-10214.833640816556,4.4513440538796024e-10,8.156112476042479e-11,1.6900182599825792e-07,1.0,148.0
2,0.9244487285614014,0.8018781665484201,0.00349251982479509,0.01908042536597708,0.016604579248917554,0.009399498928827967,0.0,0.0,0.0,0.0,1,0.005512119456330016,0.005512119456330016,unknown,8.0,6.322404058329506e-11,-5194.309548341363,-5194.309548341426,9.695616333508193e-11,1.2601177132593284e-12,3.4266065939217406e-09,1.0,185.0
3,1.3825857639312744,0.8018775081542382,0.00013817474042211018,0.025133258139070636,0.02123896322877545,0.013438270188230503,0.0,0.0,0.0,0.0,1,0.008239302019567827,0.008239302019567827,unknown,8.0,7.390836258083137e-11,-4524.349214941887,-4524.349214941961,1.6155543436537519e-10,1.6180298826668409e-12,1.452578224698361e-10,1.0,215.0
4,1.8363451957702637,0.8018774882421479,3.554118518984097e-06,0.022404426965394186,0.01987401763719764,0.01034319924414295,0.0,0.0,0.0,0.0,1,0.006274279930080565,0.006274279930080565,unknown,9.0,1.3078058793568272e-12,-5897.913459484736,-5897.913459484737,1.1361562442566964e-10,1.8231133957559946e-12,3.272426261628314e-12,1.0,251.0
5,2.2905654907226562,0.8018774863730145,3.37400758571478e-07,0.02180158303044376,0.01977105372503781,0.00918773406422943,0.0,0.0,0.0,0.0,1,0.006561076522687806,0.006561076522687806,unknown,8.0,9.199850950257181e-11,-5480.963150162934,-5480.963150163026,2.339503337261455e-10,1.5748153245329569e-12,3.222590161993058e-13,1.0,273.0
6,2.759106159210205,0.8018774862538569,2.15442302265625e-08,0.02198241831591923,0.020084694857235547,0.008934861359181636,0.0,0.0,0.0,0.0,1,0.006875010644364202,0.006875010644364202,unknown,8.0,8.592654666558141e-11,-5353.256679230255,-5353.256679230342,2.6134716562374993e-10,1.4829518466176535e-12,2.0821418932053416e-14,1.0,299.0
7,3.23718523979187,0.8018774862463408,1.3718117965208949e-09,0.022158272541717414,0.020261667239019437,0.008969608839201088,0.0,0.0,5.089262344881718e-13,3.1807889655510735e-14,1,0.006924273267252494,0.006924273267252494,unknown,9.0,9.171258421692102e-13,-5199.1975601652575,-5199.197560165259,2.0531747406128405e-10,2.1489060781407908e-12,1.345288927698918e-15,1.0,325.0
8,3.7318193912506104,0.8018774862463408,1.2225062931717343e-15,0.02220873970184627,0.020283431579139383,0.00904491694371673,0.0,0.0,5.088707233369405e-13,3.180442020855878e-14,1,0.006958284779470949,0.006958284779470949,unknown,8.0,8.99157715695925e-11,-5200.205644159536,-5200.205644159625,1.2176276754948388e-10,1.5322635811897118e-12,5.868463122928831e-22,1.0,464.0
9,4.2182536125183105,0.8018774862463408,1.2959208739370123e-15,0.022249558102383004,0.020296195710949937,0.009116319181233975,0.0,0.0,5.088707233369405e-13,3.180442020855878e-14,1,0.00692051309525236,0.00692051309525236,unknown,8.0,8.961322611815173e-11,-5171.984599255943,-5171.984599256032,1.6216440700752044e-10,1.80351580524525e-12,4.753455129572354e-22,1.0,466.0
10,4.698803186416626,0.8018774862463408,1.30066785273941e-15,0.022226935224125503,0.020263511407076516,0.00913382476910691,0.0,0.0,5.088707233369405e-13,3.180442020855878e-14,1,0.006923830856802926,0.006923830856802926,unknown,8.0,8.64762492187108e-11,-5204.460198028946,-5204.460198029032,1.4929871337899228e-10,1.37160490341386e-12,4.753455129572354e-22,1.0,466.0
