iteration,time,cost,distance,residual,gradnorm,maxviolation,meanviolation,mu,num_inner,inner_status,TR_radius,maxabsLagmult
0,0.0,-2.282951139691639e-08,3.332000937312528e-08,14.478309662498647,14.110623695041205,0,0.0,0.1,,,,1.0
1,21.25211763381958,-0.040089252501411154,4.0802626699803906,0.8691424716182593,0.021477264472026594,0,0.0,0.009772372209558108,64.0,converged,0.6545992452771352,2.4943890819489014
2,24.181280851364136,-0.11478063444935097,0.20373095480222,0.08510111191101125,0.007086191579456162,0,0.0,0.0009330394357910898,6.0,converged,0.125,0.24562666239311548
3,31.803980350494385,-0.24769790281328583,0.25509113979802245,0.008099988438696614,0.0007278250269862093,0,0.0,8.701597685327799e-05,21.0,converged,0.07964564441598329,0.07040872896666729
4,62.20087265968323,-0.26257924883594574,0.06519011880853536,0.000761670574558519,6.847844848016031e-05,0,0.0,7.924921882764378e-06,46.0,converged,0.011907993191065855,0.054379824193717397
5,87.67863440513611,-0.2639987355654849,0.007769431334110189,6.916627794859363e-05,3.292342604284825e-06,0,0.0,7.046686326352978e-07,54.0,converged,0.0005924968013877212,0.05326782541002645
6,121.90407490730286,-0.2641286630920793,0.0007472550691230211,6.146182444354338e-06,1.9277297667381206e-07,0,0.0,6.115962153928466e-08,53.0,converged,0.00011574935329893251,0.05316343374757382
