iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,Phi,sigma,rho,maxabsLagmult,stepsize,linesearch_status,linesearch_counter
0,0.0,0.8099297547173109,1.2111103358675955e-15,4.474428055075425,3.682261099369281,2.5419401283503484,0.0,0,0.0,0.0,35.16910332389272,0.5,1.0,1.0,,,
1,0.6226499080657959,0.8084948826411602,1.879453239382359,3.699811799138723,2.919425398496962,2.272787427732072,0.0,0,0.0,0.0,23.49019531105468,0.5,0.8684561953373905,1.1804816099365933,0.25,True,2.0
2,1.2223618030548096,0.8057173334548764,2.724140709776552,3.105994822203799,2.2625173065379864,2.1279612950363793,0.0,0,0.0,0.0,16.02976110271237,0.5,0.755245432457072,1.4143887395609391,0.25,True,2.0
3,1.816058874130249,0.8070298811346025,3.8837267989119417,2.397114124200277,1.4375284773380417,1.9182424513112943,0.0,0,0.003728172456854053,0.0002330107785533783,8.493538792025344,0.5,0.5535638016916777,1.980594243129602,0.5,True,1.0
4,2.420844793319702,0.809110967141164,3.049753015685454,2.198433256798739,1.2651651835467628,1.7978781550244083,0.0,0,0.009999131253532554,0.0006249457033457846,7.137565807645901,0.5,0.518516818548095,2.2573839309541035,0.125,True,3.0
5,3.0455832481384277,0.8093043445886086,2.949321044983713,1.8738359299096496,0.9771849621551666,1.598768335894145,0.0,0,0.017619594218738495,0.001101224638671156,5.063866150424655,0.5,0.4518217017851226,2.9182417726355445,0.25,True,2.0
6,3.6501576900482178,0.8126172977992836,2.3602755781832436,1.7596577729978131,0.8597568928141225,1.5351870495349265,0.0,0,0.020354023446878505,0.0012721264654299066,4.5778269558676215,0.5,0.4231908478744027,3.3819723848572107,0.125,True,3.0
7,4.249183177947998,0.8120687927389567,2.877980258046088,1.7351779908837979,0.8329198138332545,1.5220517693524525,0.0,0,0.021110546714355142,0.0013194091696471964,4.509687612294721,0.5,0.41654834007870545,3.5266854712722564,0.03125,True,5.0
8,4.844214916229248,0.8115688684455608,2.972676635913208,1.7101786116213813,0.8069776842966256,1.507655355300949,0.0,0,0.021753857746609925,0.0013596161091631203,4.4362687035833686,0.5,0.41001080904451725,3.6759309800927267,0.03125,True,5.0
9,5.440339803695679,0.8116817751724272,4.3788658714784185,1.6613215719619494,0.7573933486655439,1.4784559912012605,0.0,0,0.022639853012237907,0.0014149908132648692,4.3049204782070225,0.5,0.3971001092066865,3.977909912970521,0.0625,True,4.0
10,6.041805744171143,0.8124549033663786,3.6387711322246377,1.6102886779356669,0.7112140654263502,1.4445296472174252,0.0,0,0.023200813292242998,0.0014500508307651874,4.108270787633722,0.5,0.3846025863425375,4.296464728700994,0.0625,True,4.0
11,6.6415300369262695,0.8170586223153435,6.980119717380406,1.5376359713456405,0.6293367775001624,1.4027445637984601,0.0,0,0.023817841959971445,0.0014886151224982153,4.0922917290242795,0.5,0.360171264701293,4.983948477958687,0.125,True,3.0
12,7.240051746368408,0.8200378230380538,2.615138569333752,1.4890037142807433,0.5914994370397656,1.366265329032452,0.0,0,0.024073383794874243,0.0015045864871796402,3.9162350278798552,0.5,0.34878724689270263,5.406605203345919,0.0625,True,4.0
13,7.843038320541382,0.8236816838512341,3.6514404622814367,1.4413698891026026,0.5565707903558345,1.329355889132361,0.0,0,0.024269993066360677,0.0015168745666475423,3.7410888905269877,0.5,0.3377441341787161,5.879196416457754,0.0625,True,4.0
