iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,mu,num_inner,inner_status,TR_radius,dxtype,normdx,minxfeasi,minyfeasi,compl,mineigvalHw,ared/pred,radius_update,dual_clipping,maxabsLagmult
0,0.0,0.8099297547173109,1.2111103358675955e-15,4.474428055075425,3.682261099369281,2.5419401283503484,0.0,0,0,0.0,0.1,,,,,,,,,,,,,1.0
1,1.2056074142456055,0.8099297547173109,1.2111103358675955e-15,4.474428055075425,3.682261099369281,2.5419401283503484,0.0,0,0,0.0,0.1,1.0,primal_infeasible,0.7905694150420949,boundary,0.7905694150420945,-0.2361006537686388,0.08680109273306402,0.6859506686566502,-14.44412155242376,,,,1.0
1,1.8084251880645752,0.8116718540006972,0.1972405952397968,0.5900554459613606,0.372603205546886,0.4575284477765783,0.0,0,0,0.0,0.1,2.0,successful,0.19764235376052364,boundary,0.1976423537605236,0.07429605610257947,0.10835068658061409,0.1563469441730866,-0.2393826127576577,0.6117385304646057,unchanged,True,1.1811334852905215
1,3.0035080909729004,0.8066385418821462,0.1974166405168721,0.40698103575492167,0.06457695037114673,0.4018250626142069,0.0,0,0,0.0,0.1,3.0,successful,0.19764235376052364,boundary,0.1976423537605236,0.08354317038318293,0.10671157171232652,0.017250912539511533,-0.03962563061300052,0.9169862320108058,expanded,False,1.2318248377627459
1,3.6135451793670654,0.8066385418821462,1.313633598143319e-15,0.40698103575492167,0.06457695037114673,0.4018250626142069,0.0,0,0,0.0,0.1,4.0,unsuccessful,0.3952847075210473,boundary,0.3952847075210472,0.07900449071358451,0.11073870048515816,0.0614752220253505,-0.14234840158930578,-0.669952484402935,reduced,,1.2318248377627459
1,4.218401193618774,0.8035853054864737,0.09879607252035598,0.4008914342597569,0.027979131905823875,0.3999138785296673,0.0,0,0,0.0,0.1,5.0,successful,0.09882117688026182,boundary,0.0988211768802618,0.0795296099589614,0.11139068637996377,0.0020094373668313762,-0.02027425673867088,0.977937393680586,expanded,False,1.2508326174033109
1,4.824132204055786,0.7988611645433301,0.19744176769649008,0.401321324897018,0.030986494383015623,0.4001232847297808,0.0,0,0,0.0,0.1,6.0,successful,0.19764235376052364,boundary,0.1976423537605234,0.07927767000377024,0.11096838629854891,0.008594794013173484,-0.026503946179374523,0.9301080006533886,expanded,False,1.252577479467405
1,5.42907977104187,0.7988611645433301,9.930136612989092e-16,0.401321324897018,0.030986494383015623,0.4001232847297808,0.0,0,0,0.0,0.1,7.0,unsuccessful,0.3952847075210473,boundary,0.39528470752104744,0.061317887671040294,0.11076010155323125,0.07644193336558334,-0.17563579811983007,-2.722263150142141,reduced,,1.252577479467405
1,6.03225040435791,0.7966882714452973,0.09879391406165552,0.4006501236467883,0.022211687109131996,0.40003395172654127,0.0,0,0,0.0,0.1,8.0,successful,0.09882117688026182,boundary,0.09882117688026186,0.07974097667043742,0.11084043754989752,0.0029508669611405846,-0.01962332461560685,0.9705549757867941,expanded,False,1.253000468352105
1,6.644311189651489,0.7927350179877836,0.19737147394552232,0.4033287371763825,0.049220218499917284,0.400314177019895,0.0,0,0,0.0,0.1,9.0,successful,0.19764235376052364,boundary,0.19764235376052355,0.08096398188509854,0.11076843034455187,0.014578664949107102,-0.03962431117796841,0.7540633191113405,expanded,False,1.2535594460770865
1,7.250753879547119,0.7927350179877836,1.6727196487175535e-15,0.4033287371763825,0.049220218499917284,0.400314177019895,0.0,0,0,0.0,0.1,10.0,unsuccessful,0.3952847075210473,boundary,0.39528470752104716,0.029723881518904205,0.11073047972412953,0.12121313241851275,-0.3657453341217524,-8.87420938754016,reduced,,1.2535594460770865
1,7.853327751159668,0.7907468021046404,0.09878708347568997,0.40083114461067737,0.024603235494786636,0.40007535201895883,0.0,0,0,0.0,0.1,11.0,successful,0.09882117688026182,boundary,0.0988211768802618,0.08036992503776827,0.11071660712782361,0.004658090032726222,-0.021613315011782274,0.9320349363168893,expanded,False,1.2539263305088073
