iteration,time,cost,distance,residual,gradnorm,maxviolation,meanviolation,mu,num_inner,inner_status,TR_radius,dxtype,normdx,minxfeasi,minyfeasi,compl,mineigvalHw,ared/pred,radius_update,dual_clipping,maxabsLagmult
0,0.0,-0.015870409695534285,0.0,3.2876635027356964,2.869688632569408,0,0.0,0.1,,,,,,,,,,,,,1.0
1,0.15118002891540527,-0.015870409695534285,0.0,3.2876635027356964,2.869688632569408,0,0.0,0.1,1.0,primal_infeasible,0.7246638574546571,boundary,0.7246638574546568,-0.08619941956904308,-6.349864340717043,1.5103845806651237,-117.48848247193462,,,,1.0
1,0.28621816635131836,-0.015870409695534285,0.0,3.2876635027356964,2.869688632569408,0,0.0,0.1,2.0,primal_infeasible,0.1811659643636642,boundary,0.1811659643636641,-0.04763166628015212,-3.7763662663043513,0.8019287712030596,-115.17666801139147,,,,1.0
1,1.1129498481750488,-0.05978721389356922,0.045291439211429224,2.9699515364095155,2.9429613232993885,0,0.0,0.1,3.0,successful,0.04529149109091603,boundary,0.045291491090916056,0.027670536644487178,0.11627065127888736,0.11446588699428674,-0.3499807923637054,0.47826597783502983,unchanged,False,3.5338215507912256
1,1.2581899166107178,-0.0747663329321584,0.045280867979732194,1.7432264653863807,1.7074977149506292,0,0.0,0.1,4.0,successful,0.04529149109091603,boundary,0.04529149109091603,0.02920448349027837,0.11818675509454417,0.04114420492594129,-8.868358038533259,1.0961916289041136,expanded,False,3.41105423843575
1,1.3966350555419922,-0.1340716043532235,0.0905472088430623,3.4718646358195664,3.4545938384388255,0,0.0,0.1,5.0,successful,0.09058298218183206,boundary,0.09058298218183206,0.02154938389873092,0.11477770783119336,0.030624296610956815,-2.4605861493655072,0.24501437169683052,reduced,False,3.9341087209371883
1,1.5286760330200195,-0.11494165678934001,0.022645644238341655,1.1476068879304357,1.093320149309532,0,0.0,0.1,6.0,successful,0.022645745545458014,boundary,0.02264574554545801,0.02760893683086841,0.11284691496360957,0.04403394207403485,-2.2424271458621208,0.9257336928518038,expanded,False,3.4704471164587254
1,1.706057071685791,-0.09256798557918104,0.04528314841239876,1.0892950792538152,1.0294709765962438,0,0.0,0.1,7.0,successful,0.04529149109091603,boundary,0.04529149109091603,0.035261615279464475,0.10603126195725826,0.00938064621799467,-1.993823515055052,0.8446923434065337,expanded,False,2.6072392240813462
1,1.8385040760040283,-0.1488354375356358,0.09053975124214447,1.8361008003731942,1.8036070011168888,0,0.0,0.1,8.0,successful,0.09058298218183206,boundary,0.09058298218183214,0.028905572879037,0.10448186454315438,0.03665689097374007,-2.711684944357003,0.4965545555596583,unchanged,False,3.103069434130127
1,1.9713499546051025,-0.0747163764939866,0.09057792306386436,1.3796739878352788,1.3414666989375583,0,0.0,0.1,9.0,successful,0.09058298218183206,boundary,0.09058298218183207,0.04646288925413275,0.09274171552459064,0.10683182283715748,-0.0870185969156256,0.21744598409187918,reduced,True,0.9847565998067749
1,2.107100009918213,-0.09432044184966666,0.02264563747030463,1.1330238053620443,1.0743644496830163,0,0.0,0.1,10.0,successful,0.022645745545458014,boundary,0.022645745545458038,0.044460323192199176,0.09621246319486279,0.005582720475349468,-0.33979769470457494,0.8506806789339982,expanded,False,2.1868324598379285
1,2.2396042346954346,-0.1268131784531705,0.045288088102195714,0.8905008661249363,0.8169122418164995,0,0.0,0.1,11.0,successful,0.04529149109091603,boundary,0.04529149109091603,0.04114835324295631,0.09618432979148432,0.01446522095211273,-2.9803454445669413,0.7256162535876725,unchanged,False,2.365514775828379
1,2.377873182296753,-0.13296190470547634,0.04527665159989732,0.8170770823265796,0.7335868171952914,0,0.0,0.1,12.0,successful,0.04529149109091603,boundary,0.04529149109091603,0.04528793038140294,0.09354844267196995,0.0018705342955414772,-2.270693728287741,1.045437000187014,expanded,False,2.2025879723901762
1,2.5098609924316406,-0.1632680035682906,0.09047437236445535,1.005128074195248,0.9397573001603455,0,0.0,0.1,13.0,successful,0.09058298218183206,boundary,0.09058298218183203,0.04733809032805024,0.08941604483433963,0.006816041970572382,-1.8464201705822059,0.8570262462145487,expanded,False,2.097570195080815
1,2.6429548263549805,-0.14995117112938763,0.1801147392746376,0.5832846516569777,0.468770188480883,0,0.0,0.1,14.0,successful,0.1811659643636641,boundary,0.18116596436366408,0.06596674561886448,0.07330149596153566,0.0263836736531039,-1.184819412237324,1.0049030746601173,expanded,False,1.3233358601177614
1,2.7695488929748535,-0.14995117112938763,0.0,0.5832846516569777,0.468770188480883,0,0.0,0.1,15.0,primal_infeasible,0.3623319287273282,boundary,0.3623319287273282,-0.16843614189441408,-0.3791922395140519,0.38300564851441193,-194.5520274474237,,,,1.3233358601177614
1,2.937325954437256,-0.19387558138736893,0.0905074953250601,0.8792569605322013,0.8048380576691595,0,0.0,0.1,16.0,successful,0.09058298218183206,boundary,0.09058298218183203,0.06517795368658028,0.07510230347708373,0.011363668851833274,-1.1526116281519505,0.5675558217620253,unchanged,False,1.5094406232010438
1,3.0709421634674072,-0.19387558138736893,0.0,0.8792569605322013,0.8048380576691595,0,0.0,0.1,17.0,unsuccessful,0.09058298218183206,boundary,0.09058298218183204,0.09347307064622436,0.06645287942788466,0.05535919657315024,-0.13859854079152437,0.003925060661667874,reduced,,1.5094406232010438
1,3.2027170658111572,-0.17492365128644383,0.022645602003999038,0.5675530832340417,0.4400721459078535,0,0.0,0.1,18.0,successful,0.022645745545458014,boundary,0.022645745545457993,0.0752022677792546,0.07350978395259067,0.0038632560645031214,-1.3962839283915542,0.7907943777311346,expanded,False,1.2945726354102831
