iteration,time,cost,distance,residual,gradnorm,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,stepsize,linesearch_status,linesearch_counter
0,0.0,-0.015870409695534285,0.0,1.0,1.0,0.0,0.0,1.0,,0.0,,,,,,,,,,
1,0.1544938087463379,-0.19378936647051193,0.6032721010191681,20.718122074502467,14.145268601809127,0.0,0.0,29.541340361675026,29.041340361675026,29.041340361675026,optimal,22.0,0.7588771989533684,-3507009.8070224803,-3507010.565899717,9.130197385583621e-09,1.7850178034188187e-11,2.5366267437735433e-08,1.0,166.0
2,0.22878289222717285,-0.21085688775416375,0.19507503199036771,0.9999997272470452,0.9999997272470449,0.0,0.0,29.541340361675026,1.2224943373898183e-07,1.2224943373898183e-07,optimal,6.0,6.453259090879639e-08,-0.008533762566364952,-0.008533827098955771,4.6086127871010346e-10,2.1446166702236132e-09,1.0,1.0,0.0
3,0.29839372634887695,-0.35197164162638983,0.46914174793656716,0.7267083038383605,0.7058585429938455,0.0,0.0,29.541340361675026,0.6012760345902216,0.6012760345902216,optimal,7.0,1.724050678660289e-08,-0.49964586378196285,-0.4996458809100396,1.0845540934129332e-10,4.103634644820229e-10,0.28242953648100017,1.0,12.0
4,0.3663167953491211,-0.4060461571567319,0.1696103860070775,0.26586975866950024,0.2658102487549425,0.0,0.0,29.541340361675026,0.1204303657401436,0.1204303657401436,optimal,7.0,8.637244142061733e-08,-0.05478675161832294,-0.05478683798224152,3.909084411380061e-11,2.605807877397219e-10,0.7290000000000001,1.0,3.0
5,0.4375910758972168,-0.4154845251665831,0.07801451942496661,0.08288945710783412,0.0821691077963286,0.0,0.0,29.541340361675026,0.18885962202231607,0.18885962202231607,optimal,7.0,9.071004765762546e-07,-0.038898648179016976,-0.03889955527949354,2.0906604181735553e-16,3.5563179069813645e-14,0.1853020188851842,1.0,16.0
6,0.5203509330749512,-0.4180857240930373,0.023464541835152532,0.08913692737036047,0.08875091975645759,6.21620730456851e-05,4.781697926591162e-06,29.541340361675026,0.1999759253661939,0.1999759253661939,optimal,8.0,1.6866066135193686e-08,-0.02699506529837824,-0.026995082164444358,2.5081659698975527e-16,1.4306164061605377e-13,0.07178979876918531,1.0,25.0
7,0.6004998683929443,-0.4191987691535409,0.010299759242412483,0.08188195850661967,0.08143054621336736,9.418872989638838e-05,7.245286915106798e-06,29.541340361675026,0.2022579461930657,0.2022579461930657,optimal,8.0,1.0723968387677759e-08,-0.025030749537087595,-0.02503076026105597,1.9964502659766173e-16,9.808565389371731e-14,0.03433683820292516,1.0,32.0
8,0.6727449893951416,-0.4202568214140764,0.00990022678953155,0.07867382489930923,0.07823645801429667,0.00012268437414750255,9.437259549807888e-06,29.541340361675026,0.2037684693337845,0.2037684693337845,optimal,8.0,1.0465685175771959e-08,-0.023913023463701978,-0.023913033929387165,1.6698288437820238e-16,1.2305760925802893e-13,0.03433683820292516,1.0,32.0
9,0.7471187114715576,-0.4213749753958926,0.010575774481426584,0.07492664823293965,0.07449408892732923,0.00015442081096433968,1.1878523920333821e-05,29.541340361675026,0.20510402639904785,0.20510402639904785,optimal,7.0,9.788565645133052e-07,-0.02292923939179105,-0.022930218248355567,1.6073350239060418e-16,7.212111680982777e-14,0.03815204244769462,1.0,31.0
10,0.8151590824127197,-0.4225508568037748,0.011252350270683647,0.07105797472259381,0.07063317124373808,0.00018933960982361886,1.4564585371047604e-05,29.541340361675026,0.2065554010129441,0.2065554010129441,optimal,7.0,8.622307664712934e-07,-0.021878875884516404,-0.021879738115282876,2.8164080940568386e-16,7.090958177561487e-14,0.042391158275216244,1.0,30.0
11,0.8859536647796631,-0.4236577243144618,0.010726062708639643,0.06733844922979049,0.06692018829022595,0.00021916086876289098,1.685852836637623e-05,29.541340361675026,0.20808771821352828,0.20808771821352828,optimal,7.0,7.341359911953908e-07,-0.02077895237464691,-0.0207796865106381,2.554116535529226e-16,6.137640837030978e-14,0.042391158275216244,1.0,30.0
12,0.9536828994750977,-0.4248163577079094,0.01136454207630151,0.06353996041490785,0.06313061866375932,0.00025154096386292846,1.9349304912532957e-05,29.541340361675026,0.20953939541694636,0.20953939541694636,optimal,7.0,6.387272689774584e-07,-0.01974585294604974,-0.01974649167331871,2.87056869495975e-16,1.1083542323082349e-13,0.04710128697246249,1.0,29.0
13,1.0204076766967773,-0.42602201212669627,0.011980473531189757,0.05959033813032305,0.05919121310641616,0.0002860652659190388,2.2005020455310677e-05,29.541340361675026,0.211074492287875,0.211074492287875,optimal,7.0,5.649063185495971e-07,-0.01866537491322407,-0.018665939819542614,2.261427299370954e-16,1.2806410858796035e-13,0.0523347633027361,1.0,28.0
14,1.0891478061676025,-0.4272685005983838,0.012559409802981062,0.055514435623011005,0.055126962671179496,0.00032208180054218993,2.4775523118629996e-05,29.541340361675026,0.21268575788250532,0.21268575788250532,optimal,7.0,4.894386103927159e-07,-0.017542005015735284,-0.017542494454345678,1.7559889657011358e-16,1.194066161746978e-13,0.05814973700304011,1.0,27.0
