iteration,time,cost,distance,residual,gradnorm,maxviolation,meanviolation,Phi,sigma,rho,maxabsLagmult,stepsize,linesearch_status,linesearch_counter,NTdir_error1,NTdir_error2,NTdir_norm,NTdir_angle
0,0.0,-0.015870409695534285,0.0,3.2876635027356964,2.869688632569408,0.0,0.0,26.97096867620421,0.5,1.0,1.0,,,,,,,
1,0.692601203918457,-0.024398492760110795,0.3582863656064906,2.8729450132887613,2.3981389332144314,0.0,0.0,20.975012580707478,0.5,0.9177624107745507,1.2332629131210786,0.125,True,3.0,8.251115155562892e-15,2.1316282072803006e-14,6.658852797730059,0.06474209641171588
2,0.8391239643096924,-0.032895120822277434,0.7741545953698579,2.614208529589464,2.15050953994665,0.04417482592649469,0.005092515375371759,14.78600141926604,0.5,0.7496613370955204,1.7049759350494624,0.125,True,3.0,4.5280243536245124e-13,6.821210263296962e-13,15.1255158058441,0.025267277211462873
3,0.9778251647949219,-0.03887896375731176,0.26573997393307214,2.3745713131889854,1.9125829352978716,0.0,0.0,12.10027524994057,0.5,0.693853292845455,1.8058665764967856,0.125,True,3.0,4.471146701097998e-15,1.4210854715202004e-14,6.520962719335583,0.04935518196493166
4,1.1280808448791504,-0.04005812420113648,0.22695996447724306,2.340141020824032,1.870782064665379,0.07885118232241117,0.006181505725758035,11.460381651620354,0.5,0.6734389877785356,2.007754673742786,0.03125,True,5.0,2.0398086911235122e-14,3.907985046680551e-14,22.479250382857945,0.012945158352504885
5,1.2643609046936035,-0.04466355765159913,0.19859500501273017,2.123383411366363,1.6594050646179033,0.003145941048519305,0.00043316746774246063,9.373717525151772,0.5,0.6227630812278859,2.1024095890316574,0.125,True,3.0,3.137045616511127e-14,2.842170943040401e-14,6.906903326596888,0.04084770227911454
6,1.4443919658660889,-0.045569645248569754,0.2382584518375764,2.0826511651000876,1.6194613148405674,0.004792046979922094,0.0003686189984555457,8.871561260708612,0.5,0.6035910525050594,2.1321015243624393,0.03125,True,5.0,6.99050552127967e-14,7.105427357601002e-15,26.304373509414763,0.009648005789027064
7,1.5753240585327148,-0.048669992514743805,0.20129396467278127,1.8746440080418953,1.4067029578833516,0.007050521182316139,0.0008854376770996916,7.117696088303185,0.5,0.5509813283826596,2.5455747994611815,0.125,True,3.0,4.749778049214583e-15,5.329070518200751e-15,6.747510834870774,0.03660711280407731
8,1.7262530326843262,-0.048808857223328984,0.12763424569882847,1.881816003016131,1.4077455483900427,0.064978974506539,0.008700350311021645,7.064467106051041,0.5,0.5465215009872281,2.5762897659586597,0.00390625,True,8.0,9.498355022355405e-14,5.5067062021407764e-14,125.15467814861694,0.0017183505547564081
9,1.8636548519134521,-0.049895294509255166,0.10704607024307104,1.7925296263379777,1.3254716796878339,0.023189547586432324,0.0034146030631813182,6.433392145878376,0.5,0.5274409568469468,2.6871252384389464,0.0625,True,4.0,5.190608034808288e-15,1.7763568394002505e-15,7.7679820194316775,0.02765494657095626
