iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,stepsize,linesearch_status,linesearch_counter
38,17.593960762023926,0.794679601887161,1.1801832636420704e-15,0.028825343821186004,0.026513285295734875,0.011311315672031325,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283723611767,0.008386283723611767,unknown,10.0,9.160531889904323e-12,-29088.947705565308,-29088.947705565322,8.848463451586264e-10,5.568949819158255e-12,4.609775910383023e-24,1.0,510.0
39,18.056663513183594,0.794679601887161,9.485749680535094e-16,0.028825343822492164,0.026513285296381955,0.011311315673843168,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283725696995,0.008386283725696995,unknown,10.0,9.16053195346167e-12,-29088.94770520086,-29088.94770520087,6.780394580586728e-10,5.952559561702338e-12,4.609775910383023e-24,1.0,510.0
40,18.522903442382812,0.794679601887161,1.7163631442485344e-15,0.028825343829736644,0.026513285303078712,0.011311315676607798,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283727814907,0.008386283727814907,unknown,10.0,9.160531719969409e-12,-29088.947705107876,-29088.947705107887,1.3256600511441566e-09,5.525474585219399e-12,4.609775910383023e-24,1.0,510.0
41,18.987632513046265,0.794679601887161,8.812122068928312e-16,0.028825343822091502,0.02651328529607683,0.01131131567353733,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283725311916,0.008386283725311916,unknown,10.0,9.160532045371544e-12,-29088.94770336907,-29088.947703369086,1.5325571628680592e-09,4.317916317195378e-12,4.609775910383023e-24,1.0,510.0
42,19.45288920402527,0.794679601887161,8.527784864785346e-16,0.028825343827451076,0.02651328530097628,0.01131131567571136,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283727055353,0.008386283727055353,unknown,10.0,9.160532241421663e-12,-29088.9477055047,-29088.9477055047,1.4171446468566127e-09,5.17407174682608e-12,4.609775910383023e-24,1.0,510.0
43,19.917625427246094,0.794679601887161,1.336885555457667e-15,0.028825343824053565,0.026513285297946217,0.011311315674155616,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283725756958,0.008386283725756958,unknown,10.0,9.160531935414378e-12,-29088.947705935796,-29088.94770593581,1.535928871376914e-09,7.256609752004262e-12,4.609775910383023e-24,1.0,510.0
44,20.382249116897583,0.794679601887161,1.148423626505646e-15,0.028825343824940376,0.02651328529872778,0.01131131567458358,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283726042217,0.008386283726042217,unknown,10.0,9.160531883832403e-12,-29088.947705114842,-29088.94770511485,1.2185687027844416e-09,4.540064018758949e-12,4.609775910383023e-24,1.0,510.0
45,20.84688711166382,0.794679601887161,1.7235296186091113e-15,0.028825343828511707,0.026513285301879325,0.011311315676297532,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283727688036,0.008386283727688036,unknown,10.0,9.160532048269027e-12,-29088.94770563064,-29088.947705630653,1.133916531101713e-09,5.227819482430626e-12,4.609775910383023e-24,1.0,510.0
46,21.32867741584778,0.794679601887161,1.982921726761039e-15,0.028825343822612023,0.02651328529666588,0.0113113156734831,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283724929056,0.008386283724929056,unknown,10.0,9.160532602097048e-12,-29088.94770512575,-29088.947705125756,1.0837374679873276e-09,5.426922394400907e-12,4.609775910383023e-24,1.0,510.0
47,21.821583032608032,0.794679601887161,1.2312968984861577e-15,0.028825343825497275,0.026513285299131596,0.011311315675056227,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.0083862837265856,0.0083862837265856,unknown,10.0,9.16053228881966e-12,-29088.94770462306,-29088.947704623068,9.272795935866218e-10,3.6007280971985807e-12,4.609775910383023e-24,1.0,510.0
48,22.311235666275024,0.794679601887161,9.354905487120432e-16,0.028825343825092643,0.026513285298960437,0.01131131567442627,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283725872102,0.008386283725872102,unknown,10.0,9.160532219420644e-12,-29088.94770446141,-29088.94770446142,8.133506655580059e-10,4.4236917392940294e-12,4.148798319344721e-24,1.0,511.0
49,22.794609308242798,0.794679601887161,1.3460738804684951e-15,0.028825343823164446,0.026513285297271132,0.01131131567347219,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283724937545,0.008386283724937545,unknown,10.0,9.160532144013086e-12,-29088.947703670798,-29088.947703670812,5.268050015322361e-10,7.0135246828038716e-12,4.148798319344721e-24,1.0,511.0
50,23.282111406326294,0.794679601887161,9.354905487120434e-16,0.02882534382803122,0.026513285301425646,0.011311315676136484,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283727497685,0.008386283727497685,unknown,10.0,9.160532078822101e-12,-29088.94770533561,-29088.947705335617,6.869134036765742e-10,5.744055433253048e-12,4.148798319344721e-24,1.0,511.0
51,23.767002820968628,0.794679601887161,1.1267533089989418e-15,0.028825343826367332,0.026513285300008762,0.011311315675217405,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.00838628372676898,0.00838628372676898,unknown,10.0,9.160532068523161e-12,-29088.947702744248,-29088.947702744266,1.2337679647598057e-09,6.313924392308305e-12,4.148798319344721e-24,1.0,511.0
52,24.261383056640625,0.794679601887161,1.2008898127460162e-15,0.02882534382195336,0.026513285296053544,0.011311315673239883,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283725062194,0.008386283725062194,unknown,10.0,9.160531967110417e-12,-29088.94770393642,-29088.947703936436,1.1331043673272983e-09,4.581518994644133e-12,4.148798319344721e-24,1.0,511.0
53,24.748259782791138,0.794679601887161,9.354905487120434e-16,0.02882534382880437,0.02651328530210064,0.01131131567652458,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283727800257,0.008386283727800257,unknown,10.0,9.160531811703587e-12,-29088.947704232745,-29088.94770423276,9.120534163105415e-10,5.656253365004327e-12,4.148798319344721e-24,1.0,511.0
54,25.23574209213257,0.794679601887161,1.346073880468495e-15,0.028825343822795963,0.026513285296768923,0.011311315673710323,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283725560979,0.008386283725560979,unknown,10.0,9.16053225797769e-12,-29088.94770468688,-29088.947704686903,9.352390228036269e-10,6.804304349616605e-12,4.148798319344721e-24,1.0,511.0
55,25.72490882873535,0.794679601887161,1.1046579618885443e-15,0.028825343826311103,0.026513285300033104,0.011311315675017062,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.00838628372622822,0.00838628372622822,unknown,10.0,9.160531863658415e-12,-29088.947705976338,-29088.947705976352,8.636833951780298e-10,5.666657554841192e-12,4.148798319344721e-24,1.0,511.0
56,26.198954582214355,0.794679601887161,1.1484236265056455e-15,0.02882534382113339,0.026513285295300063,0.011311315672916433,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283724835734,0.008386283724835734,unknown,10.0,9.160532092869568e-12,-29088.94770210728,-29088.947702107296,8.108036858404516e-10,6.0734574493073715e-12,4.148798319344721e-24,1.0,511.0
57,26.665240049362183,0.794679601887161,9.354905487120432e-16,0.028825343830048363,0.026513285303269366,0.011311315676955284,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283728287097,0.008386283728287097,unknown,10.0,9.160532255376211e-12,-29088.94770443868,-29088.9477044387,9.305044714943894e-10,7.408596061431719e-12,4.148798319344721e-24,1.0,511.0
58,27.13123631477356,0.794679601887161,8.81212206892831e-16,0.028825343826881247,0.026513285300284052,0.011311315675881783,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283727543272,0.008386283727543272,unknown,10.0,9.160531704691682e-12,-29088.947705033563,-29088.94770503357,1.166350417806024e-09,4.8554856579900775e-12,4.148798319344721e-24,1.0,511.0
59,27.59866189956665,0.794679601887161,1.1696925375895547e-15,0.028825343832539704,0.026513285305220305,0.011311315678731204,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283730187434,0.008386283730187434,unknown,10.0,9.160532406840882e-12,-29088.94770338668,-29088.947703386693,9.321733229202708e-10,5.807579708000241e-12,4.148798319344721e-24,1.0,511.0
60,28.0649676322937,0.794679601887161,1.0355470984145593e-15,0.02882534381968153,0.026513285294174526,0.011311315671854776,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.00838628372369891,0.00838628372369891,unknown,10.0,9.160531994891149e-12,-29088.94770279383,-29088.94770279384,7.885075466663849e-10,9.805066271985131e-12,4.148798319344721e-24,1.0,511.0
61,28.53017020225525,0.794679601887161,1.200889812746016e-15,0.028825343827983567,0.026513285301268466,0.011311315676383464,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283727997967,0.008386283727997967,unknown,10.0,9.160531930260862e-12,-29088.94770390477,-29088.947703904785,9.40982139747104e-10,3.935343755014438e-12,4.148798319344721e-24,1.0,511.0
62,28.993247032165527,0.794679601887161,1.148423626505646e-15,0.02882534382476587,0.026513285298529064,0.011311315674604663,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.00838628372616893,0.00838628372616893,unknown,10.0,9.160532550812312e-12,-29088.947704428345,-29088.947704428352,7.805757954492393e-10,5.0302517835557885e-12,4.148798319344721e-24,1.0,511.0
63,29.45821261405945,0.794679601887161,1.0114613123884168e-15,0.028825343827298965,0.02651328530072847,0.011311315675904581,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283727436581,0.008386283727436581,unknown,10.0,9.160532238301232e-12,-29088.94770685891,-29088.947706858922,9.075158256042394e-10,4.9957594431730896e-12,4.148798319344721e-24,1.0,511.0
64,29.92704939842224,0.794679601887161,9.614813431917813e-16,0.028825343827671972,0.026513285301083184,0.011311315676023705,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.00838628372753584,0.00838628372753584,unknown,10.0,9.16053257712187e-12,-29088.947704839597,-29088.947704839604,1.32605755581426e-09,4.2661640161355335e-12,4.148798319344721e-24,1.0,511.0
