iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,normdx,stepsize,df0,linesearch_status,linesearch_counter
10,4.373251676559448,0.725001622909319,0.6745566291399766,0.0823287341762643,0.07984347354279395,0.0099534416041749,0.0,0.0,0.015072865662899781,0.001489697937162835,1.0,0.00895040491534872,0.00895040491534872,unknown,11.0,2.4903402889935318e-12,-5257.875445760693,-5257.875445760695,2.26188514927219e-10,5.6650423375957606e-11,1025457.8439709193,6.64873118457862e-07,10515.715459221537,1.0,135.0
11,4.808056592941284,0.7241479288490585,0.0567483398199972,0.06207537981777335,0.05924077527890133,0.004158598764521481,0.0,0.0,0.01596142412786307,0.0015272643212794492,1.0,0.004048631845003257,0.004048631845003257,unknown,9.0,1.557286464377389e-11,-10775.736635461788,-10775.736635461804,3.6428137689948077e-10,4.5536707261730464e-11,1468039.2169261938,3.866219697871579e-08,21551.457323105573,1.0,162.0
12,5.242607831954956,0.7230319627253465,0.07981538569148673,0.06797614914672914,0.065106863459585,0.0052438038221475376,0.0,0.0,0.016871225357856873,0.0015763077210242244,1.0,0.0038708008910303404,0.0038708008910303404,unknown,8.0,3.7933618605432277e-10,-9178.217851985008,-9178.217851985388,4.0960170059305323e-10,4.200651259107773e-11,1354855.224110179,5.8927293063124204e-08,18356.417504879406,1.0,158.0
13,5.67740535736084,0.7218193330878527,0.0831223232925447,0.06676837062826196,0.06355179019051178,0.005543235292059113,0.0,0.0,0.01791018126799645,0.0016335726911457192,1.0,0.0039768840696055635,0.0039768840696055635,unknown,8.0,1.864174295485715e-10,-9955.839016087473,-9955.83901608766,4.330979533473539e-10,4.259085824747465e-11,1411084.1384216922,5.8927293063124204e-08,19911.657773769646,1.0,158.0
14,6.114866495132446,0.7207129575962488,0.07169447241526351,0.06977543091481334,0.06650791391642351,0.005031362916343815,0.0,0.0,0.018815722654076668,0.0016835893127808237,1.0,0.003931512087783008,0.003931512087783008,unknown,9.0,6.881365216597072e-12,-11286.272281095466,-11286.272281095471,7.725703777567213e-10,2.835294577051722e-11,1502413.1909175583,4.7731107381130604e-08,22572.527863719,1.0,160.0
15,6.557002305984497,0.7195718736084556,0.07283063119509733,0.0696554944864716,0.0660378826557454,0.006345554671593966,0.0,0.0,0.019618819572462656,0.0017328574477753543,1.0,0.004220463669702037,0.004220463669702037,unknown,8.0,2.478576355901809e-10,-11647.758337474967,-11647.758337475212,5.877784025432717e-10,4.156812168697796e-11,1526262.2179958988,4.7731107381130604e-08,23295.49542820697,1.0,160.0
16,6.989959001541138,0.7183190436797416,0.07631286982173272,0.07386900091491308,0.07039153557101692,0.003521253035922819,0.0,0.0,0.02062735600088615,0.0017883260691298143,1.0,0.004902602388725176,0.004902602388725176,unknown,9.0,4.466513824929165e-11,-12787.717156420633,-12787.717156420678,4.935277090600001e-10,5.289358598632669e-11,1599228.2230990825,4.7731107381130604e-08,25575.420327078897,1.0,160.0
17,7.423577785491943,0.7167644965966106,0.0940961821384917,0.06621417516439718,0.06162911529549704,0.006650545474692971,0.0,0.0,0.021912324557247807,0.0018608093178776237,1.0,0.004499052472569585,0.004499052472569585,unknown,8.0,9.9013880809406e-11,-12761.105498712403,-12761.105498712497,5.170959566072077e-10,6.789783451660285e-11,1597561.6591064152,5.8927293063124204e-08,25522.186121666407,1.0,158.0
18,7.858145236968994,0.7004874147213574,0.8899000361423405,0.120604214799161,0.11355168464770041,0.003615917609642217,0.0,0.0,0.04047612482478585,0.002529757801549116,1.0,0.005261500282379581,0.005261500282379581,unknown,8.0,7.006851102494374e-11,-14318.679728078852,-14318.679728078932,8.058605915130914e-10,6.063044936046638e-11,1692254.0528312812,5.385472259508683e-07,28637.347623010697,1.0,137.0
19,8.2958505153656,0.6999166736043134,0.07839592804687405,101.9542315768852,101.13904373924333,12.866923037751281,0.0,0.0,0.0381765689378372,0.002475187970782252,337.15504260545987,336.65504260545987,336.65504260545987,unknown,4.0,2.101789587466993,-2500.0884437389886,-2488.9012255581283,0.041423678390453425,0.48724825739459315,707112.6297787089,1.1088209803745703e-07,5000.165904490128,1.0,152.0
20,8.738642454147339,0.699915865016567,3.4010892661034203e-05,12.8178034799022,0.5247645199356165,12.80699999074463,0.0,0.0,0.03817656796844529,0.0024751880812064076,337.15504260545987,335.08748162028144,335.08748162028144,unknown,4.0,2.0815291611469853,-28266.263379864868,-28255.1302161369,0.04095221882006872,0.49320212086487253,2377624.6443374925,1.4304567688284741e-11,56532.51294714302,1.0,237.0
21,9.17884111404419,0.6999155921005191,2.3141319576280367e-05,12.827656398468088,0.4970379965996538,12.81796639182833,0.0,0.0,0.03817656764942172,0.0024751881175466206,337.15504260545987,335.3753150835733,335.3753150835733,unknown,4.0,2.0817697186320285,-6954.289427123127,-6943.145173730258,0.04095257243575584,0.4931586325681797,1179345.1112281778,1.9622177898881674e-11,13908.568573194443,1.0,234.0
22,9.617393970489502,0.6999150064287719,4.4115833993705165e-05,12.824232794150943,0.49667618309611666,12.81455422723373,0.0,0.0,0.038176566958147425,0.002475188196290189,337.15504260545987,335.28701552615394,335.28701552615394,unknown,4.0,2.0810889640895747,-8812.333045428662,-8801.191650516874,0.04095245167669233,0.49305300196535734,1327577.3438750294,3.3230330571020116e-11,17624.660095401632,1.0,229.0
23,10.054704666137695,0.6999145598919323,3.288965012440512e-05,12.827947869803989,0.49776485566211676,12.818229878337458,0.0,0.0,0.03817656645306789,0.0024751882538241736,337.15504260545987,335.38293289510773,335.38293289510773,unknown,4.0,2.081883585464791,-9216.483883290102,-9205.339431766371,0.04095258340892812,0.49318275566495545,1357678.884524559,2.4224910986273667e-11,18432.96055143432,1.0,232.0
24,10.493107795715332,0.699914044686385,3.723919783907989e-05,12.824792984245805,0.496484486283606,12.815122268582089,0.0,0.0,0.03817656584310364,0.0024751883233056528,337.15504260545987,335.3016532676865,335.3016532676865,unknown,4.0,2.0810890552223915,-9570.443576707514,-9559.301604678167,0.04095246665196858,0.4930533205497221,1383504.6937997597,2.6916567762526297e-11,19140.879158465304,1.0,231.0
25,10.936333179473877,0.6999135378047228,3.693710455034727e-05,12.826880884252763,0.49716380784161923,12.81718541186372,0.0,0.0,0.03817656522243919,0.0024751883940059985,337.15504260545987,335.35556725782834,335.35556725782834,unknown,4.0,2.081653014173576,-9415.800533031153,-9404.656950282419,0.0409525460426444,0.49314997795840104,1372281.3724872565,2.6916567762526297e-11,18831.59363462807,1.0,231.0
26,11.375585794448853,0.6999130259548686,3.7117708844949105e-05,12.82548786202282,0.49678636741056537,12.815805972282856,0.0,0.0,0.03817656463069117,0.0024751884614124518,337.15504260545987,335.3196220532176,335.3196220532176,unknown,4.0,2.081243772520044,-9508.100555596662,-9496.958015939856,0.040952492637658384,0.49308313039079543,1378991.1541993218,2.6916567762526297e-11,19016.194428466843,1.0,231.0
27,11.816495656967163,0.6999125111912908,3.72231914666409e-05,12.826295447220502,0.49694675548146633,12.816607949718971,0.0,0.0,0.03817656400916158,0.0024751885322113437,337.15504260545987,335.34049007063885,335.34049007063885,unknown,4.0,2.0814841367759858,-9562.218303464517,-9551.075161025461,0.04095252391374169,0.493126022871957,1382910.0276291573,2.6916567762526297e-11,19124.430164499805,1.0,231.0
