iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,maxabsLagmult
0,0.0,0.7979744400693014,8.308148362110448e-16,3.231580075032412,1.89500789726043,2.61764299526637,0.0,0.0,0.0,0.0,1.0,1.0
1,0.5065886974334717,0.7924517840617871,0.3791581230990613,0.7425793383990102,0.01747223343692151,0.7399475572724162,0.0,0.0,0.057176924231217396,0.0047041112411127795,1.0,1.0571769242312175
2,0.821263313293457,0.786814989238519,1.208106925359329,0.5593299768204899,0.02329498939787467,0.3343039041879061,0.0,0.0,0.336755687268438,0.03949731865444426,3.3333333333333335,0.6264166599184626
3,1.0324435234069824,0.7814587911947728,1.1296503033466834,0.022980958030779007,0.022772590500126973,0.003042259966458259,0.0,0.0,0.000527454474280098,3.296590464250612e-05,3.3333333333333335,0.02122608048068364
4,1.224890947341919,0.7800228702423042,0.11015449148508728,0.023238031154662064,0.02323456695057357,1.914931615635903e-05,0.0,0.0,0.0004007790763622676,2.5048692272641726e-05,3.3333333333333335,0.004166785706289176
5,1.422980546951294,0.7783987912553582,0.1196462693187082,0.01517352391525291,0.015100333909812334,5.919874273933438e-06,0.0,0.0,0.001287448128401092,0.00014486339095453812,3.3333333333333335,0.0049399263962464765
6,1.6154825687408447,0.77636802330292,0.14304940567403612,0.027334092608623736,0.027334092589845975,1.0131861217757077e-06,0.0,0.0,0.0,0.0,11.111111111111112,0.004120245333849576
7,1.8023567199707031,0.7756333333888789,0.04741225506429938,0.03522353455959745,0.03520869531147441,8.749169228004232e-06,0.0,0.0,0.0008679854977571289,0.000106278439793564,11.111111111111112,0.009644283308412544
8,1.9940423965454102,0.7748922013686453,0.04817518090413148,0.023086886662849134,0.023086886641727488,9.875556789048237e-07,0.0,0.0,0.0,0.0,37.037037037037045,0.004195574483526841
9,2.181797504425049,0.774657704669003,0.014475396034868068,0.027920264206722806,0.027920264206722677,2.6891658332849617e-09,0.0,0.0,0.0,0.0,37.037037037037045,0.004178599986192359
