iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,Phi,sigma,rho,maxabsLagmult,normNTdirx,normNTdirw,stepsize,linesearch_status,linesearch_counter,linesearch_RightItem,gradfNTdir,NTdir_error1,NTdir_error2,NTdir_norm,NTdir_angle,CovDerivKKT_minabseigval
16,29.886795043945312,0.7995757555525048,2.958804940727846e-07,2.2900884314480336,1.280121200283315,1.8988639596275672,0.0,0.0,0.010507105445214292,0.0006566940903258932,7.794004858615509,0.5,0.5438352212565645,2.007922434211318,333131820.6791515,333136409.20073754,8.881784197001252e-16,True,50.0,-10.8559017511642,-118020.69294699345,2.171356852400403e-06,3.299748740914765e-08,333136409.20073754,1.529264102812283e-09,1.149481068479444e-12
17,31.787726879119873,0.799575751301061,1.2000346343677432e-05,2.2900884314764167,1.2801212002832552,1.8988639596488939,0.0,0.0,0.010507107784590913,0.0006566942365369321,7.794004858626964,0.5,0.5438352212565641,2.0079224584035176,13511188830.802994,13511374932.37631,8.881784197001252e-16,False,51.0,-10.855901751164193,-4786693.713835243,5.5980118267298233e-05,4.379028439061017e-05,13511374932.37631,3.770537759490748e-11,2.889399863221732e-14
18,33.669676780700684,0.7995757567302938,1.532483322713537e-05,2.2900884314415393,1.2801212002808309,1.8988639596249952,0.0,0.0,0.01050710479721182,0.0006566940498257388,7.79400485862592,0.5,0.5438352212560694,2.0079224275129475,8424916.163260834,8425032.205147307,1.8189894035458565e-12,True,39.0,-10.855901751187112,2984.7573394529827,5.789339944930057e-08,1.9453118227374944e-08,8425032.205147307,6.046902467431724e-08,-4.542415475981341e-11
19,35.578192472457886,0.7995757555089867,3.447331397505913e-06,2.2900884314492216,1.2801212002806805,1.8988639596306427,0.0,0.0,0.010507105469248941,0.0006566940918280588,7.79400485862563,0.5,0.5438352212560386,2.007922434462852,30323047.649299465,30323465.317440305,1.1368683772161603e-13,True,43.0,-10.855901751193631,-10742.727155027504,1.6329451458035406e-07,3.47820225954365e-08,30323465.317440305,1.6800638083484745e-08,1.2621779628624537e-11
20,37.539154291152954,0.7995757557860911,7.821702468794834e-07,2.2900884314474697,1.2801212002806786,1.8988639596293753,0.0,0.0,0.010507105316770663,0.0006566940822981664,7.794004858625669,0.5,0.5438352212560382,2.0079224328860312,880645407.8829781,880657537.7902706,8.881784197001252e-16,False,51.0,-10.85590175119359,311991.7888651204,5.047313857662771e-06,3.390313219497898e-06,880657537.7902706,5.784924164096035e-10,-4.357697110918809e-13
21,39.4295129776001,0.7995757555954562,5.380969605460976e-07,2.2900884314486754,1.280121200280674,1.8988639596302517,0.0,0.0,0.010507105421668866,0.0006566940888543041,7.7940048586256525,0.5,0.5438352212560372,2.0079224339708195,151460829.31299874,151462915.51910484,3.552713678800501e-15,True,48.0,-10.855901751193674,-53658.96986419955,1.3286151765653103e-06,7.356800004743036e-07,151462915.51910484,3.363553284692478e-09,2.526810286311921e-12
22,41.32811617851257,0.7995757553498741,6.931935850171913e-07,2.290088431450235,1.2801212002806728,1.8988639596313859,0.0,0.0,0.010507105556801873,0.0006566940973001171,7.794004858625682,0.5,0.5438352212560371,2.0079224353682705,780466592.7318108,780477342.791441,8.881784197001252e-16,False,51.0,-10.855901751193658,-276500.7920930323,6.091630417105032e-06,1.7962089948753146e-07,780477342.791441,6.527460990992791e-10,4.888546254800794e-13
23,43.23127222061157,0.7995757555752844,6.362550704780315e-07,2.2900884314488055,1.2801212002806677,1.8988639596303516,0.0,0.0,0.010507105432768801,0.0006566940895480501,7.794004858625677,0.5,0.5438352212560361,2.007922434085614,179089881.1382677,179092347.8998838,3.552713678800501e-15,True,48.0,-10.855901751193718,63447.306332135166,1.096695977909383e-06,4.894597260829414e-08,179092347.8998838,2.844641625621483e-09,-2.136660239807023e-12
24,45.196462869644165,0.7995757551351582,1.2423232950087082e-06,2.2900884314516086,1.2801212002806661,1.898863959632393,0.0,0.0,0.010507105674950576,0.000656694104684411,7.794004858625788,0.5,0.5438352212560359,2.0079224365900874,1398731681.857446,1398750947.8297818,8.881784197001252e-16,False,51.0,-10.855901751193727,-495537.4482149035,9.463731561903136e-06,4.139837386674117e-06,1398750947.8297818,3.642202034295453e-10,2.729914572062339e-13
25,47.16715884208679,0.7995757555697471,1.226693934080335e-06,2.290088431448847,1.280121200280647,1.898863959630399,0.0,0.0,0.010507105435816304,0.000656694089738519,7.794004858625754,0.5,0.543835221256032,2.007922434117152,86320911.5886873,86322100.5611152,1.4210854715202004e-14,True,46.0,-10.855901751193953,30581.460860246138,4.810164133285279e-07,4.452121338260895e-08,86322100.5611152,5.901774128165811e-09,-4.4323996259449135e-12
26,49.14231634140015,0.7995757550081468,1.5852046634810871e-06,2.2900884314524292,1.2801212002806448,1.898863959633011,0.0,0.0,0.010507105744840262,0.0006566941090525164,7.794004858625945,0.5,0.5438352212560317,2.0079224373128604,1784781782.4323225,1784806365.814639,8.881784197001252e-16,False,51.0,-10.85590175119395,-632305.8418983589,1.0008863866226416e-05,8.819733547937858e-06,1784806365.814639,2.854388827896854e-10,2.1381134243593413e-13
27,51.0300567150116,0.7995757556735126,1.8780989103384019e-06,2.290088431448204,1.2801212002806073,1.8988639596299663,0.0,0.0,0.010507105378720053,0.0006566940861700033,7.794004858625918,0.5,0.5438352212560239,2.0079224335267485,66079730.88901052,66080641.06172796,2.842170943040401e-14,True,45.0,-10.855901751194338,23410.49065050918,2.9332882354909156e-07,2.095403175417232e-07,66080641.06172796,7.709573057719092e-09,-5.790491166813151e-12
28,52.925373554229736,0.799575755491416,5.139962739676797e-07,2.290088431449358,1.2801212002806048,1.898863959630805,0.0,0.0,0.010507105478919908,0.0006566940924324943,7.794004858625915,0.5,0.5438352212560235,2.007922434562947,289354178.52371526,289358164.0570599,1.7763568394002505e-15,True,49.0,-10.85590175119442,-102511.31272131315,1.7009035675138998e-06,1.3625612105272467e-06,289358164.0570599,1.7606332838315464e-09,1.3235105343491145e-12
29,54.833606004714966,0.7995757556849138,5.461777541967406e-07,2.2900884314481336,1.280121200280604,1.898863959629918,0.0,0.0,0.01050710537244662,0.0006566940857779137,7.7940048586259305,0.5,0.5438352212560233,2.0079224334618773,614941482.2851311,614949952.4169078,8.881784197001252e-16,False,51.0,-10.855901751194423,217859.19040953508,2.8802036161950225e-06,9.664289706279305e-07,614949952.4169078,8.284472435962399e-10,-6.235931477415836e-13
30,56.741804361343384,0.7995757556015658,2.352625431866547e-07,2.2900884314486607,1.2801212002806026,1.898863959630301,0.0,0.0,0.010507105418309359,0.0006566940886443349,7.794004858625925,0.5,0.543835221256023,2.0079224339361583,264882075.01272592,264885723.47011277,8.881784197001252e-16,True,50.0,-10.855901751194455,-93841.42691771768,1.2964238671207766e-06,3.189039077255984e-08,264885723.47011277,1.923295622173727e-09,1.4451761264122506e-12
31,58.63799691200256,0.7995757553843769,6.1305036256814e-07,2.29008843145004,1.2801212002806015,1.898863959631304,0.0,0.0,0.01050710553781903,0.0006566940961136894,7.794004858625945,0.5,0.5438352212560228,2.007922435172044,690233345.8594825,690242853.0566798,8.881784197001252e-16,False,51.0,-10.85590175119445,-244533.29303227318,2.9443447560046914e-06,1.9211949062736267e-06,690242853.0566798,7.380785719926121e-10,5.540753261801357e-13
32,60.529704093933105,0.7995757555204899,3.8420085852748e-07,2.290088431449176,1.2801212002805988,1.8988639596306778,0.0,0.0,0.010507105462921983,0.0006566940914326239,7.794004858625938,0.5,0.5438352212560223,2.0079224343975146,216285855.05995703,216288834.15466854,1.7763568394002505e-15,True,49.0,-10.855901751194494,76624.9576217666,1.1419521796506487e-06,7.535489316978783e-07,216288834.15466854,2.3554317229819586e-09,-1.7679374370906742e-12
33,62.43421697616577,0.799575755903406,1.0808411149032786e-06,2.29008843144676,1.2801212002805977,1.8988639596289307,0.0,0.0,0.010507105252220015,0.0006566940782637509,7.794004858626022,0.5,0.543835221256022,2.0079224322185856,1216918910.8330762,1216935672.5331817,8.881784197001252e-16,False,51.0,-10.855901751194487,431125.51471332833,6.2544180217749266e-06,3.1960733579694534e-06,1216935672.5331817,4.186365061327719e-10,-3.1269887201389715e-13
34,64.31672286987305,0.7995757556485786,7.192907131431478e-07,2.2900884314483685,1.2801212002805877,1.8988639596301018,0.0,0.0,0.010507105392440768,0.000656694087027548,7.794004858625985,0.5,0.5438352212560202,2.00792243366866,101231168.3958104,101232562.74430542,7.105427357601002e-15,True,47.0,-10.855901751194661,-35863.79242484417,9.727282968620567e-07,8.437931420246514e-07,101232562.74430542,5.0325063495575685e-09,3.781359803282904e-12
35,66.21627593040466,0.7995757555346354,3.2162278134951964e-07,2.29008843144909,1.2801212002805868,1.8988639596306256,0.0,0.0,0.010507105455138806,0.0006566940909461754,7.794004858625982,0.5,0.5438352212560199,2.00792243431704,362115059.63395005,362120047.3673582,8.881784197001252e-16,True,50.0,-10.855901751194619,-128288.7670363033,2.2088862839487024e-06,6.241537668927322e-07,362120047.3673582,1.4068636206435925e-09,1.0566924268772464e-12
36,68.10655379295349,0.7995757562740058,2.0869889573790796e-06,2.290088431444447,1.2801212002805844,1.898863959627279,0.0,0.0,0.010507105048295672,0.0006566940655184795,7.7940048586263195,0.5,0.5438352212560197,2.007922430109759,2349740672.7450733,2349773037.802708,8.881784197001252e-16,False,51.0,-10.855901751194619,832457.3949306789,1.2897968728662109e-05,2.121559806056439e-06,2349773037.802708,2.16809725767819e-10,-1.6139132804109165e-13
37,69.9877336025238,0.7995757557762602,1.4049649178959904e-06,2.290088431447577,1.2801212002805475,1.8988639596295633,0.0,0.0,0.010507105322184553,0.0006566940826365345,7.794004858626173,0.5,0.5438352212560119,2.0079224329421668,49432808.43741713,49433489.32121983,2.842170943040401e-14,True,45.0,-10.855901751195297,-17512.86212692818,5.366140919067309e-07,1.0750493828481922e-07,49433489.32121983,1.0305838662642952e-08,7.74339207763993e-12
