iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,mu,num_inner,inner_status,TR_radius,dxtype,normdx,minxfeasi,minyfeasi,compl,mineigvalHw,ared/pred,radius_update,dual_clipping,maxabsLagmult
0,0.0,-0.00013048574387374766,0.0,8.765240097572791,8.433806422080279,2.387539152134538,0.0,0,0,0.0,0.1,,,,,,,,,,,,,1.0
1,1.8358888626098633,-0.00013048574387374766,0.0,8.765240097572791,8.433806422080279,2.387539152134538,0.0,0,0,0.0,0.1,1.0,primal_infeasible,1.0974916771297851,boundary,1.0974916771297856,-0.03707802326381275,-4.583210479750042,231.5565974241756,-6877.486309332371,,,,1.0
1,2.745753765106201,-0.00013048574387374766,0.0,8.765240097572791,8.433806422080279,2.387539152134538,0.0,0,0,0.0,0.1,2.0,primal_infeasible,0.2743729192824464,boundary,0.2743729192824464,-0.037275995867276826,-0.1749269245377565,14.076441752570808,-641.9570861857611,,,,1.0
1,3.7092440128326416,-0.00013048574387374766,0.0,8.765240097572791,8.433806422080279,2.387539152134538,0.0,0,0,0.0,0.1,3.0,primal_infeasible,0.0685932298206116,boundary,0.06859322982061163,-0.018419021693556033,0.11867195814366016,17.96807645847275,-1310.1962729350098,,,,1.0
1,4.590893507003784,-0.00013048574387374766,0.0,8.765240097572791,8.433806422080279,2.387539152134538,0.0,0,0,0.0,0.1,4.0,primal_infeasible,0.017148307455152906,boundary,0.017148307455152903,-0.0009208358439456049,0.11983786285881282,10.878605554976463,-1545.434062853253,,,,1.0
1,5.5118937492370605,-0.00013048574387374766,0.0,8.765240097572791,8.433806422080279,2.387539152134538,0.0,0,0,0.0,0.1,5.0,unsuccessful,0.004287076863788226,boundary,0.004287076863788224,0.00018547353260546366,0.1199184850087478,3.139951629412895,-733.8930085515218,0.09885630111629432,reduced,,1.0
1,6.519418954849243,-0.0012020815160125743,0.0010717692154149413,755.0370422438541,755.0362143800435,1.1180943612732681,0.0,0,0,0.0,0.1,6.0,successful,0.0010717692159470564,boundary,0.0010717692159470567,0.00025580303584053516,0.11993462277534483,0.811366339114614,-741.2296805424143,0.2701292983057069,unchanged,False,758.1548856676636
1,7.478262662887573,-0.0013263287482677092,0.0010717690396059509,13.211581725458096,13.195682827336537,0.6479555608172247,0.0,0,0,0.0,0.1,7.0,successful,0.0010717692159470564,boundary,0.0010717692159470567,0.0002893204343602875,0.11989590551401207,0.09360384693670297,-657.929694212103,1.2245649685321558,expanded,False,342.3514579390836
1,8.473315000534058,-0.003411484499449077,0.0021435384277519007,59.254613296398446,59.250629238191564,0.6871184643699282,0.0,0,0,0.0,0.1,8.0,successful,0.002143538431894113,boundary,0.0021435384318941137,0.00026693423041082646,0.11987943359883382,0.13147019158522952,-670.9060506327003,0.6117262163201478,unchanged,False,351.8513483962169
1,9.486554622650146,-0.004094160565720225,0.002143537304498931,14.299422991715709,14.284596977621037,0.6509893109320385,0.0,0,0,0.0,0.1,9.0,successful,0.002143538431894113,boundary,0.0021435384318941085,0.00032172576020613976,0.11980339341620144,0.035582772660947046,-577.0183457531765,1.078449519172497,expanded,False,305.65485218500555
1,10.424134969711304,-0.005749163869481287,0.0042870692575800685,13.41033775618253,13.394327481699118,0.6550954494533241,0.0,0,0,0.0,0.1,10.0,successful,0.004287076863788226,boundary,0.004287076863788226,0.0004254091285231245,0.11963912013709181,0.008438493833644173,-403.1219147803172,0.9869015203981203,expanded,False,217.4189065201871
1,11.39275336265564,-0.007533013650521887,0.00857408851051212,8.537154480352465,8.512385064900599,0.6498516201867703,0.0,0,0,0.0,0.1,11.0,successful,0.008574153727576452,boundary,0.008574153727576453,0.0007619080599926756,0.11917534428549512,0.032631774549006266,-167.4837667957835,1.0150128383997572,expanded,False,91.02876372668646
1,12.292294025421143,-0.010116827097324584,0.017147848044975583,6.582946250782609,6.550729849479628,0.6504765790014372,0.0,0,0,0.0,0.1,12.0,successful,0.017148307455152903,boundary,0.0171483074551529,0.0016904233190379423,0.11796769863633093,0.026268835549858736,-82.33138534571795,0.9876352872236726,expanded,False,44.192638247024064
1,13.304336547851562,-0.013128066992242443,0.034294306039015635,4.894207116588985,4.851273583088561,0.646844588828989,0.0,0,0,0.0,0.1,13.0,successful,0.034296614910305806,boundary,0.034296614910305806,0.003998710746757053,0.11484128642514414,0.04703540978618248,-32.058610230793164,0.9944734371785998,expanded,False,15.486025024239208
1,14.240257501602173,-0.01605061367076534,0.06858055752557252,4.292030341057036,4.2429373657948375,0.6473074682839233,0.0,0,0,0.0,0.1,14.0,successful,0.06859322982061161,boundary,0.06859322982061157,0.008615871800572859,0.10788283988890895,0.02092556763897525,-22.77169846772936,0.9795548296204881,expanded,False,10.673201673704565
1,15.140697240829468,-0.02062660070159396,0.1371354755851224,3.2439058782126633,3.1813664541228066,0.6339028563468934,0.0,0,0,0.0,0.1,15.0,successful,0.13718645964122322,boundary,0.13718645964122322,0.01597809487242598,-0.5728867210201578,0.1216796509709966,-10.393980412758347,0.9429687507976022,expanded,True,5.267191209378681
1,16.843571186065674,-0.02659551990255283,0.27411926287211147,3.4960688083840927,3.4274197930222376,0.6894132834197301,0.0,0,0,0.0,0.1,16.0,successful,0.27437291928244645,boundary,0.27437291928244645,0.019219044288518592,0.07846378417056118,0.2422909555963181,-4.337532762582614,0.8289550239822665,expanded,False,5.201055368699204
1,17.787220001220703,-0.035776024550576095,0.5451989058749674,1.8643782965204616,1.7672927310120499,0.5937868602861709,0.0,0,0,0.0,0.1,17.0,successful,0.5487458385648929,boundary,0.5487458385648926,0.015384710026744259,-1.0085360405510153,0.4306586227336626,-2.7566791988984782,0.7293627368275778,unchanged,True,7.7040319841533975
1,19.541289567947388,-0.04557842026625376,0.5250188894361457,1.7411157878786823,1.6096398609502507,0.6637346644860895,0.0,0,0,0.0,0.1,18.0,successful,0.5487458385648929,boundary,0.5487458385648928,0.04557842026625376,-0.29129706909250785,0.22323325723951143,-0.24206769905540956,0.737261063324954,unchanged,True,4.171642127502299
1,21.282464265823364,-0.05508599613417394,0.5383025018117109,1.1818219524488582,1.0052726294452852,0.6213936496120583,0.0,0,0,0.0,0.1,19.0,successful,0.5487458385648929,boundary,0.5487458385648936,0.05508599613417394,0.0417620066935635,0.11080092228607553,-0.048375398721436515,1.000266297086341,expanded,True,1.755965177725742
1,23.01954197883606,-0.06414718791306684,0.993821583607328,0.7014591067479674,0.41044054811166025,0.5688439460040479,0.0,0,0,0.0,0.1,20.0,successful,1.0974916771297858,boundary,1.0974916771297862,0.031363152794372136,-0.43049988052829424,0.5635157884045573,-1.1097369052937451,0.6614293488997748,unchanged,True,1.8620575606126692
