iteration,time,cost,distance,residual,gradnorm,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,stepsize,linesearch_status,linesearch_counter
0,0.0,-0.5430984348096605,2.1073424255447017e-08,1.6416307404384103,1.3019030255561908,0,0.0,1.0,,1.0,,,,,,,,,,
1,0.009271860122680664,-1.2498766283078897,0.6870486794280651,0.35640957528220324,0.3564095752822032,0,0.0,1.0,0.7705209897364235,0.7705209897364235,optimal,6.0,1.0314773107084528e-08,-0.5073287937429315,-0.5073288040577046,1.619462483009431e-16,9.566618574882216e-16,1.0,1.0,0.0
2,0.018561840057373047,-1.264562090754377,0.1555118222558191,0.014826010829382,0.014826010829381963,0,0.0,1.5384946346501394,1.0384946346501394,1.0384946346501394,optimal,7.0,1.1193925513402137e-09,-0.015046419951484993,-0.015046421070877548,3.1278097812813896e-17,1.0165116672197339e-14,1.0,1.0,0.0
3,0.02672290802001953,-1.2645710944916533,0.003988322782296425,9.183669548037198e-06,9.183669490080053e-06,0,0.0,1.5384946346501394,1.0269085848921977,1.0269085848921977,optimal,7.0,1.100193208556971e-09,-9.003880488532502e-06,-9.00498068174146e-06,1.359824716466359e-16,2.432499994053301e-14,1.0,1.0,0.0
4,0.036630868911743164,-1.2645710944916697,6.143906154658886e-08,1.031558823051924e-09,1.3448195838507949e-14,0,0.0,1.5384946346501394,1.0269003998760013,1.0269003998760013,optimal,7.0,1.0999247992712594e-09,-1.6141595385249113e-14,-1.099940940866641e-09,1.2299176354067907e-16,1.1917149323186205e-14,1.0,1.0,0.0
5,0.04471397399902344,-1.2645710944916697,0.0,1.0315588279555986e-09,3.0560414696106305e-15,0,0.0,1.5384946346501394,1.0269003998760071,1.0269003998760071,optimal,7.0,1.0999248054257073e-09,3.226078511487088e-19,-1.0999248051031334e-09,8.542786415828711e-17,2.9558109708518956e-15,1.0,1.0,0.0
6,0.05285811424255371,-1.2645710944916697,0.0,1.0315588279709947e-09,6.582944648782077e-15,0,0.0,1.5384946346501394,1.026900399876005,1.026900399876005,optimal,7.0,1.0999248054246175e-09,-2.059965135625586e-23,-1.0999248054246529e-09,2.3424885757082587e-16,5.565853431091352e-15,0.9,1.0,1.0
7,0.061287879943847656,-1.2645710944916697,0.0,1.0315588281651075e-09,2.0953315698922174e-14,0,0.0,1.5384946346501394,1.0269003998760182,1.0269003998760182,optimal,7.0,1.099924805426962e-09,3.5328634319217746e-23,-1.0999248054269469e-09,2.401225171866184e-16,1.820434447152672e-14,1.0,1.0,0.0
8,0.06950497627258301,-1.2645710944916697,0.0,1.0315588281761504e-09,2.159570903095351e-14,0,0.0,1.5384946346501394,1.0269003998760273,1.0269003998760273,optimal,7.0,1.0999248054247048e-09,-9.910333413432826e-23,-1.0999248054248024e-09,2.4018500642967492e-17,1.8876166109359825e-14,0.81,1.0,2.0
9,0.07895088195800781,-1.2645710944916697,0.0,1.0315588281370007e-09,1.9621036911641308e-14,0,0.0,1.5384946346501394,1.0269003998759858,1.0269003998759858,optimal,7.0,1.0999248054250123e-09,-3.891702492084017e-24,-1.0999248054249877e-09,9.232066769251429e-17,1.7296569494951844e-14,0.81,1.0,2.0
10,0.08640670776367188,-1.2645710944916697,0.0,1.0315588280073652e-09,1.0900686677078151e-14,0,0.0,1.5384946346501394,1.0269003998760098,1.0269003998760098,optimal,7.0,1.0999248054243789e-09,-1.0850507784853015e-22,-1.0999248054243983e-09,4.3799683045890987e-16,1.048374122024633e-14,0.81,1.0,2.0
11,0.09517574310302734,-1.2645710944916697,0.0,1.0315588295940601e-09,5.824612573479809e-14,0,0.0,1.5384946346501394,1.0269003998759534,1.0269003998759534,optimal,7.0,1.0999248054242715e-09,1.757902666238469e-22,-1.0999248054240598e-09,1.774996887940763e-16,5.0365324483343735e-14,1.0,1.0,0.0
12,0.10308504104614258,-1.2645710944916697,0.0,1.0315588289410747e-09,4.518907525210699e-14,0,0.0,1.5384946346501394,1.026900399875982,1.026900399875982,optimal,7.0,1.0999248054258856e-09,-2.209382987311925e-22,-1.099924805426149e-09,4.484706338194065e-17,4.306308855681794e-14,0.9,1.0,1.0
13,0.11255598068237305,-1.2645710944916697,0.0,1.0315588279698912e-09,6.263838602462462e-15,0,0.0,1.5384946346501394,1.0269003998760033,1.0269003998760033,optimal,7.0,1.0999248054255074e-09,1.4269058068322124e-22,-1.0999248054253889e-09,2.567752773408617e-16,5.391888068363879e-15,1.0,1.0,0.0
14,0.12088274955749512,-1.2645710944916697,0.0,1.031558828015484e-09,1.1632570443978463e-14,0,0.0,1.5384946346501394,1.026900399876007,1.026900399876007,optimal,7.0,1.0999248054244825e-09,-6.384801270194485e-23,-1.0999248054245555e-09,2.2983446996981026e-16,1.0017710505973611e-14,1.0,1.0,0.0
15,0.12966275215148926,-1.2645710944916697,0.0,1.0315588291345526e-09,4.942385097995784e-14,0,0.0,1.5384946346501394,1.0269003998760222,1.0269003998760222,optimal,7.0,1.099924805425163e-09,-2.218634485712106e-22,-1.0999248054253971e-09,7.640806562897542e-17,4.2933319558983236e-14,1.0,1.0,0.0
16,0.13806676864624023,-1.2645710944916697,0.0,1.0315588287701014e-09,4.111997167009565e-14,0,0.0,1.5384946346501394,1.0269003998760442,1.0269003998760442,optimal,7.0,1.0999248054251513e-09,2.4463239866266595e-22,-1.099924805424917e-09,1.655312345170612e-16,3.5949542514377127e-14,0.9,1.0,1.0
