iteration,time,cost,distance,residual,gradnorm,maxviolation,meanviolation,Phi,sigma,rho,maxabsLagmult,stepsize,linesearch_status,linesearch_counter
0,0.0,-0.5430984348096605,2.1073424255447017e-08,1.6416307404384103,1.3019030255561908,0,0.0,8.79943390853464,0.5,1.0,1.0,,,
1,0.007618904113769531,-0.7120393958950862,0.2861350507736937,1.1143301407114548,0.5832364476234794,0,0.0,3.5952185092162074,0.5,0.7316095900687649,1.156592154452384,0.5,True,1.0
2,0.014396905899047852,-0.6574112227299151,0.17882213713975406,0.8472575354468563,0.055216118938680774,0,0.0,0.7414614773771617,0.5,0.3829336432378838,1.217961255460479,1.0,True,0.0
3,0.021503925323486328,-0.7921185622562483,0.12684589843394864,0.4439452009433529,0.07428645310527893,0,0.0,0.20026862616792798,0.5,0.19649025028249534,0.9225313635326766,1.0,True,0.0
4,0.028551816940307617,-1.0547937238019243,0.22761711269057922,0.21850751931886284,0.03681683773612227,0,0.0,0.050935482908345465,0.4750672661493684,0.09821015797891333,0.9956177332435583,1.0,True,0.0
5,0.03541088104248047,-1.1510018087191698,0.09705911581572435,0.11260508906928501,0.0037099391217399525,0,0.0,0.01282234202638733,0.33650524614155297,0.05041368586528937,0.9868911519005004,1.0,True,0.0
6,0.04188895225524902,-1.2219428110163744,0.08184829877243639,0.04304679476188211,0.0032126009322291605,0,0.0,0.001876708958899035,0.2081369718536605,0.019052626750271952,0.9998436973464543,1.0,True,0.0
7,0.04871702194213867,-1.2542792049305918,0.051307993700759065,0.011664190733034565,0.0013906630691496197,0,0.0,0.00013814337113964476,0.10841328710676264,0.004971208756631326,1.0138159229120374,1.0,True,0.0
8,0.055021047592163086,-1.2633205624432298,0.024443530302657578,0.002126046654715053,0.00032983034338999594,0,0.0,4.61200299583943e-06,0.04634174628546862,0.0008015078335603982,1.0231785033830885,1.0,True,0.0
9,0.06126570701599121,-1.264499673935398,0.007816584833454375,0.00021196659280320188,3.5484926401530955e-05,0,0.0,4.5865824229926556e-08,0.014634311688191959,6.8044045359912e-05,1.026452961313562,1.0,True,0.0
10,0.06789088249206543,-1.2645691582007033,0.001031057587160213,4.4152610355388715e-06,6.343846029781201e-07,0,0.0,1.97770851973856e-11,0.002108825143861959,1.565729081614237e-06,1.0268913326389546,1.0,True,0.0
11,0.07423686981201172,-1.2645710879580068,2.1468886452113108e-05,8.009012121960151e-09,2.7292788902407987e-10,0,0.0,6.419738527679378e-17,8.951160306066159e-05,3.5444416519966154e-09,1.0269003919651245,1.0,True,0.0
