iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,Phi,sigma,rho,maxabsLagmult,normNTdirx,normNTdirw,stepsize,linesearch_status,linesearch_counter,linesearch_RightItem,gradfNTdir,NTdir_error1,NTdir_error2,NTdir_norm,NTdir_angle,CovDerivKKT_minabseigval
10,17.7634174823761,0.7998393768425683,0.3925546246490675,2.1067348449309984,0.8956776993005983,1.8967138701140398,0.0,0.0,0.19596496535825875,0.01305643834728909,7.377490685187001,0.5,0.4614254017241634,2.7226337143874173,100.49902708940961,100.56533208062126,0.00390625,True,8.0,-11.355087926269118,-0.1359783941755865,9.022594503310012e-12,3.552713678800501e-13,100.56533208062126,0.0006431767732119586,9.221460957440753e-06
11,19.55252194404602,0.7994993047620536,0.2637640913719307,2.104312280025273,0.8937646986812628,1.8949263096262412,0.0,0.0,0.1959559511383213,0.013063061234774655,7.366976941996706,0.5,0.4609746415758974,2.729453321149647,135.04993936921858,135.10136798063704,0.001953125,True,9.0,-11.348366948673114,-0.17333745127542677,1.3258129398424364e-11,2.659206188582175e-12,135.10136798063704,0.0004697949648072318,6.65446411474872e-06
12,21.32232666015625,0.799115656305291,0.31074406154695605,2.1019520626785644,0.8918134356749258,1.8932259562659186,0.0,0.0,0.19594205468049394,0.013069528514295072,7.357421560632168,0.5,0.4605243159785823,2.7363498588891177,159.10502902369112,159.14964740298896,0.001953125,True,9.0,-11.333991961176977,-0.19537057305669686,1.130291988321194e-11,3.845812557301542e-12,159.14964740298896,0.00039381529197416565,5.537633327871304e-06
13,23.088768482208252,0.798688482544027,0.3666467086089833,2.0995654421164933,0.8898221423515731,1.8915427454636902,0.0,0.0,0.19565536970292677,0.013059073851219108,7.347588545231844,0.5,0.4600744250896989,2.7433160577430864,187.72903061445345,187.76758673839478,0.001953125,True,9.0,-11.321520791543678,-0.2173385892931409,1.3594344140004752e-11,2.9025670755800093e-12,187.76758673839478,0.00032894515549234185,4.585052883099585e-06
14,24.86083984375,0.7977069990097714,0.9008584433909562,2.0965501855494217,0.885178944073246,1.8903104365319452,0.0,0.0,0.19627560703261276,0.013113303521860999,7.347223643546134,0.5,0.4591751759435594,2.7574135596221394,230.65957999896932,230.69169131807024,0.00390625,True,8.0,-11.308481464517815,-0.24777584264289262,2.304271176508367e-11,3.213429522475053e-12,230.69169131807024,0.000262947466060495,3.6222661680247144e-06
15,26.623892068862915,0.7967218888117585,1.1052815913608556,2.09881564837006,0.8823659659077192,1.893961346103923,0.0,0.0,0.19794067786213126,0.013226733504567108,7.346584258283748,0.5,0.4587265370844089,2.7650292119868376,566.028191096564,566.0435791364266,0.001953125,True,9.0,-11.320977811847488,-0.49753445946416713,3.954022466394249e-11,2.0120793919886637e-11,566.0435791364266,0.0001021799543889405,1.3525276129551476e-06
16,28.401820421218872,0.7971393918632207,0.5905707802934551,2.0971488148000423,0.8792916992176929,1.8934243369863242,0.0,0.0,0.19907790459365965,0.013307327296981338,7.329307985316918,0.5,0.4578302202655639,2.777389910854092,151.2136367930566,151.251177923369,0.00390625,True,8.0,-11.326287943360239,0.11023612115325632,1.3143142246674959e-11,1.0373923942097463e-12,151.251177923369,0.0003504593683026108,-4.310074555686975e-06
17,30.174548864364624,0.7965611200144013,0.8407944433548162,2.0952797301024493,0.8754110686320979,1.8929757101405438,0.0,0.0,0.20074492114593914,0.013423888722166696,7.306717674863708,0.5,0.4569355125946607,2.7907709545800303,215.2640897686338,215.29481316922147,0.00390625,True,8.0,-11.304879801219199,-0.1473503443973061,2.2604351921348413e-11,1.0361489444221661e-11,215.29481316922147,0.0002619965839627067,3.273755637597979e-06
18,32.023242712020874,0.7965012712674808,0.13096478139017492,2.0952159360339664,0.875184819892133,1.8929736637076544,0.0,0.0,0.2010838203333991,0.013445758894491257,7.306117690117702,0.5,0.45687973259834413,2.791583106768728,536.4355986474231,536.4472160219146,0.000244140625,True,12.0,-11.27279434700509,-0.24502835032562273,6.525043866764741e-11,3.895017641752929e-11,536.4472160219146,9.833548180729127e-05,1.0972299740277877e-06
19,33.890363931655884,0.7965043624354268,0.006935974712286328,2.0952153208415703,0.8751839631996071,1.8929732500587686,0.0,0.0,0.20108503012176976,0.013445836997509564,7.3061139916576385,0.5,0.45687951474100646,2.791586209545314,7272.8968209730965,7272.89786813854,9.5367431640625e-07,True,20.0,-11.272409939289254,3.2416941350621347,1.4747799376915483e-09,1.766586876783549e-10,7272.89786813854,7.147318538861217e-06,-7.80010709319279e-08
