[ 0.         -0.91231944  0.24068182  0.6105559  -0.04253244],[ 0.91231944  0.         -0.19888476 -0.26008334  0.73591095],[-0.24068182  0.19888476  0.         -1.11344555  0.22205059],[-0.6105559   0.26008334  1.11344555  0.         -0.16348219],[ 0.04253244 -0.73591095 -0.22205059  0.16348219  0.        ]
[ 1.8468022   0.38643162 -0.33445352  0.11028585 -0.0232425 ],"[ 3.86431624e-01  1.86086632e+00 -6.32626648e-01 -3.39713228e-01
  3.48047889e-04]",[-0.33445352 -0.63262665  1.52659289  0.13725723 -0.02410078],[ 0.11028585 -0.33971323  0.13725723  1.59191819 -0.00663604],"[-2.32424953e-02  3.48047889e-04 -2.41007782e-02 -6.63604104e-03
  1.49054137e+00]"
[ 1.50060347  0.08013963 -0.19230797  0.09556926 -0.10661114],[ 0.08013963  1.25350887 -0.39301245  0.00384311  0.06808503],[-0.19230797 -0.39301245  1.45985105 -0.08169841  0.19251898],"[ 9.55692607e-02  3.84311080e-03 -8.16984081e-02  1.41286403e+00
  2.85569763e-04]","[-1.06611136e-01  6.80850323e-02  1.92518980e-01  2.85569763e-04
  1.67720472e+00]"
