iteration,time,cost,distance,residual,gradnorm,maxviolation,meanviolation,tr_radius,barrier_parameter,maxabsLagmult
0,0.0,-0.5289294091805266,0.0,0.38917848830749086,0.3233237066644254,0.0,0.0,1.0,0.1,0.637663092948681
1,0.01090097427368164,-0.5898118137877612,0.07851079198741658,0.37766404468423365,0.2111342472829553,0.006163944962322532,0.0010273241603870886,6.001283776504458,0.1,0.7956552997272981
2,0.012401819229125977,-0.6192648636600198,0.04336010076764532,0.39643595551929817,0.11716138659460415,0.0018800987030471727,0.00031334978384119544,6.001283776504458,0.1,0.947216401716797
3,0.013705968856811523,-0.6508239777653895,0.04081704928506297,0.3965919228838464,0.1081058724518666,0.0016660314723222491,0.00027767191205370817,6.001283776504458,0.1,0.9978993037650699
4,0.014833688735961914,-0.6855399245029201,0.040131884370222526,0.3950862244548587,0.09880714786928703,0.001610568250343558,0.00026842804172392637,6.001283776504458,0.1,1.0453079961410006
5,0.015893936157226562,-0.7182096371564257,0.0381384943487558,0.38774178208598303,0.08626900085926456,0.001454545235133331,0.00024242420585555516,6.001283776504458,0.1,1.0852833559811415
6,0.01697087287902832,-0.7546884466560043,0.03761800543112861,0.3778404577788463,0.0758029381713098,0.0014151148600938246,0.0002358524766823041,6.001283776504458,0.1,1.123010883483843
7,0.01805877685546875,-0.7896941808401661,0.0345819821932906,0.3646243087910192,0.06493716025288482,0.0011959138866748376,0.00019931898111247293,6.001283776504458,0.1,1.1547939382196801
8,0.019113779067993164,-0.8232725284470255,0.03214285986938038,0.34995107641025563,0.05517636563130588,0.001033163723508146,0.0001721939539180243,6.001283776504458,0.1,1.181678965872255
9,0.0201568603515625,-0.8551462004598723,0.029701814674962298,0.3344831757456174,0.04640422707170041,0.000882198217575958,0.00014703303626265965,6.001283776504458,0.1,1.20433297513863
10,0.02053093910217285,-0.8551462004598723,0.0,0.2977450760875509,0.07992677386716196,0.000882198217575958,0.00014703303626265965,30.00641888252229,0.020000000000000004,1.0922884079999902
11,0.021600961685180664,-0.9244233126483326,0.05648354897452111,0.26430541120859297,0.06890694441538447,0.0031903920741864766,0.0005317320123644128,30.00641888252229,0.020000000000000004,1.1405326967768217
12,0.022673845291137695,-0.9847189972356182,0.05104598007143897,0.2281555799518742,0.05662540446680248,0.0026056932525539978,0.00043428220875899964,30.00641888252229,0.020000000000000004,1.1789173697932376
13,0.023743867874145508,-1.0392588150980138,0.04563559123022804,0.19604294205168896,0.04731747937992084,0.002082608358122684,0.00034710139302044735,30.00641888252229,0.020000000000000004,1.2094692175891175
14,0.024812936782836914,-1.0867222770170335,0.040440759361147584,0.16675468930597923,0.03901017714387866,0.0016354563567935188,0.00027257605946558644,30.00641888252229,0.020000000000000004,1.233349379040102
15,0.02588200569152832,-1.1256345331698572,0.03424505202591408,0.14223391137381194,0.0320786110164327,0.0011727241030428104,0.00019545401717380173,30.00641888252229,0.020000000000000004,1.2512527567702194
16,0.026957035064697266,-1.1551696502874291,0.02795604366905926,0.12184765617257107,0.026230443012047435,0.0007815407815845443,0.0001302567969307574,30.00641888252229,0.020000000000000004,1.2635198827206247
