iteration,time,cost,distance,residual,gradnorm,maxviolation,meanviolation,Phi,sigma,rho,maxabsLagmult,stepsize,linesearch_status,linesearch_counter
0,0.0,-0.5289294091805266,0.0,1.1400675984351447,0.5474980630118048,0,0.0,6.950406541314375,0.5,1.0,1.0,,,
1,0.010972976684570312,-0.6346224012727956,0.15830421542540732,1.0184934728472717,0.2450385819597082,0,0.0,3.170352467967714,0.5,0.7320139477444114,1.1327392503191192,0.5,True,1.0
2,0.017947912216186523,-0.6427127120336905,0.05942419342458023,0.8597792677792098,0.013597490778749688,0,0.0,0.7418393797191438,0.5,0.38391061226476797,1.2104796887443916,1.0,True,0.0
3,0.023953914642333984,-0.7858379280394832,0.13465704591814043,0.4407292886121465,0.08221391445595608,0,0.0,0.19776682253916603,0.5,0.19423405718494183,0.9105413658268559,1.0,True,0.0
4,0.029944181442260742,-1.0629667054214895,0.24016402702768683,0.21632737907317967,0.047932591221129854,0,0.0,0.05033941209201265,0.47367126008625704,0.09638386138503055,1.0016701748844803,1.0,True,0.0
5,0.037364959716796875,-1.1527624906019283,0.09233288018871916,0.11069990641481413,0.003349249452151816,0,0.0,0.012377743753803122,0.3335495598545832,0.04954139498584775,0.9865587925017154,1.0,True,0.0
6,0.04519915580749512,-1.223032009287208,0.08145093159324433,0.04199772515562525,0.003201825381705785,0,0.0,0.0017865585240559973,0.2055911007773028,0.018578545594425046,1.000159195583482,1.0,True,0.0
7,0.05139899253845215,-1.25466042627879,0.05064405472737109,0.01128693265753139,0.0013567327974797882,0,0.0,0.0001293655203576277,0.10664847137069196,0.004803236126276913,1.0140876008714843,1.0,True,0.0
8,0.05754399299621582,-1.2633879881598573,0.023964292516765472,0.0020386876517349763,0.0003173059855835432,0,0.0,4.241068245689488e-06,0.04538045179199095,0.0007654343479820846,1.0233063292452567,1.0,True,0.0
9,0.06450891494750977,-1.263964287847207,0.003785637832452575,0.001084431070310171,0.00016689986276179585,0,0.0,1.1991242651571887e-06,0.03309146907614871,0.00040735027484839427,1.0248929748226192,0.5,True,1.0
10,0.07304906845092773,-1.2645453803874045,0.0044201641707567645,7.090832309306113e-05,1.1408181950718208e-05,0,0.0,5.123519440584161e-09,0.008460423387392517,2.3468064281886596e-05,1.0267508490533157,1.0,True,0.0
11,0.07901906967163086,-1.2645707042661234,0.0003496543603644524,6.656947983570063e-07,7.282353486322955e-08,0,0.0,4.468863837882698e-13,0.0008176158097741776,2.638000079272952e-07,1.0268991678234785,1.0,True,0.0
