iteration,time,cost,distance,residual,gradnorm,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,stepsize,linesearch_status,linesearch_counter
0,0.0,-0.5077647390306161,0.0,3.3764310097571175,3.2249474978128667,0.0,0.0,1,,1.0,,,,,,,,,,
1,0.19928812980651855,-0.869677826747606,0.30845580100021225,0.9574518216413337,0.9574518216413337,0.0,0.0,1,2.4644933339126894e-199,2.4644933339126894e-199,unknown,100.0,5.055155993166758e-199,-0.20937871084784757,-0.20937871084784757,1.4042817558358015e-16,5.100126463526225e-17,1.0,1.0,0.0
2,0.26452088356018066,-1.2665020057183063,1.247543668447097,0.9184128287845446,0.9184128287845446,4.408313015409509e-17,6.171638221573313e-18,1,0.7757219869951315,0.7757219869951315,unknown,12.0,7.53972131486757e-17,-0.9059055578382708,-0.9059055578382712,1.7188336597604313e-15,9.410487632656007e-12,1.0,1.0,0.0
3,0.8804600238800049,-1.352258144849107,0.7334016875690079,0.1533848613277087,0.1533848613277087,1.5039780995016612e-17,1.1386077103742428e-18,1,0.5075409796006831,0.5075409796006831,unknown,12.0,1.1611991707403144e-17,-0.12709758869445195,-0.12709758869445195,2.8888919486794857e-16,2.050684058484134e-14,1.0,1.0,0.0
4,0.9486498832702637,-1.3614257015773106,0.22427000307595196,0.010276290004489241,0.010276290004489241,0.0,0.0,1,0.3506152212955492,0.3506152212955492,unknown,14.0,2.797767072637938e-17,-0.009638227888626252,-0.009638227888626281,4.156735240155551e-16,4.921746698663541e-13,1.0,1.0,0.0
5,1.0158131122589111,-1.3614463769759315,0.010471429513481532,2.0331448516835308e-05,2.0331448516835308e-05,0.0,0.0,1,0.34507644808673704,0.34507644808673704,unknown,14.0,2.5289061503044428e-17,-2.0677665861332728e-05,-2.0677665861357912e-05,2.448896174656909e-16,9.09537621454908e-13,1.0,1.0,0.0
6,1.079984188079834,-1.3614463769761858,1.1750205757449542e-06,2.689667899390672e-12,2.689667899278494e-12,0.0,0.0,1,0.3450571723677949,0.3450571723677949,unknown,14.0,2.5767152908694915e-17,-2.536266514660302e-13,-2.5365241862650206e-13,1.5278284875287929e-16,2.5534496825646463e-12,1.0,1.0,0.0
7,1.1443850994110107,-1.3614463769761858,0.0,5.713380345237701e-13,5.713380339956767e-13,0.0,0.0,1,0.3450571723653591,0.3450571723653591,unknown,14.0,2.5767101531575074e-17,-5.398250145092036e-23,-2.5767155514126415e-17,3.2562538442368625e-16,6.079748546673118e-13,0.81,1.0,2.0
8,1.209050178527832,-1.3614463769761858,0.0,6.466631242065446e-13,6.466631237399655e-13,0.0,0.0,1,0.3450571723656468,0.3450571723656468,unknown,14.0,2.576710151620396e-17,-1.0179604012479561e-23,-2.576711169582916e-17,1.807231822183866e-16,6.982873351626548e-13,0.9,1.0,1.0
9,1.2734270095825195,-1.3614463769761858,0.0,3.6465868164920616e-13,3.646586808218035e-13,0.0,0.0,1,0.3450571723651539,0.3450571723651539,unknown,14.0,2.5767101518263067e-17,-1.0391587867820447e-24,-2.5767102557432025e-17,4.664298735060853e-16,4.080879659611142e-13,0.81,1.0,2.0
