iteration,time,cost,distance,residual,gradnorm,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,stepsize,linesearch_status,linesearch_counter
0,0.0,-0.4120780633195592,0.0,1.578655496227649,1.5779858209422848,0,0.0,1,,0.24339282664821868,,,,,,,,,,
1,2.7074880599975586,-0.957657268647667,1.2830186587670636,2.4498417598502744,2.4498417598502726,0,0.0,1,0.8198376338976059,0.8198376338976059,optimal,8.0,4.945967941054559e-07,-2.4741601306222805,-2.474160625219075,1.9452560484868617e-15,9.846513589242984e-13,1.0,1.0,0.0
2,5.3584582805633545,-1.2441905779029505,0.9872999733761385,0.7271279116575649,0.7270780189090944,0,0.0,1,0.44314974749381614,0.44314974749381614,optimal,9.0,4.585084475613163e-08,-0.7992440679047365,-0.7992441137555812,1.841440429894858e-15,1.8873073982506274e-12,0.7290000000000001,1.0,3.0
3,7.839531183242798,-1.3330707841365506,0.4937627819369679,0.10475510640901528,0.10475510640901062,0,0.0,1,0.2670371290968704,0.2670371290968704,optimal,10.0,4.272365802360422e-08,-0.10846470551870653,-0.10846474824236457,6.575333864138219e-16,7.569470490935635e-13,1.0,1.0,0.0
4,10.350817203521729,-1.335395998056939,0.07176442360327483,0.0014314719403520073,0.00143147194032269,0,0.0,1,0.2440322664210366,0.2440322664210366,optimal,10.0,1.242491810098148e-08,-0.002337230219037662,-0.002337242643955764,5.135113931777866e-16,5.054450018630396e-13,1.0,1.0,0.0
5,12.714140176773071,-1.3353960663320357,0.00046651631006177215,5.989910240113647e-08,5.867352561964848e-08,0,0.0,1,0.2433936477540584,0.2433936477540584,optimal,10.0,1.611561530915217e-08,-6.827511001485531e-08,-8.439072532400445e-08,6.630089373082532e-16,5.189629719901692e-13,1.0,1.0,0.0
6,15.094801187515259,-1.3353960663320357,0.0,1.9589525234984108e-08,1.5441023985662055e-08,0,0.0,1,0.2433936224609747,0.2433936224609747,optimal,10.0,1.6140011415341743e-08,2.016818737038878e-11,-1.611984322797463e-08,5.625874480058521e-16,6.617467799794496e-13,2.6561398887587544e-05,1.0,100.0
7,17.459946155548096,-1.3353960663320361,0.0,1.958940533397273e-08,1.5440871527258956e-08,0,0.0,1,0.24339362246083812,0.24339362246083812,optimal,10.0,1.614001141858011e-08,2.0167655708430554e-11,-1.61198437628747e-08,4.463934287210045e-16,7.475096543571823e-13,4.429692754456193e-06,1.0,117.0
8,19.942119359970093,-1.3353960663320352,0.0,1.958942971061e-08,1.5440902875728773e-08,0,0.0,1,0.24339362246049348,0.24339362246049348,optimal,10.0,1.6140011417751387e-08,2.016756560947336e-11,-1.6119843852144617e-08,4.661353680435967e-16,7.337879427708148e-13,5.530460136598381e-19,0.0,400.0
9,22.491448163986206,-1.3353960663320357,0.0,1.958923998025058e-08,1.5440661868098382e-08,0,0.0,1,0.24339362246066004,0.24339362246066004,optimal,10.0,1.6140011419776646e-08,2.0167567837010182e-11,-1.6119843851940558e-08,5.557187478602278e-16,5.50562298236082e-13,1.1433811272836918e-05,1.0,108.0
10,24.91201901435852,-1.3353960663320357,0.0,1.9589265809121826e-08,1.544069462790158e-08,0,0.0,1,0.24339362246053267,0.24339362246053267,optimal,10.0,1.6140011415864965e-08,2.016733306526305e-11,-1.6119844082798587e-08,5.588410576259957e-16,5.72441088954025e-13,5.983858066120759e-07,1.0,136.0
11,27.306763172149658,-1.3353960663320357,0.0,1.9589280465497432e-08,1.544071316596285e-08,0,0.0,1,0.24339362246086,0.24339362246086,optimal,10.0,1.614001141542883e-08,2.0167320311980665e-11,-1.611984409512471e-08,6.161301726552976e-16,6.308034601543262e-13,3.986723479010574e-06,1.0,118.0
12,29.70892596244812,-1.3353960663320357,0.0,1.9589256484493462e-08,1.5440682741215917e-08,0,0.0,1,0.24339362246047458,0.24339362246047458,optimal,10.0,1.6140011415707536e-08,2.0167240250670522e-11,-1.6119844175456302e-08,5.938041695855233e-16,6.606504527217773e-13,4.295799664301754e-08,1.0,161.0
13,32.1795551776886,-1.3353960663320357,0.0,1.958920549325607e-08,1.5440618042339236e-08,0,0.0,1,0.24339362246022356,0.24339362246022356,optimal,10.0,1.614001141890789e-08,2.016724268468401e-11,-1.611984417621774e-08,6.541445459571988e-16,8.514869349120378e-13,5.385472259508683e-07,1.0,137.0
14,34.615302324295044,-1.3353960663320357,0.0,1.9589204798178264e-08,1.5440617160004146e-08,0,0.0,1,0.24339362246063403,0.24339362246063403,optimal,10.0,1.614001141867958e-08,2.016723156949894e-11,-1.6119844187111283e-08,4.998740536295411e-16,5.550507273098889e-13,3.479597728084421e-08,1.0,163.0
15,37.003443241119385,-1.3353960663320357,0.0,1.9589291730421112e-08,1.5440727448609174e-08,0,0.0,1,0.24339362246073437,0.24339362246073437,optimal,10.0,1.6140011413193654e-08,2.0167225007129842e-11,-1.6119844188185672e-08,5.573086592677961e-16,5.557724721810641e-13,1.6389353113923277e-09,1.0,192.0
16,39.61345314979553,-1.3353960663320357,0.0,1.9589137095215852e-08,1.5440531266319254e-08,0,0.0,1,0.24339362246074972,0.24339362246074972,optimal,10.0,1.614001142325402e-08,2.0167235743803243e-11,-1.6119844187511536e-08,4.2398642396479994e-16,5.876415882476401e-13,3.866219697871579e-08,1.0,162.0
17,42.015385150909424,-1.3353960663320357,0.0,1.9589200769389436e-08,1.5440612047365792e-08,0,0.0,1,0.24339362246085464,0.24339362246085464,optimal,10.0,1.6140011415994458e-08,2.0167227367460668e-11,-1.6119844188624468e-08,6.077567702648164e-16,5.04258506651425e-13,4.7731107381130604e-08,1.0,160.0
18,44.58125114440918,-1.3353960663320357,0.0,1.9589324517984058e-08,1.5440769044038363e-08,0,0.0,1,0.2433936224607045,0.2433936224607045,optimal,10.0,1.6140011413205956e-08,2.01672230709789e-11,-1.6119844190132408e-08,5.233604590390191e-16,5.17013357931784e-13,7.960203505214115e-09,1.0,177.0
19,46.993866205215454,-1.3353960663320357,0.0,1.9589225371244108e-08,1.5440643259189955e-08,0,0.0,1,0.24339362246090082,0.24339362246090082,optimal,10.0,1.6140011417333968e-08,2.0167227580689212e-11,-1.6119844189753775e-08,5.48985699607539e-16,6.298248364499593e-13,7.055079108655365e-10,1.0,200.0
20,49.54639530181885,-1.3353960663320357,0.0,1.9589228387578207e-08,1.5440647086078627e-08,0,0.0,1,0.2433936224607573,0.2433936224607573,optimal,10.0,1.6140011418894176e-08,2.0167229249801653e-11,-1.6119844189646916e-08,6.392266504343679e-16,4.813644406342098e-13,1.158669982751064e-11,1.0,239.0
21,51.86277198791504,-1.3353960663320357,0.0,1.958913467344641e-08,1.5440528193228098e-08,0,0.0,1,0.2433936224609748,0.2433936224609748,optimal,10.0,1.6140011425444325e-08,2.016723617228812e-11,-1.61198441892745e-08,5.511502103324282e-16,5.906448612561506e-13,1.0269220358221518e-12,1.0,262.0
22,54.26828598976135,-1.3353960663320357,0.0,1.9589207998129362e-08,1.5440621218293464e-08,0,0.0,1,0.24339362246090301,0.24339362246090301,optimal,10.0,1.6140011416629875e-08,2.0167227080570954e-11,-1.6119844189551837e-08,5.209274621289042e-16,5.131869427021153e-13,5.971524630568464e-14,1.0,289.0
23,56.770445108413696,-1.3353960663320357,0.0,1.9589196086730864e-08,1.544060610659689e-08,0,0.0,1,0.24339362246079252,0.24339362246079252,optimal,10.0,1.6140011418231075e-08,2.0167228590329563e-11,-1.6119844189639174e-08,4.1874658955772935e-16,4.911286721790731e-13,5.971524630568464e-14,1.0,289.0
24,59.22553324699402,-1.3353960663320357,0.0,1.9589225700982934e-08,1.5440643677560413e-08,0,0.0,1,0.24339362246083843,0.24339362246083843,optimal,10.0,1.614001141843174e-08,2.0167228518319316e-11,-1.611984418991599e-08,7.412348167787325e-16,4.215851873767674e-13,5.971524630568464e-14,1.0,289.0
25,61.6509792804718,-1.3353960663320357,0.0,1.9589317926719636e-08,1.5440760681751675e-08,0,0.0,1,0.2433936224607967,0.2433936224607967,optimal,10.0,1.6140011411861546e-08,2.016722145195661e-11,-1.6119844190410444e-08,5.228012796939049e-16,5.913613108826646e-13,5.971524630568464e-14,1.0,289.0
