iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,second_order_residual,condition_number,rho,maxabsLagmult
0,0.0,50000011.0,0.0,20000003.000001,20000003.000000924,1.7497142623868622,0.0,0,0,0.0,-19999999.000000898,-1.6180342196515634,1.0,1.0
1,0.3926656246185303,40000011.82421582,1.5465767693734982,611.9109208353836,611.9109190587185,0.04662962238068506,0.0,0,0,0.0,-6164.738987280551,-3323.1241654569512,1.0,0.9900191644587202
2,0.7688407897949219,40000011.46394256,0.003043084961028791,92.20365920255335,92.20364883213715,0.043730773330407355,0.0,0,0,0.0,-4638.596842065726,-4403.697791893981,1.0,0.9800378377189699
3,1.1464667320251465,40000010.991548784,0.015597955953380033,4.739361296818096,4.739226882987778,0.035693883835285094,0.0,0,0,0.0,-323.69691484396236,-62177.8447063106,1.0,0.9700554937698608
4,1.383005142211914,40000010.99131689,8.693250599974751e-05,13.230922850479095,13.23087569049914,0.035326164365696515,0.0,0,0,0.0,-331.7520294120088,-60673.50135949898,3.3333333333333335,0.9600731473217997
5,1.4043726921081543,40000010.99130604,4.025685970748133e-06,13.20678878007234,13.206745134611586,0.03395336298325883,0.0,0,0,0.0,-364.37415794883435,-55240.932672033705,11.111111111111112,0.9267986590758417
6,1.7806987762451172,40000010.99096895,0.00012252335702056503,8.221507118944334,8.22145442982328,0.02943408214146224,0.0,0,0,0.0,-658.6602472019497,-30563.542062742603,37.037037037037045,0.8158837045668358
7,2.170895576477051,40000010.99067895,0.00010341038383318099,6.3417226683236745,6.34170548270699,0.014763892930144523,0.0,0,0,0.0,-482.79544961761036,-41699.72387778042,123.45679012345683,0.44616727158920966
8,2.3564200401306152,40000010.990516216,5.767223736183775e-05,8.304495941881981,8.304495941881981,0.0,0.0,0,0,0.0,-461.42803302357834,-43632.55259149532,123.45679012345683,0.0
9,2.491185426712036,40000010.9904041,3.976152821004848e-05,9.524438563235663,9.524438563235663,0.0,0.0,0,0,0.0,-504.67833160923067,-39894.82850615373,123.45679012345683,0.0
10,2.5852243900299072,40000010.99032301,2.843149756193461e-05,8.449400749992606,8.449400749992606,0.0,0.0,0,0,0.0,-445.28052474793105,-45217.1744637525,123.45679012345683,0.0
11,2.619666337966919,40000010.99029645,9.46750409818587e-06,8.87798352475451,8.87798352475451,0.0,0.0,0,0,0.0,-382.2883615335457,-52668.49325239508,123.45679012345683,0.0
12,2.8838586807250977,40000010.99002063,9.759671005248521e-05,10.848049594479997,10.848049594479997,0.0,0.0,0,0,0.0,-649.851200280529,-30985.56431385165,123.45679012345683,0.0
13,3.1501340866088867,40000010.98973074,0.00010126179562047267,4.6478947250342415,4.6478947250342415,0.0,0.0,0,0,0.0,-630.6877549672437,-31929.422126097706,123.45679012345683,0.0
14,3.39044451713562,40000010.989526734,7.234193785797015e-05,8.94375863458055,8.94375863458055,0.0,0.0,0,0,0.0,-530.8008823466266,-37940.046050307414,123.45679012345683,0.0
15,3.6559109687805176,40000010.98925602,9.474213601374169e-05,5.2154856458652965,5.2154856458652965,0.0,0.0,0,0,0.0,-438.01882610046147,-45979.72706360371,123.45679012345683,0.0
16,3.9202003479003906,40000010.989019476,8.3156804224306e-05,5.624240390837427,5.624240390837427,0.0,0.0,0,0,0.0,-633.3795600166428,-31799.811235863202,123.45679012345683,0.0
17,4.187837600708008,40000010.98876759,8.836506065410023e-05,5.362950677293705,5.362950677293705,0.0,0.0,0,0,0.0,-286.5402605283753,-70295.32241059917,123.45679012345683,0.0
18,4.454396486282349,40000010.988508336,9.09920566917737e-05,6.565361218008385,6.565361218008385,0.0,0.0,0,0,0.0,-464.3756247530261,-43378.94906889498,123.45679012345683,0.0
19,4.720306634902954,40000010.98828268,7.909861863716487e-05,7.330415178817345,7.330415178817345,0.0,0.0,0,0,0.0,-345.11194438068213,-58372.549530713295,123.45679012345683,0.0
20,4.982362508773804,40000010.98802776,8.901478765881241e-05,6.390123396995911,6.390123396995911,0.0,0.0,0,0,0.0,-318.5212851924771,-63250.32325614923,123.45679012345683,0.0
21,5.24765944480896,40000010.98778721,8.371739320475903e-05,3.329909346528363,3.329909346528363,0.0,0.0,0,0,0.0,-542.3135950632304,-37151.66824679695,123.45679012345683,0.0
22,5.521634817123413,40000010.987502,9.950750663722143e-05,4.706705808464764,4.706705808464764,0.0,0.0,0,0,0.0,-253.97268101450194,-79335.6068862656,123.45679012345683,0.0
23,5.87030291557312,40000010.98727672,7.832007515641863e-05,3.280086727112907,3.280086727112907,0.0,0.0,0,0,0.0,-420.53307899395696,-47916.21432371193,123.45679012345683,0.0
24,6.09946346282959,40000010.98703719,8.375231686271684e-05,8.584454185916531,8.584454185916531,0.0,0.0,0,0,0.0,-491.3083222941218,-41016.553715291666,123.45679012345683,0.0
25,6.203904390335083,40000010.98691762,4.149886713657405e-05,8.626443551559639,8.626443551559639,0.0,0.0,0,0,0.0,-381.84885509578856,-52775.34115413644,123.45679012345683,0.0
