iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,second_order_residual,condition_number,rho,maxabsLagmult
26,6.4799535274505615,40000010.98665136,9.171085357924369e-05,3.0573999172805717,3.0573999172805717,0.0,0.0,0,0,0.0,-426.4139478270026,-47262.55341433011,123.45679012345683,0.0
27,6.754606485366821,40000010.98640693,8.582006559279973e-05,12.634676933228583,12.634676933228583,0.0,0.0,0,0,0.0,-161.28736638884777,-124961.84375491705,123.45679012345683,0.0
28,6.85358190536499,40000010.98630143,3.569731705143835e-05,8.642209949365935,8.642209949365935,0.0,0.0,0,0,0.0,-440.1219239978939,-45794.47581429443,123.45679012345683,0.0
29,7.129472732543945,40000010.98605816,8.343195418162418e-05,4.208622296617538,4.208622296617538,0.0,0.0,0,0,0.0,-613.5739108929434,-32850.894742241144,123.45679012345683,0.0
30,7.4051477909088135,40000010.98577354,9.82585123071667e-05,7.319289891634494,7.319289891634494,0.0,0.0,0,0,0.0,-540.0835326754484,-37324.079020959834,123.45679012345683,0.0
31,7.667546987533569,40000010.98552978,8.359775876100397e-05,6.543203532599807,6.543203532599807,0.0,0.0,0,0,0.0,-331.9156348182975,-60735.77295483455,123.45679012345683,0.0
32,7.930315971374512,40000010.985320635,7.142565997129532e-05,3.8574428019773213,3.8574428019773213,0.0,0.0,0,0,0.0,-299.7513044511627,-67255.51972286566,123.45679012345683,0.0
33,7.945767402648926,40000010.98531394,2.928372012263913e-06,9.139716313328814,9.139716313328814,0.0,0.0,0,0,0.0,-354.44488592839167,-56878.466143474696,123.45679012345683,0.0
34,7.964884042739868,40000010.985295095,6.452099554818317e-06,8.852050614540307,8.852050614540307,0.0,0.0,0,0,0.0,-392.7949434639909,-51325.06484950104,123.45679012345683,0.0
35,8.000683307647705,40000010.985266,9.934292483631725e-06,8.68001764117447,8.68001764117447,0.0,0.0,0,0,0.0,-223.9714197643263,-90013.12911162457,123.45679012345683,0.0
36,8.221199750900269,40000010.98508039,6.355901617364198e-05,9.304706831907925,9.304706831907925,0.0,0.0,0,0,0.0,-526.6091517639389,-38285.03864678275,123.45679012345683,0.0
37,8.488715410232544,40000010.9848361,8.274795809409827e-05,3.845453086873812,3.845453086873812,0.0,0.0,0,0,0.0,-307.90940812302296,-65481.371271059725,123.45679012345683,0.0
38,8.682722806930542,40000010.98469143,4.986504107944165e-05,9.130852495516379,9.130852495516379,0.0,0.0,0,0,0.0,-303.9176706906415,-66344.28265811146,123.45679012345683,0.0
39,8.879592895507812,40000010.98453523,5.310929590833191e-05,9.090355935474186,9.090355935474186,0.0,0.0,0,0,0.0,-513.4938012882814,-39268.44872441614,123.45679012345683,0.0
40,9.213371753692627,40000010.984333456,6.844719406186585e-05,8.561515098563289,8.561515098563289,0.0,0.0,0,0,0.0,-437.5802326243905,-46082.655172248706,123.45679012345683,0.0
41,9.497331380844116,40000010.984128565,6.920238515479165e-05,6.94318062404922,6.94318062404922,0.0,0.0,0,0,0.0,-434.4251859164041,-46419.39796908852,123.45679012345683,0.0
42,9.52817153930664,40000010.984100744,1.0723660797117734e-05,14.081031781642299,14.081031781642299,0.0,0.0,0,0,0.0,-234.35880884963876,-86048.15359205577,123.45679012345683,0.0
43,9.806721448898315,40000010.98379802,0.00010076476575784912,4.035427356303462,4.035427356303462,0.0,0.0,0,0,0.0,-201.8224281542427,-99926.47240323939,123.45679012345683,0.0
44,10.138567686080933,40000010.983489275,0.00010441420160032035,8.061499705443264,8.061499705443264,0.0,0.0,0,0,0.0,-505.758162103657,-39878.79789395561,123.45679012345683,0.0
45,10.427014827728271,40000010.98323511,8.499316820968222e-05,4.640730544828591,4.640730544828591,0.0,0.0,0,0,0.0,-271.9165334068677,-74177.69731542598,123.45679012345683,0.0
46,10.701562643051147,40000010.98297783,8.647874105381928e-05,7.634628466497765,7.634628466497765,0.0,0.0,0,0,0.0,-233.3900238611479,-86427.04299596506,123.45679012345683,0.0
47,10.984705686569214,40000010.98269935,9.278718921170935e-05,5.248132281483513,5.248132281483513,0.0,0.0,0,0,0.0,-317.81078132560515,-63473.092726785486,123.45679012345683,0.0
48,11.099897861480713,40000010.98260764,3.101965101659773e-05,9.10331787316418,9.10331787316418,0.0,0.0,0,0,0.0,-428.52022542448634,-47075.926835796636,123.45679012345683,0.0
49,11.376863718032837,40000010.98239629,6.974304598959459e-05,3.0846311847975363,3.0846311847975363,0.0,0.0,0,0,0.0,-394.1517247719815,-51183.69610675175,123.45679012345683,0.0
50,11.656320095062256,40000010.982089184,0.00010325439105130718,13.020949617924883,13.020949617924883,0.0,0.0,0,0,0.0,-365.35025599460494,-55221.840943050716,123.45679012345683,0.0
51,11.927864074707031,40000010.98179801,9.549452490459221e-05,8.198388939222061,8.198388939222061,0.0,0.0,0,0,0.0,-213.23508335014748,-94621.4872722627,123.45679012345683,0.0
52,12.166670799255371,40000010.981576666,7.343427399263437e-05,10.751347053436058,10.751347053436058,0.0,0.0,0,0,0.0,-199.47497147241072,-101153.8896063737,123.45679012345683,0.0
53,12.440938949584961,40000010.98131666,8.49485833555782e-05,6.133225206894328,6.133225206894328,0.0,0.0,0,0,0.0,-304.8409434647096,-66194.51418192394,123.45679012345683,0.0
54,12.706475019454956,40000010.98100491,0.0001031619744630933,12.095669668139905,12.095669668139905,0.0,0.0,0,0,0.0,-338.3846005133789,-59637.27263177306,123.45679012345683,0.0
55,12.994120359420776,40000010.98071247,9.59391484278075e-05,13.433377303511023,13.433377303511023,0.0,0.0,0,0,0.0,-303.5687230562942,-66481.00859114948,123.45679012345683,0.0
56,13.26684045791626,40000010.98036945,0.0001105623053301482,5.0866663139217,5.0866663139217,0.0,0.0,0,0,0.0,-176.1760202325942,-114561.98490788753,123.45679012345683,0.0
57,13.534465551376343,40000010.98007522,9.555861983368169e-05,4.741982667308632,4.741982667308632,0.0,0.0,0,0,0.0,-219.7120676451769,-91866.67500758858,123.45679012345683,0.0
58,13.799461603164673,40000010.97978149,9.509505693961423e-05,3.8868087442013852,3.8868087442013852,0.0,0.0,0,0,0.0,-303.58234047696294,-66491.65445649633,123.45679012345683,0.0
59,14.057613611221313,40000010.97954436,7.720060948156322e-05,9.454331183093494,9.454331183093494,0.0,0.0,0,0,0.0,-151.384422671021,-133345.81923921904,123.45679012345683,0.0
60,14.225015640258789,40000010.97938931,5.084592599444159e-05,13.935919607611835,13.935919607611835,0.0,0.0,0,0,0.0,-239.53973568226652,-84275.02883657499,123.45679012345683,0.0
61,14.489897012710571,40000010.97909236,9.405047999991477e-05,3.2192877217185845,3.2192877217185845,0.0,0.0,0,0,0.0,-145.30391671013658,-138940.9622069007,123.45679012345683,0.0
62,14.753729820251465,40000010.97880337,9.293898797077137e-05,6.100953345626564,6.100953345626564,0.0,0.0,0,0,0.0,-239.59736931852865,-84266.45978906246,123.45679012345683,0.0
63,15.017945289611816,40000010.97851353,9.271522135913035e-05,5.982620032539228,5.982620032539228,0.0,0.0,0,0,0.0,-273.7973999146021,-73744.99096917636,123.45679012345683,0.0
64,15.160861253738403,40000010.97829333,7.070119078112819e-05,9.498663752604383,9.498663752604383,0.0,0.0,0,0,0.0,-292.3410512413374,-69070.30505648533,123.45679012345683,0.0
65,15.4237802028656,40000010.977928005,0.00011567506736650676,3.1731923834444173,3.1731923834444173,0.0,0.0,0,0,0.0,-124.75934045055628,-161860.4846198806,123.45679012345683,0.0
66,15.686182498931885,40000010.97762908,9.495533795426212e-05,4.29129291993898,4.29129291993898,0.0,0.0,0,0,0.0,-211.4159651026383,-95521.20215567609,123.45679012345683,0.0
67,15.70206618309021,40000010.97759187,1.363492076703494e-05,15.879427670575648,15.879427670575648,0.0,0.0,0,0,0.0,-120.27706246566295,-167902.13049733837,123.45679012345683,0.0
68,15.98089599609375,40000010.97725084,0.00010609331467581465,3.9509543324553884,3.9509543324553884,0.0,0.0,0,0,0.0,-104.42866624397664,-193398.68821764234,123.45679012345683,0.0
69,16.20210075378418,40000010.97703051,7.012524139284981e-05,9.421986388919583,9.421986388919583,0.0,0.0,0,0,0.0,-218.00409033550682,-92646.39319919211,123.45679012345683,0.0
70,16.239638805389404,40000010.97700798,7.110539964462045e-06,9.447963873339834,9.447963873339834,0.0,0.0,0,0,0.0,-155.49928140836465,-129887.37838834284,123.45679012345683,0.0
71,16.27123785018921,40000010.97698373,7.744576595141193e-06,9.770105116846407,9.770105116846407,0.0,0.0,0,0,0.0,-219.78556003743043,-91896.38627304998,123.45679012345683,0.0
72,16.550153732299805,40000010.97670294,8.785639091560531e-05,4.268522285198727,4.268522285198727,0.0,0.0,0,0,0.0,-223.3464139788445,-90435.78823797757,123.45679012345683,0.0
73,16.823105812072754,40000010.97639366,9.738638596700036e-05,6.17930790670276,6.17930790670276,0.0,0.0,0,0,0.0,-108.12629742674214,-186817.30877525147,123.45679012345683,0.0
74,17.06511402130127,40000010.97611146,8.900029860083353e-05,9.99800406941552,9.99800406941552,0.0,0.0,0,0,0.0,-132.9321984726285,-151964.2503875956,123.45679012345683,0.0
75,17.17359972000122,40000010.97601372,3.063281182350861e-05,9.992562228097952,9.992562228097952,0.0,0.0,0,0,0.0,-269.6197808814388,-74926.31446350193,123.45679012345683,0.0
76,17.436742782592773,40000010.975705005,9.65099873450531e-05,9.453180595093176,9.453180595093176,0.0,0.0,0,0,0.0,-73.45375320515684,-275038.44012648234,123.45679012345683,0.0
77,17.705549001693726,40000010.975353554,0.00010927106956072863,5.482364683234394,5.482364683234394,0.0,0.0,0,0,0.0,-25.099810057713626,-804949.8799072673,123.45679012345683,0.0
78,17.983778715133667,40000010.97508029,8.523329390107965e-05,6.1292156296314575,6.1292156296314575,0.0,0.0,0,0,0.0,-119.69804141670724,-168801.3160036652,123.45679012345683,0.0
79,18.250524044036865,40000010.97467798,0.00012534163539716317,7.755068130961691,7.755068130961691,0.0,0.0,0,0,0.0,-26.92191360783633,-750576.0867141054,123.45679012345683,0.0
80,18.515413761138916,40000010.97434798,0.00010222606356356783,5.0625142839584925,5.0625142839584925,0.0,0.0,0,0,0.0,-78.81564699307907,-256399.51106793436,123.45679012345683,0.0
81,18.777398824691772,40000010.97404793,9.359155531988745e-05,9.786636265408555,9.786636265408555,0.0,0.0,0,0,0.0,-12.855165769603682,-1572088.644626917,123.45679012345683,0.0
82,19.038450956344604,40000010.97371945,0.00010114493426352308,3.9069669574768433,3.9069669574768433,0.0,0.0,0,0,0.0,-8.631763919903618,-2341448.8599436684,123.45679012345683,0.0
83,19.30269479751587,40000010.973366305,0.00010968751135938587,8.318717934604486,8.318717934604486,0.0,0.0,0,0,0.0,-121.59733129967375,-166223.4471915068,123.45679012345683,0.0
84,19.58565378189087,40000010.97299575,0.00011427913965418344,6.109110241651328,6.109110241651328,0.0,0.0,0,0,0.0,-107.50988681630538,-188017.7469839156,123.45679012345683,0.0
85,19.869991302490234,40000010.972658224,0.00010454075711020871,8.779936756749708,8.779936756749708,0.0,0.0,0,0,0.0,-97.48509674397536,-207366.37983167087,123.45679012345683,0.0
86,19.890723943710327,40000010.97264343,5.1668796090855246e-06,11.984486668780324,11.984486668780324,0.0,0.0,0,0,0.0,-70.55530840833865,-286517.9559494944,123.45679012345683,0.0
87,20.0635666847229,40000010.97244822,6.003621998483051e-05,10.691203011662452,10.691203011662452,0.0,0.0,0,0,0.0,-90.177534669673,-224179.77605307242,123.45679012345683,0.0
88,20.260015964508057,40000010.97226331,5.698597599034748e-05,10.223629341290023,10.223629341290023,0.0,0.0,0,0,0.0,-109.93390817467655,-183899.73329849573,123.45679012345683,0.0
89,20.516149520874023,40000010.97197102,9.020129521964026e-05,10.408926085775082,10.408926085775082,0.0,0.0,0,0,0.0,-30.067151865875346,-672431.8417825315,123.45679012345683,0.0
90,20.79325294494629,40000010.97162056,0.00010872784389299484,13.847731627597515,13.847731627597515,0.0,0.0,0,0,0.0,-11.600988504428686,-1742908.043628685,123.45679012345683,0.0
91,21.031755924224854,40000010.971339785,8.589579041974936e-05,9.969938996366801,9.969938996366801,0.0,0.0,0,0,0.0,-94.23188713864015,-214584.78598705682,123.45679012345683,0.0
92,21.20554828643799,40000010.97116891,5.2687374795295316e-05,9.889048138238447,9.889048138238447,0.0,0.0,0,0,0.0,-120.57719544449341,-167705.28546901047,123.45679012345683,0.0
93,21.27967858314514,40000010.971059285,3.380933589032219e-05,9.671876587735486,9.671876587735486,0.0,0.0,0,0,0.0,-122.39460867141366,-165217.9785186496,123.45679012345683,0.0
94,21.545777320861816,40000010.97069635,0.00011171378191040152,7.852431451996184,7.852431451996184,0.0,0.0,0,0,0.0,-84.12259045494491,-240403.30049201223,123.45679012345683,0.0
95,21.781053066253662,40000010.970435016,8.100401021541078e-05,10.317593231619563,10.317593231619563,0.0,0.0,0,0,0.0,27.436932116127863,737118.9588332714,123.45679012345683,0.0
96,22.048664808273315,40000010.97006051,0.00011529258185725677,7.730862095524208,7.730862095524208,0.0,0.0,0,0,0.0,-86.80399466681158,-233007.14347572127,123.45679012345683,0.0
97,22.314395427703857,40000010.96977821,8.69852958799028e-05,5.005573275872775,5.005573275872775,0.0,0.0,0,0,0.0,-31.765006504087978,-636772.504539414,123.45679012345683,0.0
98,22.60132145881653,40000010.96947273,9.452402763698231e-05,5.732647065144291,5.732647065144291,0.0,0.0,0,0,0.0,-47.80664590294137,-423130.7520178101,123.45679012345683,0.0
99,22.89073395729065,40000010.96916783,9.455711804839082e-05,7.323790939308513,7.323790939308513,0.0,0.0,0,0,0.0,-65.7693689166943,-307586.39164768206,123.45679012345683,0.0
100,23.173244953155518,40000010.96887407,9.078777130371015e-05,4.348506520623639,4.348506520623639,0.0,0.0,0,0,0.0,-62.9186949055102,-321542.6450137247,123.45679012345683,0.0
101,23.292328119277954,40000010.96874998,3.9086992764566096e-05,9.880323924001015,9.880323924001015,0.0,0.0,0,0,0.0,-7.995790239813438,-2530255.715184856,123.45679012345683,0.0
102,23.566041231155396,40000010.968433075,9.845660331235269e-05,10.241292719078473,10.241292719078473,0.0,0.0,0,0,0.0,-31.621275267606084,-639848.5031749377,123.45679012345683,0.0
103,23.836104154586792,40000010.96816607,8.252545456436014e-05,6.41959173683863,6.41959173683863,0.0,0.0,0,0,0.0,-65.25994152982972,-310052.37688744406,123.45679012345683,0.0
104,24.052099466323853,40000010.96785512,9.728268823589477e-05,10.016249894484478,10.016249894484478,0.0,0.0,0,0,0.0,-50.91413408592605,-397440.127485917,123.45679012345683,0.0
105,24.202929973602295,40000010.967682086,5.394262133427687e-05,9.903652443239524,9.903652443239524,0.0,0.0,0,0,0.0,-84.8685346239389,-238441.47073853572,123.45679012345683,0.0
106,24.46715235710144,40000010.96737612,9.497278557352208e-05,4.89026592357676,4.89026592357676,0.0,0.0,0,0,0.0,37.5521943679228,538912.4887989439,123.45679012345683,0.0
107,24.740272283554077,40000010.967105575,8.460645887197955e-05,4.355950542794197,4.355950542794197,0.0,0.0,0,0,0.0,-64.45177872679228,-314012.00576375955,123.45679012345683,0.0
108,25.004584550857544,40000010.966819994,8.974949473470959e-05,7.133466709759414,7.133466709759414,0.0,0.0,0,0,0.0,-53.188748724341934,-380530.3434921725,123.45679012345683,0.0
109,25.27001667022705,40000010.966533646,8.97450549448234e-05,5.344745817844485,5.344745817844485,0.0,0.0,0,0,0.0,-42.908192168620914,-471734.26147374616,123.45679012345683,0.0
110,25.53391456604004,40000010.96621,0.00010192904350818414,5.754096059203469,5.754096059203469,0.0,0.0,0,0,0.0,-35.751010224299904,-566214.0630831767,123.45679012345683,0.0
111,25.63189387321472,40000010.96607769,4.2142043498841516e-05,9.44312476622301,9.44312476622301,0.0,0.0,0,0,0.0,-67.28884000210654,-300840.2047643041,123.45679012345683,0.0
112,25.894787788391113,40000010.96578802,9.109673868649337e-05,6.14943486706974,6.14943486706974,0.0,0.0,0,0,0.0,-43.57231731874763,-464620.6807185423,123.45679012345683,0.0
113,26.158011198043823,40000010.96543027,0.00011312323869526373,3.603311250040493,3.603311250040493,0.0,0.0,0,0,0.0,-41.84783226651181,-483805.1261307312,123.45679012345683,0.0
114,26.181137800216675,40000010.96539974,1.0340793915167495e-05,9.758354940686562,9.758354940686562,0.0,0.0,0,0,0.0,-53.80884608959456,-376264.7987248114,123.45679012345683,0.0
115,26.44429612159729,40000010.96505507,0.00010889807448241534,3.5436641503710806,3.5436641503710806,0.0,0.0,0,0,0.0,-13.067761042320912,-1549452.1205097032,123.45679012345683,0.0
116,26.517292976379395,40000010.96494648,3.5422100625559494e-05,10.970509400466195,10.970509400466195,0.0,0.0,0,0,0.0,-53.059384500150145,-381618.5898733653,123.45679012345683,0.0
117,26.780421257019043,40000010.96471511,7.305989491781586e-05,5.099646882471972,5.099646882471972,0.0,0.0,0,0,0.0,-22.525205260444853,-898972.0606404066,123.45679012345683,0.0
118,26.85465145111084,40000010.964635216,2.6165548027096526e-05,10.43557184765717,10.43557184765717,0.0,0.0,0,0,0.0,-2.98248651937207,-6789602.13571967,123.45679012345683,0.0
119,27.011571884155273,40000010.96448141,4.9187047046529e-05,10.294466966221206,10.294466966221206,0.0,0.0,0,0,0.0,-8.951147225869606,-2262348.666908839,123.45679012345683,0.0
120,27.275166511535645,40000010.964187644,9.370464269320507e-05,7.10986793257744,7.10986793257744,0.0,0.0,0,0,0.0,-24.402394085845966,-829921.4544467684,123.45679012345683,0.0
121,27.53822088241577,40000010.96390088,9.232227003937869e-05,8.298258286945794,8.298258286945794,0.0,0.0,0,0,0.0,-7.108963831983027,-2848990.7369312206,123.45679012345683,0.0
122,27.800880670547485,40000010.963648364,8.094531588429158e-05,3.758345623149344,3.758345623149344,0.0,0.0,0,0,0.0,-23.009605225569175,-880266.2077232222,123.45679012345683,0.0
123,28.062326431274414,40000010.96337723,8.779765568798874e-05,6.213788720926337,6.213788720926337,0.0,0.0,0,0,0.0,-28.00772349662387,-723227.1778838449,123.45679012345683,0.0
124,28.329695463180542,40000010.9630985,9.094042436275614e-05,10.633582507090647,10.633582507090647,0.0,0.0,0,0,0.0,-17.683795757759693,-1145528.408269361,123.45679012345683,0.0
125,28.442335605621338,40000010.96296796,4.2174664157406595e-05,9.198290563426966,9.198290563426966,0.0,0.0,0,0,0.0,-25.412243983148635,-797172.2177460713,123.45679012345683,0.0
126,28.61058259010315,40000010.962785445,5.947991262476961e-05,9.879315767496657,9.879315767496657,0.0,0.0,0,0,0.0,-25.695550119478305,-788418.5627333766,123.45679012345683,0.0
127,28.87388253211975,40000010.96240208,0.00012439741856898207,3.21452833795942,3.21452833795942,0.0,0.0,0,0,0.0,-10.419391824616604,-1944519.1770661392,123.45679012345683,0.0
128,28.888354063034058,40000010.96239118,4.262617742777092e-06,9.751916125778699,9.751916125778699,0.0,0.0,0,0,0.0,2.0930045013450496,9680244.864953216,123.45679012345683,0.0
129,29.14965534210205,40000010.962049626,0.00011134060000664145,4.971247267422861,4.971247267422861,0.0,0.0,0,0,0.0,0.27648001769993863,73287386.95676218,123.45679012345683,0.0
130,29.414384841918945,40000010.96174906,9.877304024664206e-05,4.393709634270819,4.393709634270819,0.0,0.0,0,0,0.0,-1.335077914875701,-15178153.548138417,123.45679012345683,0.0
131,29.424350023269653,40000010.96174481,2.0490044875313417e-06,9.362534745050963,9.362534745050963,0.0,0.0,0,0,0.0,-12.29411978443811,-1648272.7359820656,123.45679012345683,0.0
132,29.690475940704346,40000010.96150146,8.013904478712644e-05,8.565809046191468,8.565809046191468,0.0,0.0,0,0,0.0,-2.4411326881318605,-8301593.412882683,123.45679012345683,0.0
133,29.953962087631226,40000010.961222894,9.165735625242758e-05,3.8141568187506274,3.8141568187506274,0.0,0.0,0,0,0.0,4.9028862357713665,4133627.2550012306,123.45679012345683,0.0
134,30.219965934753418,40000010.96093788,9.561601065021648e-05,12.050861580129155,12.050861580129155,0.0,0.0,0,0,0.0,3.49174757319072,5804603.108989565,123.45679012345683,0.0
135,30.37987232208252,40000010.9607872,4.9855802658962065e-05,10.698413060622451,10.698413060622451,0.0,0.0,0,0,0.0,1.5463331570627157,13107777.825726721,123.45679012345683,0.0
136,30.58745288848877,40000010.96057197,7.180065726418229e-05,11.072338549575086,11.072338549575086,0.0,0.0,0,0,0.0,-8.855562189771032,-2288971.567270891,123.45679012345683,0.0
137,30.750274896621704,40000010.960417226,5.230297390736594e-05,14.135333407738479,14.135333407738479,0.0,0.0,0,0,0.0,-3.039303201875405,-6669603.039919467,123.45679012345683,0.0
138,30.89918875694275,40000010.96028409,4.35792834438941e-05,9.127787714441096,9.127787714441096,0.0,0.0,0,0,0.0,-1.915628357713055,-10582232.68504361,123.45679012345683,0.0
139,31.077943563461304,40000010.96009666,6.279153601354384e-05,9.21133917737224,9.21133917737224,0.0,0.0,0,0,0.0,-0.9661416610994451,-20983071.890626986,123.45679012345683,0.0
140,31.401471376419067,40000010.959876716,7.349092872610106e-05,6.5683445442031525,6.5683445442031525,0.0,0.0,0,0,0.0,2.5627216767185463,7911036.130045934,123.45679012345683,0.0
141,31.667022228240967,40000010.959583946,9.826300016626772e-05,3.114284476754847,3.114284476754847,0.0,0.0,0,0,0.0,0.9913695609796673,20451853.390573315,123.45679012345683,0.0
142,31.98948383331299,40000010.95931532,9.075319887462097e-05,4.600490305792289,4.600490305792289,0.0,0.0,0,0,0.0,-0.9261275482053066,-21894166.774465315,123.45679012345683,0.0
143,32.064961194992065,40000010.959254354,2.1245434760173203e-05,9.914523202311562,9.914523202311562,0.0,0.0,0,0,0.0,-1.5281562904728052,-13269018.4696177,123.45679012345683,0.0
144,32.12223029136658,40000010.95919552,1.9784573116502568e-05,9.076354511633195,9.076354511633195,0.0,0.0,0,0,0.0,2.3385812526041954,8670831.769097181,123.45679012345683,0.0
145,32.34737753868103,40000010.95891095,9.657602596630519e-05,9.931748019819862,9.931748019819862,0.0,0.0,0,0,0.0,-3.4937931427157056,-5804290.677782739,123.45679012345683,0.0
146,32.55695915222168,40000010.95863514,9.359392303375815e-05,9.049841308872207,9.049841308872207,0.0,0.0,0,0,0.0,-2.287315969547515,-8866501.973219939,123.45679012345683,0.0
147,32.82098841667175,40000010.958408564,7.684084411162333e-05,6.541252191111214,6.541252191111214,0.0,0.0,0,0,0.0,1.4714154249837876,13783821.820142975,123.45679012345683,0.0
148,33.0835394859314,40000010.958113916,0.0001003403555833909,3.0746131983075657,3.0746131983075657,0.0,0.0,0,0,0.0,-12.235882527505517,-1657694.091454736,123.45679012345683,0.0
149,33.34904646873474,40000010.957849294,9.079210630352742e-05,5.753877356487878,5.753877356487878,0.0,0.0,0,0,0.0,-10.438862800314674,-1943201.0980416152,123.45679012345683,0.0
150,33.614612102508545,40000010.95759694,8.648690441921671e-05,4.580340294321697,4.580340294321697,0.0,0.0,0,0,0.0,-0.1532643248549298,-132360816.195646,123.45679012345683,0.0
