iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,second_order_residual,condition_number,mu,num_inner,inner_status,TR_radius,dxtype,normdx,minxfeasi,minyfeasi,compl,mineigvalHw,ared/pred,radius_update,dual_clipping,maxabsLagmult
0,0.0,50000011.0,0.0,20000003.000001,20000003.000000924,1.7497142623868622,0.0,0,0,0.0,-19999999.000000898,-1.6180342196515631,0.1,,,,,,,,,,,,,1.0
1,0.020696640014648438,46215698.120961435,0.21321550982543147,15410872.093608366,15410872.09360836,0.3769053271613316,0.0,0,0,0.0,-15767926.214954231,-2.2539790091827046,0.1,1.0,successful,0.21650635094610965,tCG_EXCEEDED_TR,0.21650635094610965,0.00999998641333291,-11.650635094592669,2.68182460390104,,0.9800423495859591,expanded,True,10.0
1,0.04108095169067383,41742717.22167955,0.40863785509764505,6786189.937066062,6786189.937066052,0.3751813875577571,0.0,0,0,0.0,-8349148.585701648,-4.288396350946041,0.1,2.0,successful,0.4330127018922193,tCG_EXCEEDED_TR,0.4330127018922193,0.009999866919041667,0.020363200861685804,0.08840419057878326,,0.9789296821435638,expanded,True,10.000080123120142
1,0.06167459487915039,41742717.22167955,0.0,6786189.937066062,6786189.937066052,0.3751813875577571,0.0,0,0,0.0,-8349148.443779778,-4.288396392617234,0.1,3.0,primal_infeasible,0.8660254037844386,tCG_NEGATIVE_CURVATURE,0.8660254037816753,-0.08863947745891518,-608.2898165010458,339.00665227043186,,,,,10.000080123120142
1,0.08231067657470703,40669045.97124721,0.21321550982480744,3471835.3674057294,3471835.367405708,0.38801152616181617,0.0,0,0,0.0,-5173143.69499882,-6.473639109111586,0.1,4.0,successful,0.2165063509454188,tCG_EXCEEDED_TR,0.2165063509454188,0.009999738369775272,0.09900990099013678,0.009790395889060641,,1.0268642751717354,expanded,False,10.000247525473808
1,0.10421895980834961,40669045.97124721,0.0,3471835.3674057294,3471835.367405708,0.38801152616181617,0.0,0,0,0.0,-5173144.867165904,-6.473637138166076,0.1,5.0,primal_infeasible,0.4330127018908376,tCG_NEGATIVE_CURVATURE,0.4330127018919992,-0.036088236925467525,-258.44270209899685,76.44797061214749,,,,,10.000247525473808
1,0.12443375587463379,40363803.49103351,0.107833260105482,2240898.356104536,2240898.356104503,0.38605096597537625,0.0,0,0,0.0,-3814672.2634778894,-8.357567914539562,0.1,6.0,successful,0.1082531754729998,tCG_EXCEEDED_TR,0.1082531754729998,0.0099996607380276,0.09900990099017429,0.003455445540021535,,1.0154997200445934,expanded,False,10.000336088816612
1,0.14513707160949707,40071843.064860344,0.21321550982580825,682940.9524864899,682940.9524863822,0.38350652675145563,0.0,0,0,0.0,-1695082.3215544077,-16.6056858355297,0.1,7.0,successful,0.2165063509459996,tCG_EXCEEDED_TR,0.21650635094599963,0.009999549402236666,0.09900990099031144,0.01189658387121808,,1.1629337299051024,expanded,False,10.000444984753228
1,0.1740100383758545,40013782.94449633,0.1413911566705986,200323.4899772941,200323.48997692642,0.3838195097400142,0.0,0,0,0.0,-742256.272507755,-34.26510477835781,0.1,8.0,successful,0.4330127018919992,tCG_REACHED_TARGET_LINEAR,0.14234095766238536,0.009994659487001602,0.09900990099419675,0.01324927597746724,,1.1945233956899697,unchanged,False,10.00524094914589
1,0.2035057544708252,40002696.97435139,0.09198716494082226,59103.04520488194,59103.0452036347,0.38396947523666825,0.0,0,0,0.0,-327798.95195277093,-72.05202125004612,0.1,9.0,successful,0.4330127018919992,tCG_REACHED_TARGET_LINEAR,0.09224750015246165,0.009995606718412334,0.09900990102923111,0.013287821993588475,,1.199819868720199,unchanged,False,10.00458575607821
1,0.2321465015411377,40000538.52376889,0.06068981629346105,17479.46962634559,17479.469622124823,0.3841270054902372,0.0,0,0,0.0,-145318.04400352266,-154.21979556302156,0.1,10.0,successful,0.4330127018919992,tCG_REACHED_TARGET_LINEAR,0.06076443820279046,0.009994026495656472,0.09900990107920772,0.012874045693677947,,1.2020050926296262,unchanged,False,10.006294221761209
