iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,second_order_residual,condition_number,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,normdx,stepsize,df0,linesearch_status,linesearch_counter
0,0.0,50000011.0,0.0,20000003.000001,20000003.000000924,1.7497142623868622,0.0,0,0,0.0,-19999999.00000091,-1.618034219651562,1.0,,1.0,,,,,,,,,,,,
1,0.043793678283691406,40000011.130073436,2.221256347074197,2282.261479900241,2282.2614798793206,0.009771863019507573,0.0,0,0,0.0,-1630.0536708674842,-12271.300100185326,1.0,0.9772844327242676,0.9772844327242676,optimal,22.0,1.7126892041421665e-08,-10006910.97823285,-10006910.978232866,6.475803571624245e-13,6.15219327384798e-13,11755.738271834425,1.0,20013821.997033857,1.0,0.0
2,0.08578658103942871,40000011.076035015,0.013767526980929036,930.1245209773574,930.1245208352088,0.016261355008322646,0.0,0,0,0.0,-253.5285334117894,-79107.86278598725,3.1832835689893155,2.6832835689893155,2.6832835689893155,optimal,9.0,2.5241641360958765e-14,-0.17363911668133789,-0.17363911668136306,2.500053117066109e-16,1.492782036226085e-14,0.035538558935519604,0.38742048900000015,0.29419004939220283,1.0,9.0
3,0.12833881378173828,40000010.407696694,1.1654210564379557,663.6982004309064,663.6974989372375,0.9649661544556546,0.0,0,0,0.0,-257.12029810880256,-154602.6389485216,152.89440019649598,152.39440019649598,152.39440019649598,unknown,15.0,8.561476679491701e-16,-5.274115744231785,-5.274115744231821,3.725401543221112e-16,2.9504944783730822e-12,3.19546071258671,0.7290000000000001,3.286884981392079,1.0,3.0
4,0.17039942741394043,40000010.12100835,0.39483020965052323,3719.166398020593,3719.166392333355,0.20567832251354035,0.0,0,0,0.0,-2777.6739308576643,-14302.807654551038,152.89440019649598,38.62460164724762,38.62460164724762,unknown,12.0,3.2910579551676312e-15,-2.668165010061007,-2.6681650100610104,4.845589759194086e-16,7.983726865957234e-12,2.4986984398561765,0.16677181699666577,4.849717647635406,1.0,17.0
5,0.21283793449401855,40000010.00929003,0.12443737749384308,2126.0168694384224,2126.016868316353,0.0690729986195146,0.0,0,0,0.0,-1515.8422554337733,-26388.221664559103,152.89440019649598,4.980510342445871,4.980510342445871,optimal,11.0,1.1863554419033185e-14,-0.46426849836193845,-0.4642684983619503,1.4594459128140186e-16,1.040530367861031e-13,0.6750208889087952,0.1853020188851842,0.6917764647735037,1.0,16.0
6,0.2549765110015869,40000009.98140893,0.13947237897820805,966.8778092782549,966.8770141750747,1.239973632693724,0.0,0,0,0.0,-4421.568530622286,-9012.659632727606,152.89440019649598,3.7242228009492133,3.7242228009492133,optimal,10.0,2.8062029487248443e-13,-1.658071587934065,-1.6580715879343455,3.355649511054717e-16,4.4294938101282983e-13,1.425545663525727,0.0984770902183612,0.4788730666367816,1.0,22.0
7,0.29890918731689453,40000009.84736244,0.29154219041899104,2850.5969944091735,2850.5965121737804,1.6581065381144329,0.0,0,0,0.0,-1110.6611852665162,-34749.62083029241,152.89440019649598,5.9647112949279375,5.9647112949279375,optimal,10.0,1.9312359617016776e-16,-2.7574599930123993,-2.7574599930123993,1.5361406644968542e-16,8.164434663487958e-13,1.0625298853567002,0.28242953648100017,0.6086809708644904,1.0,12.0
8,0.36737918853759766,40000009.83212517,0.08363725060191647,2371.9940833312576,2371.994083261344,0.01821182145719478,0.0,0,0,0.0,-2140.9960102706823,-17853.503402531696,152.89440019649598,1.3137332471254681,1.3137332471254681,optimal,10.0,1.0150078383319296e-14,-0.2355082800069496,-0.23550828000695967,5.915079209280956e-17,4.509735186437625e-13,0.6205856148546989,0.13508517176729928,0.4230951921384289,1.0,19.0
9,0.4090878963470459,40000009.73575151,0.01775161035495128,1349.897211073855,1349.8972110738052,0.0003663319433797928,0.0,0,0,0.0,-1088.2868679198848,-35012.23184403421,152.89440019649598,0.06546548967918137,0.06546548967918137,optimal,9.0,4.545014266552374e-13,-0.17866403375034287,-0.17866403375079734,5.6164626060204735e-16,1.587502480542702e-14,0.030065425722892433,0.5904900000000002,0.3555335478599494,1.0,5.0
10,0.4510836601257324,40000009.72891185,0.03148038274033132,1211.2009823635224,1211.2009444174698,0.30318408756483667,0.0,0,0,0.0,-287.8824768188041,-133778.22146517193,152.89440019649598,21.083066886673166,21.083066886673166,optimal,9.0,8.183791559170911e-13,-0.44142453374198476,-0.4414245337428027,1.0104949376750845e-16,3.864116583811511e-13,0.43865217530187817,0.07178979876918531,0.23008481432161024,1.0,25.0
11,0.49343061447143555,40000009.7211038,0.0911067299476919,1024.7663206393008,1024.7659579530941,0.862169987578132,0.0,0,0,0.0,-560.2511175905599,-69910.89255594695,152.89440019649598,1.1928333253687968,1.1928333253687968,unknown,13.0,1.4326358122565467e-19,-1.0096865355810523,-1.0096865355810525,4.00265935015829e-16,1.7707956986873347e-12,1.939640168335462,0.04710128697246249,0.1953288013869821,1.0,29.0
