iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,second_order_residual,condition_number,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,normdx,stepsize,df0,linesearch_status,linesearch_counter
10,0.4128303527832031,40000009.70377618,0.07725436106813782,823.5376146289599,823.537614586815,0.008331612897055553,0.0,0,0.0,0.0,-1009.0768181081576,-39637.67168507546,284663.3443652137,48.985915188367464,48.985915188367464,optimal,12.0,1.2852534323008203e-14,-0.184891484277655,-0.18489148427766786,8.567376163001627e-17,5.297163676786995e-14,0.08600835834834462,0.9,0.1489961679511991,1.0,1.0
11,0.453869104385376,40000009.65353096,0.0240785965165639,95.58250700834638,95.5825070016699,0.001129739096567178,0.0,0,0.0,0.0,-123.18509266020371,-324704.9812779692,284663.3443652137,60.89478680699228,60.89478680699228,optimal,14.0,6.813498962515994e-13,-0.052031680025623646,-0.052031680026305,2.487750737851315e-16,1.6779550785841655e-14,0.026759166813540267,0.9,0.08363955671137482,1.0,1.0
12,0.49580979347229004,40000009.65229701,0.01478681806754513,335.27943852956776,335.2794378678924,0.021064004228003023,0.0,0,0.0,0.0,-117.0662977787311,-341614.99089653854,284663.3443652137,38.26055804810803,38.26055804810803,optimal,12.0,3.63065848704079e-15,-0.03666632229615101,-0.03666632229615464,3.356085996322192e-16,4.742659081368992e-13,0.13514860844316653,0.10941898913151243,0.025053970835246957,1.0,21.0
13,0.537736177444458,40000009.64676566,0.012601315948004312,165.9905469904811,165.9905414089621,0.04304600744459226,0.0,0,0.0,0.0,-346.3226462942137,-115492.39484782613,284663.3443652137,32.177121715072545,32.177121715072545,optimal,13.0,6.4501782770664e-14,-0.05875692790264337,-0.05875692790270787,1.7078073851567318e-16,3.316720595630083e-13,0.07556319828817018,0.16677181699666577,0.013697543622866685,1.0,17.0
14,0.579387903213501,40000009.6406721,0.01117319728481026,432.80903096464783,432.8090307662044,0.013106342593370762,0.0,0,0.0,0.0,-166.8293439137249,-239729.84183457965,284663.3443652137,42.63130032290628,42.63130032290628,optimal,13.0,3.9855595780098766e-14,-0.02274777468709374,-0.0227477746871336,4.351569450757853e-16,7.325931917800964e-13,0.05426914364572833,0.2058911320946491,0.010803698791640943,1.0,15.0
15,0.6210339069366455,40000009.63972498,0.02223830520991298,194.7079239731048,194.7079239537863,0.0027427982395945593,0.0,0,0.0,0.0,-250.6311922628186,-159586.5339008855,284663.3443652137,147.09088200694777,147.09088200694777,optimal,10.0,4.717010028827924e-14,-0.023815646815302224,-0.02381564681534938,2.800276277140477e-16,8.989853246496256e-13,0.2788384564403387,0.07976644307687257,0.047067241531467845,1.0,24.0
16,0.66251540184021,40000009.63115798,0.008337613613860796,363.26642802899676,363.26642756411667,0.01837799367751042,0.0,0,0.0,0.0,-35.68622025325788,-1120757.6015967391,284663.3443652137,80.89226185213602,80.89226185213602,optimal,14.0,1.892865253985884e-13,-0.03141993511272306,-0.03141993511291211,3.960966978385532e-16,1.2496895072409257e-13,0.036446407326704254,0.22876792454961012,0.012199674683645304,1.0,14.0
17,0.7037913799285889,40000009.62817907,0.010075272184352344,175.32938950745518,175.32938813040704,0.021974394671717006,0.0,0,0.0,0.0,-166.46079859810442,-240293.06348347632,284663.3443652137,49.79382378072715,49.79382378072715,optimal,12.0,1.1406879430225052e-14,-0.0339104630504688,-0.03391046305048021,2.2449607051956886e-16,2.848517490704135e-13,0.035674642619258595,0.28242953648100017,0.006231886990576583,1.0,12.0
18,0.7448582649230957,40000009.61941125,0.007990254977651844,235.14367304400668,235.14367301498993,0.003694077683169061,0.0,0,0.0,0.0,-15.019237299580428,-2663127.611177171,284663.3443652137,40.9967467199909,40.9967467199909,optimal,12.0,2.0287037575824895e-14,-0.013381693292176497,-0.013381693292196786,1.5002226201693753e-16,1.604048616148157e-13,0.02062459926604288,0.38742048900000015,0.013435251218730565,1.0,9.0
19,0.7868156433105469,40000009.61666297,0.025497741284911425,142.19963894837414,142.19963820107182,0.01457848560757474,0.0,0,0.0,0.0,-169.12042223985208,-236483.22951681304,284663.3443652137,65.87202829758898,65.87202829758898,optimal,12.0,8.065863960804213e-16,-0.03252429486888496,-0.03252429486888577,1.3894061120836738e-16,4.794130010666141e-13,0.12386766369676265,0.2058911320946491,0.028049661629731756,1.0,15.0
20,0.828167200088501,40000009.60603616,0.01181625471123071,368.7306612527162,368.7306599739174,0.03070935717260744,0.0,0,0.0,0.0,1.9064204991950628,20976790.15602286,284663.3443652137,34.83791999248585,34.83791999248585,optimal,12.0,3.6516438741830727e-13,-0.04436291769973342,-0.0443629177000956,2.2221793314703354e-16,2.9248734140722945e-13,0.057392499678538426,0.2058911320946491,0.010460000777025528,1.0,15.0
21,0.8695251941680908,40000009.6041719,0.0023357141015281557,360.1348721033459,360.13487210334586,5.991472980110235e-06,0.0,0,0.0,0.0,-25.79847398874016,-1550092.7781065581,284663.3443652137,85.26898335203542,85.26898335203542,optimal,11.0,1.7798939439430858e-14,-0.016670475533928218,-0.016670475533945153,3.159283889005756e-16,1.3911780247165468e-13,0.036150551570065824,0.06461081889226679,0.03324780839220837,1.0,26.0
22,0.9107751846313477,40000009.60272225,0.008987570358831621,211.02971714370165,211.02971599279144,0.022039793882505,0.0,0,0.0,0.0,56.5907866238257,706754.3854786832,284663.3443652137,47.67965930874366,47.67965930874366,optimal,11.0,4.475707851636234e-13,-0.02850712740384197,-0.028507127404289543,1.0457960453787349e-16,2.477556357036904e-13,0.06653411923120624,0.13508517176729928,0.006037655660959279,1.0,19.0
23,0.9521951675415039,40000009.59841137,0.0016086512323497783,1.6285814989711576,1.6285814989500655,8.288555472309052e-06,0.0,0,0.0,0.0,-34.0068220344045,-1176109.7122257932,284663.3443652137,63.18396601818894,63.18396601818894,optimal,12.0,2.0402003077033885e-14,-0.0042240302120823215,-0.0042240302121027236,2.762883546093844e-16,3.73902270814866e-15,0.0016086519406490218,1.0,0.007242718675777524,1.0,0.0
24,0.9946305751800537,40000009.59812664,0.004823754983848328,49.57659159751616,49.576591536463745,0.002460394631850609,0.0,0,0.0,0.0,-13.162028266530497,-3038808.0702507417,284663.3443652137,76.53442344610419,76.53442344610419,unknown,16.0,5.029024141479693e-24,-0.005654824442502459,-0.005654824442502458,1.8532117918568135e-16,2.4648843014890593e-11,0.035709182126157486,0.13508517176729928,0.005635957599565278,1.0,19.0
25,1.0637357234954834,40000009.596697815,0.004279662717079993,33.92721889720257,33.927218605771266,0.004446898606760143,0.0,0,0.0,0.0,-7.7386989721760235,-5168581.838043295,284663.3443652137,0.38282651939374013,0.38282651939374013,optimal,9.0,1.591564803412094e-13,-0.008269295529038883,-0.008269295529197999,3.644192177480429e-16,9.116154833178416e-13,0.0482874146609425,0.08862938119652508,0.006780762758049589,1.0,23.0
