iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,second_order_residual,condition_number,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,stepsize,linesearch_status,linesearch_counter
0,0.0,50000011.0,0.0,20000003.000001,20000003.000000924,1.7497142623868622,0.0,0,0,0.0,-19999999.000000894,-1.618034219651564,1.0,,1.0,,,,,,,,,,
1,0.04804587364196777,40000661.55497428,2.2214413077853687,246083.6658780558,244932.49721021586,23774.827493595043,0.0,0,0,0.0,-3525594.9825928765,-8.200528928244857,12234317.153595852,12234316.653595852,12234316.653595852,unknown,12.0,15901.972931284927,-28454809.192385204,-28469773.065479323,0.0001623751323712567,1.734257666290066e-09,0.6561000000000001,1.0,4.0
2,0.09132099151611328,40000480.06537161,0.021148985192595643,139195.11765664173,139194.96088122742,208.91318746568265,0.0,0,0,0.0,-126871.05282116139,-159.4618539266128,12234317.153595852,48667.33693687766,48667.33693687766,optimal,12.0,1.3929070462032953e-10,-1157.4173622900323,-1157.4173622901717,1.5835407785479816e-16,2.30700814335309e-16,0.5904900000000002,1.0,5.0
3,0.1358928680419922,40000011.92922188,0.026843631637821004,2610.6585639685914,2610.6585639685554,0.00043195391530659403,0.0,0,0,0.0,16701.739678502534,1229.4738056414656,12234317.153595852,120.12261255950108,120.12261255950108,optimal,8.0,5.68545282093546e-11,-472.3338794972302,-472.3338794972846,2.324848909278278e-14,1.6247786160595395e-16,1.0,1.0,0.0
4,0.17842364311218262,40000011.388262734,0.4216784642939597,5982.5719549841715,5982.571791197059,1.3999058354256873,0.0,0,0,0.0,-2850.863769287475,-11293.919088220317,12234317.153595852,232.91038583034407,232.91038583034407,optimal,13.0,1.411118538420654e-12,-3.030504405771321,-3.030504405772572,1.492763302072019e-15,2.0868110352037505e-13,0.47829690000000014,1.0,7.0
5,0.2203667163848877,40000011.02965394,0.06566989205688516,4200.625092817027,4200.624873917,1.3561098203579662,0.0,0,0,0.0,-2402.0458167158536,-12938.086967369449,12234317.153595852,71.51548389983417,71.51548389983417,optimal,10.0,1.6846279547304488e-13,-3.1544391568230714,-3.1544391568232393,7.144751372017764e-17,3.322838565695724e-14,0.38742048900000015,1.0,9.0
6,0.2627108097076416,40000010.594342336,0.17773777133213822,3049.299184931523,3049.2991833432334,0.09841921590745951,0.0,0,0,0.0,-2231.086864423466,-12702.279283271384,12234317.153595852,1.371014561442016,1.371014561442016,optimal,9.0,5.952436954278197e-14,-1.0021877971941007,-1.0021877971941602,2.167552030863362e-16,7.518367955055561e-14,0.43046721000000016,1.0,8.0
7,0.30503392219543457,40000010.51385483,0.3166506717250053,3832.8525305556336,3832.8522214366017,1.539355460003282,0.0,0,0,0.0,-2472.217582860506,-13983.339589211218,12234317.153595852,48.33905870991445,48.33905870991445,optimal,11.0,4.861300221066442e-13,-2.7988894215229685,-2.798889421523458,4.563597731007265e-16,6.529876317618747e-13,0.1853020188851842,1.0,16.0
8,0.3481271266937256,40000010.48596222,0.0659597086607605,3766.4598972862273,3766.4598776963603,0.3841469751492641,0.0,0,0,0.0,-2208.1480750132255,-15277.286102791573,12234317.153595852,14.30491341057868,14.30491341057868,optimal,10.0,6.14002419394233e-14,-1.050018959462681,-1.0500189594627414,2.1751079454247972e-16,2.184294253613247e-13,0.10941898913151243,1.0,21.0
9,0.3924853801727295,40000010.3427088,0.2042672942772988,2759.939969499493,2759.939965209945,0.1538758919261383,0.0,0,0,0.0,-2870.2278554023496,-12603.17435437501,12234317.153595852,3.612916846476567,3.612916846476567,optimal,9.0,6.609327510235252e-14,-0.7775348269368244,-0.7775348269368894,5.573780966139306e-16,3.273732442374148e-14,0.43046721000000016,1.0,8.0
