iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,second_order_residual,condition_number,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,stepsize,linesearch_status,linesearch_counter
10,0.438032865524292,40000010.312793516,0.018852389328480355,1655.7803851621147,1655.7803738225603,0.19378241201525442,0.0,0,0,0.0,-345.6891877395462,-104413.4929826875,12234317.153595852,16.96309915624477,16.96309915624477,optimal,10.0,1.1386323391912173e-13,-0.5115138972580011,-0.5115138972581151,1.2593217093614083e-16,1.194164790753795e-13,0.1500946352969992,1.0,18.0
11,0.5118067264556885,40000010.2954094,0.2967640492210358,2554.958792984188,2554.958357341555,1.492011314832565,0.0,0,0,0.0,124.7231268836434,315451.51919987256,12234317.153595852,65.45643718989697,65.45643718989697,optimal,11.0,4.0653345520264996e-13,-2.4046633112728615,-2.404663311273269,2.7015641023541743e-16,6.669206819440965e-13,0.22876792454961012,1.0,14.0
12,0.5572378635406494,40000010.200525746,0.05641270243483458,2092.2966774879415,2092.2966730286907,0.13660216604968725,0.0,0,0,0.0,-1446.7493381959553,-26921.142106125706,12234317.153595852,13.136703195082584,13.136703195082584,optimal,10.0,2.580222605084369e-14,-0.6009954569944636,-0.600995456994489,1.4885160051088617e-16,2.9600683500475034e-14,0.5314410000000002,1.0,6.0
13,0.6038393974304199,40000010.19256941,0.09242803356586231,2773.0666957922354,2773.065956981734,2.0242383869866525,0.0,0,0,0.0,-1280.924673599669,-30064.14588789906,12234317.153595852,2.8037708050998593,2.8037708050998593,optimal,11.0,3.233906007176154e-16,-2.405337349148306,-2.4053373491483065,1.7344225434521644e-16,8.486069175640925e-13,0.07178979876918531,1.0,25.0
14,0.647209882736206,40000010.18913592,0.0163327287001281,2800.1458368752737,2800.1457743119477,0.5919230278153664,0.0,0,0,0.0,-1296.1228698346674,-29842.583258242157,12234317.153595852,5.99423089303875,5.99423089303875,optimal,10.0,1.9545056013599615e-13,-0.9518625463389341,-0.9518625463391294,2.553197729266257e-16,2.168770193704337e-13,0.016423203268260675,1.0,39.0
15,0.6901161670684814,40000010.155676715,0.11884627345604916,3154.637669079453,3154.6373632768996,1.389025707432626,0.0,0,0,0.0,-932.9045976040507,-40644.882620731376,12234317.153595852,6.279518321623559,6.279518321623559,optimal,10.0,7.712895496516708e-14,-1.9344243227561002,-1.9344243227561764,3.834425418115989e-16,3.5068754420266403e-13,0.10941898913151243,1.0,21.0
16,0.7350153923034668,40000009.982431695,0.2166757136169449,1526.4003157100465,1526.4002600165845,0.41233606741656803,0.0,0,0,0.0,-1406.7392581453937,-25831.47777393229,12234317.153595852,83.1935504454749,83.1935504454749,optimal,11.0,3.0824435875260606e-13,-0.919232908483861,-0.9192329084841692,1.6809339896711214e-16,6.96037009402977e-13,0.25418658283290013,1.0,13.0
17,0.7794783115386963,40000009.93270945,0.14173113063965306,2902.0116459408323,2902.011366424163,1.2737037258360575,0.0,0,0,0.0,-2417.7056815938367,-15927.599855815139,12234317.153595852,26.044094186237167,26.044094186237167,optimal,11.0,8.509254351342453e-13,-1.9141825541944852,-1.9141825541953366,1.7916278887749107e-16,9.334970379611567e-13,0.08862938119652508,1.0,23.0
18,0.823052167892456,40000009.805741675,0.02755855930226781,1235.4288473337306,1235.428847227441,0.016205751836575508,0.0,0,0,0.0,-616.5770586006499,-62901.91811657706,12234317.153595852,1.67760195030952,1.67760195030952,optimal,9.0,1.9915186248750885e-14,-0.3027764917612555,-0.30277649176127536,2.0399730350312448e-16,1.1393091151695457e-14,0.47829690000000014,1.0,7.0
19,0.8652622699737549,40000009.761862986,0.022967736239232654,2302.084067720568,2302.084067609897,0.02257315458592569,0.0,0,0,0.0,-495.5027237906693,-78647.67724775901,12234317.153595852,1.6110479147540002,1.6110479147540002,optimal,9.0,3.828024691222546e-13,-0.18159146127821146,-0.18159146127859363,9.037128810867712e-16,1.2535525229488073e-13,0.31381059609000017,1.0,11.0
20,0.9081671237945557,40000009.73891581,0.01861507153781331,1282.2505635200619,1282.2505635099665,0.005088216276754869,0.0,0,0,0.0,-858.8671919681486,-45542.26634236241,12234317.153595852,0.8203971905526507,0.8203971905526507,optimal,9.0,3.604153342345678e-13,-0.138505447024352,-0.1385054470247123,3.20757868135537e-16,1.3165082790003407e-14,0.34867844010000015,1.0,10.0
21,0.950617790222168,40000009.734033436,0.11568935319948681,1726.1717964390293,1726.171793920546,0.09324521636004794,0.0,0,0,0.0,-788.0016289591698,-50266.38296800135,12234317.153595852,1.4498426615922828,1.4498426615922828,optimal,10.0,1.0270845540897256e-13,-0.2361469090291768,-0.2361469090292794,1.613640442792357e-16,4.699348683246871e-13,0.08862938119652508,1.0,23.0
22,1.0166466236114502,40000009.72036121,0.013101501561456612,1125.6608523453474,1125.6608523065906,0.009340982168777054,0.0,0,0,0.0,-568.5789490583121,-69783.41054507096,12234317.153595852,1.7337436160421167,1.7337436160421167,optimal,9.0,8.2020219883761e-13,-0.11191851874885003,-0.11191851874966868,2.0449174235318866e-15,3.810578533694387e-14,0.25418658283290013,1.0,13.0
23,1.0590264797210693,40000009.70428075,0.02717425412882403,1894.1825703097777,1894.1825690064227,0.07026795256107286,0.0,0,0,0.0,-1107.6953780546637,-35925.588979769855,12234317.153595852,4.08775792793738,4.08775792793738,optimal,10.0,2.220435672476769e-14,-0.17765313215612885,-0.17765313215615086,2.242896763512872e-16,2.372862007532751e-13,0.1853020188851842,1.0,16.0
24,1.1010890007019043,40000009.672223166,0.015624878361084907,809.4838970355964,809.4838970355818,0.00015421520967192912,0.0,0,0,0.0,-777.7887310180828,-51207.57855075558,12234317.153595852,0.05813429079084602,0.05813429079084602,optimal,8.0,6.972153716627595e-14,-0.08972214797149317,-0.08972214797156289,1.6683953274567754e-16,6.89359562114415e-15,0.6561000000000001,1.0,4.0
25,1.143643856048584,40000009.66583554,0.05475080379193525,628.3756852023625,628.3756681338616,0.1464611267426225,0.0,0,0,0.0,-943.5800024525076,-42096.56955676239,12234317.153595852,23.215739606190898,23.215739606190898,unknown,14.0,5.8354317761773e-19,-0.2896456196611035,-0.2896456196611035,1.3111921267024493e-16,1.2044082493209533e-12,0.10941898913151243,1.0,21.0
26,1.1884491443634033,40000009.625927076,0.024937751680612966,1175.9915859034825,1175.991584928084,0.04789698163250295,0.0,0,0,0.0,-435.5020503497299,-91439.93918100794,12234317.153595852,2.705759113964103,2.705759113964103,optimal,10.0,1.8547687677485976e-14,-0.12994266431067394,-0.1299426643106924,1.5687483579092554e-16,1.8956605275096213e-13,0.2058911320946491,1.0,15.0
27,1.2326016426086426,40000009.607831225,0.013749230250140927,761.2206628368447,761.2206628351089,0.0016256126738298177,0.0,0,0,0.0,-213.62781984318252,-186261.08293048953,12234317.153595852,0.14966898703650575,0.14966898703650575,optimal,10.0,1.0337924322952233e-14,-0.042423643485275546,-0.042423643485285885,2.685104819282551e-16,6.684781935720115e-14,0.38742048900000015,1.0,9.0
28,1.277573823928833,40000009.6040921,0.070405198255151,531.6127398023575,531.6127266809481,0.1181144221028942,0.0,0,0,0.0,-215.2894381745845,-183860.0222622766,12234317.153595852,1.7948188357370694,1.7948188357370694,optimal,10.0,1.7185233415267753e-14,-0.17194863978821506,-0.1719486397882322,1.8720223405152286e-16,5.385876480406012e-13,0.08862938119652508,1.0,23.0
29,1.3198978900909424,40000009.597471364,0.01564067203900829,928.4640626543695,928.464062587833,0.011115453205364148,0.0,0,0,0.0,-630.9272209290694,-62862.378507831614,12234317.153595852,1.9667786519939727,1.9667786519939727,optimal,9.0,1.4024042003464888e-13,-0.04364617499070133,-0.043646174990841564,1.2634445876676385e-16,7.136571148122561e-14,0.43046721000000016,1.0,8.0
30,1.3636033535003662,40000009.59650882,0.060129895625123934,1058.7742578463026,1058.7742282275299,0.2504379914034243,0.0,0,0,0.0,-490.27180266543735,-81248.26278927179,12234317.153595852,50.90913069944561,50.90913069944561,optimal,11.0,4.819787303011954e-13,-0.2990466209396694,-0.2990466209401436,3.878696705630288e-16,5.513362399447939e-13,0.07976644307687257,1.0,24.0
31,1.4070508480072021,40000009.58267994,0.019289166467513243,502.161189076045,502.1611889000018,0.013296772586754066,0.0,0,0,0.0,-188.0167769084361,-212203.71154973135,12234317.153595852,1.0713560053017548,1.0713560053017548,optimal,9.0,4.1951557189538844e-13,-0.055911963130795515,-0.05591196313121453,1.1471535026256504e-15,6.544424032237018e-14,0.25418658283290013,1.0,13.0
32,1.4496605396270752,40000009.58077493,0.11804160396950035,407.421325224811,407.4213159585645,0.0868938017955347,0.0,0,0,0.0,-415.12631294820403,-96175.89652556981,12234317.153595852,0.6610611420820325,0.6610611420820325,unknown,14.0,1.908354331991541e-22,-0.1350289075078332,-0.13502890750783322,1.8732188263209482e-16,1.3363615980282335e-12,0.13508517176729928,1.0,19.0
33,1.5166537761688232,40000009.57469269,0.15078678512386265,872.6164718559018,872.6163930733338,0.3708017350010665,0.0,0,0,0.0,-437.55234166553987,-91375.64833343429,12234317.153595852,0.6760317410678017,0.6760317410678017,unknown,15.0,2.1550216198779813e-23,-0.44607897316409045,-0.44607897316409045,1.6756998251549555e-16,8.902785983572487e-12,0.13508517176729928,1.0,19.0
34,1.5600409507751465,40000009.57154935,0.13592345043590837,181.11643883382254,181.11642491569398,0.07100425033120474,0.0,0,0,0.0,-103.6535189943931,-385286.4914331535,12234317.153595852,0.14202630975456373,0.14202630975456373,unknown,14.0,1.8524001498922669e-22,-0.11002967427529307,-0.11002967427529307,2.5459488471993813e-16,1.4151345450479856e-12,0.16677181699666577,1.0,17.0
35,1.6022284030914307,40000009.57092368,0.006642176813452273,137.09100760153427,137.09100758584688,0.002073933487675977,0.0,0,0,0.0,-74.63747751502808,-534884.2393517048,12234317.153595852,0.19743075456979256,0.19743075456979256,optimal,9.0,3.143020732990143e-13,-0.004771134759300565,-0.004771134759614842,3.637556856998312e-16,2.347518422909721e-13,0.1853020188851842,1.0,16.0
36,1.6443593502044678,40000009.56909885,0.010286628313077195,363.7885058729123,363.7885057368774,0.009948661187688383,0.0,0,0,0.0,-47.71062214962957,-837168.8299923983,12234317.153595852,1.2714938509580576,1.2714938509580576,optimal,9.0,9.867659092129998e-13,-0.016554860600446836,-0.016554860601433602,3.0771944669024153e-16,1.5300612086676572e-13,0.25418658283290013,1.0,13.0
37,1.687364101409912,40000009.56472552,0.10535488688800627,328.3385287084444,328.3384231662073,0.2632625202776389,0.0,0,0,0.0,-373.58898404234634,-106936.87136264441,12234317.153595852,0.470867313680793,0.470867313680793,unknown,15.0,2.5762553694439597e-24,-0.30299456469678754,-0.3029945646967876,2.50626491260912e-16,1.6846395800887858e-11,0.10941898913151243,1.0,21.0
38,1.7299830913543701,40000009.55860632,0.01895190237397446,512.3608509145787,512.3608508247306,0.009595275440443626,0.0,0,0,0.0,-325.3124230619372,-122909.64227555819,12234317.153595852,0.8861876311819104,0.8861876311819104,optimal,9.0,3.588916728535753e-13,-0.02580602335716983,-0.025806023357528296,1.0503232017038373e-15,7.057089721841486e-13,0.1853020188851842,1.0,16.0
39,1.7722949981689453,40000009.552846536,0.01289297386157796,243.43212536625632,243.43212535416845,0.002425931609301729,0.0,0,0,0.0,-288.62880735597207,-138563.47657312226,12234317.153595852,0.2888021555110592,0.2888021555110592,optimal,9.0,3.548085647588457e-13,-0.012789207808750739,-0.01278920780910552,2.1699523892418857e-16,8.652007547494907e-14,0.31381059609000017,1.0,11.0
40,1.8150038719177246,40000009.55117024,0.038798018642912435,160.063307353913,160.063304876761,0.02816029600805342,0.0,0,0,0.0,-78.69489211435248,-508106.5134888765,12234317.153595852,0.05926264261228954,0.05926264261228954,unknown,13.0,4.8976176182727e-23,-0.03476412286897818,-0.03476412286897818,1.7264435890259613e-16,3.840305918225027e-12,0.0523347633027361,1.0,28.0
41,1.8572008609771729,40000009.55056401,0.010686618963251201,255.6782110340711,255.67821098768437,0.00487033378813393,0.0,0,0,0.0,-132.52944763772018,-301764.155766307,12234317.153595852,0.4632014591985988,0.4632014591985988,optimal,9.0,1.9455104099970785e-13,-0.008018097368804884,-0.008018097368999357,4.686784933375015e-16,2.5939781517390564e-13,0.22876792454961012,1.0,14.0
42,1.9002532958984375,40000009.55053257,0.01820027372508976,248.80679971092474,248.80679944373358,0.011530739363951664,0.0,0,0,0.0,-229.98578294362125,-173867.82862750546,12234317.153595852,2.814299789745472,2.814299789745472,unknown,16.0,1.4945960614282725e-25,-0.014075134174013454,-0.014075134174013454,4.59969503841322e-16,4.4843309564406216e-12,0.0225283995449392,1.0,36.0
43,1.9425418376922607,40000009.54987621,0.00798643660635765,168.18262553488563,168.1826255269827,0.001630420302040588,0.0,0,0,0.0,-67.36861222026766,-593634.9246536639,12234317.153595852,0.16432819915111124,0.16432819915111124,optimal,9.0,6.939308908319264e-13,-0.00385051774335547,-0.003850517744049383,4.419346910136936e-16,1.8708121241298214e-13,0.2058911320946491,1.0,15.0
44,2.0127522945404053,40000009.54961445,0.008255642716716196,262.30507423996585,262.3050742379001,0.0010410137625664877,0.0,0,0,0.0,-65.09428693323694,-614407.3443802283,12234317.153595852,0.11186061390120701,0.11186061390120701,optimal,10.0,2.2989711538322478e-14,-0.002893250087897805,-0.0028932500879207943,2.5629319754165584e-16,2.7020445763468585e-13,0.28242953648100017,1.0,12.0
45,2.0560998916625977,40000009.54950776,0.02745639806876668,191.39251330189978,191.3925065796759,0.0507263895349699,0.0,0,0,0.0,-93.15642612686763,-429344.1558481089,12234317.153595852,0.08837025225553764,0.08837025225553764,unknown,13.0,3.71703843906262e-21,-0.05467747871963263,-0.05467747871963263,1.0234046415852406e-16,1.7971934011757553e-12,0.02781283894436938,1.0,34.0
46,2.0991852283477783,40000009.54911357,0.008908737372957784,250.29442071730122,250.29442070376518,0.002603073422902302,0.0,0,0,0.0,-27.893117373510314,-1434008.373114924,12234317.153595852,0.22290114883429746,0.22290114883429746,optimal,8.0,1.5627384979702122e-13,-0.004549511575311909,-0.004549511575468183,1.304153949683553e-16,6.833957340091468e-13,0.10941898913151243,1.0,21.0
47,2.1428327560424805,40000009.54910832,0.0037881445577440474,249.97230643757814,249.97230639166963,0.0047907940177801854,0.0,0,0,0.0,-82.71838528437974,-483556.47079043917,12234317.153595852,0.05785725541533543,0.05785725541533543,unknown,13.0,1.2835361156408585e-22,-0.006810013186087482,-0.006810013186087484,1.9414175250052537e-16,6.0315730940282205e-12,0.004638397686588107,1.0,51.0
48,2.185826063156128,40000009.54906155,0.018283062506187855,199.23822866861457,199.23822848306494,0.00859867171957359,0.0,0,0,0.0,-12.016870694700732,-3328265.36257476,12234317.153595852,0.027126066279533453,0.027126066279533453,optimal,10.0,7.24900083436098e-17,-0.010507585995891097,-0.010507585995891171,1.9788848240979802e-16,8.960544478398712e-13,0.025031555049932444,1.0,35.0
49,2.229011058807373,40000009.5490333,0.01792861715484534,229.35251409659466,229.3525106245079,0.03990819032550554,0.0,0,0,0.0,-41.33528517850374,-967679.1029943933,12234317.153595852,0.09774375647952882,0.09774375647952882,unknown,13.0,2.8036232277398936e-21,-0.04275531861640609,-0.042755318616406086,1.6334069899475076e-16,1.4244115720359666e-11,0.01824800363140075,1.0,38.0
50,2.2715535163879395,40000009.54892871,0.005804715942123119,204.23802793031615,204.23802792492398,0.001484107508448764,0.0,0,0,0.0,-70.39385140295722,-568206.5831133539,12234317.153595852,0.13661123663152633,0.13661123663152633,optimal,8.0,2.645129073141408e-14,-0.0028554253053695734,-0.002855425305396025,1.0246393774010632e-16,2.387621161273944e-13,0.10941898913151243,1.0,21.0
51,2.314664125442505,40000009.54890529,0.015448931579148865,187.719135887146,187.71913376821058,0.028205131525849525,0.0,0,0,0.0,-21.478742751120926,-1862285.281863237,12234317.153595852,0.04882574565215367,0.04882574565215367,unknown,14.0,2.463452994489892e-22,-0.030162956443499877,-0.030162956443499873,3.7381919540771026e-16,3.7240567444271084e-12,0.011972515182562033,1.0,42.0
52,2.360564947128296,40000009.54886335,0.008040878456361407,207.38522359099684,207.38522358265516,0.0018600744429760506,0.0,0,0,0.0,-32.38000958678424,-1235266.699425236,12234317.153595852,0.16373399312741635,0.16373399312741635,unknown,12.0,2.945017209367069e-20,-0.003648122613990723,-0.003648122613990723,2.1417068242126218e-16,1.7403571239956028e-12,0.030903154382632643,1.0,33.0
53,2.4036269187927246,40000009.54882801,0.011605519083373164,209.6910352320763,209.69103400855784,0.02265218977616163,0.0,0,0,0.0,-78.94070645163696,-506686.0455166586,12234317.153595852,0.0496329714446315,0.0496329714446315,unknown,16.0,3.0441186493545573e-28,-0.02457749565587656,-0.02457749565587656,3.050781713044697e-16,1.9604934939136165e-11,0.013302794647291147,1.0,41.0
54,2.4465792179107666,40000009.548809364,0.009850095530586234,221.00258716407077,221.00258689070526,0.010992223048493257,0.0,0,0,0.0,-30.198927031975284,-1324532.5027301968,12234317.153595852,0.5168127119660236,0.5168127119660236,unknown,14.0,3.6323275896530154e-23,-0.01712279656706543,-0.017122796567065425,1.651593743970988e-16,6.006760587174941e-12,0.013302794647291147,1.0,41.0
55,2.5150599479675293,40000009.54878745,0.00890857321112236,213.83937546252236,213.83937517965694,0.010998887154974426,0.0,0,0,0.0,-62.07214322110361,-644398.4166376744,12234317.153595852,0.0189860865337535,0.0189860865337535,optimal,10.0,4.250910695591239e-16,-0.012335633734957864,-0.012335633734958289,4.567042666041672e-16,7.839639930709217e-13,0.011972515182562033,1.0,42.0
56,2.5574839115142822,40000009.54871224,0.00381959578221165,212.88343585299262,212.88343585299225,1.2550074938297465e-05,0.0,0,0,0.0,-50.639240549005265,-789883.8150477426,12234317.153595852,0.0012628151396027133,0.0012628151396027133,optimal,8.0,6.697520362494721e-13,-0.0011137989767112586,-0.0011137989773810106,3.3123802280808523e-16,1.4325607222462956e-13,0.13508517176729928,1.0,19.0
57,2.602741003036499,40000009.54870642,0.003768721097406361,214.27267378414876,214.27267367432648,0.006860308684874533,0.0,0,0,0.0,-52.03489091356575,-768710.2867545439,12234317.153595852,0.042575631751969795,0.042575631751969795,unknown,13.0,6.210745444208036e-23,-0.00844577260356329,-0.00844577260356329,2.584882962321566e-16,7.20649403733991e-12,0.00515377520732012,1.0,50.0
58,2.64642333984375,40000009.548687264,0.00754234135091825,215.81439074569212,215.8143903551938,0.012982692514429383,0.0,0,0,0.0,-42.6445970190274,-937975.2792525266,12234317.153595852,0.08187613012038555,0.08187613012038555,unknown,13.0,8.550603005165962e-23,-0.01492929796147853,-0.014929297961478526,1.9759967772488736e-16,2.1033625920919764e-12,0.009697737297875247,1.0,44.0
59,2.690343141555786,40000009.54832457,0.020677577890239243,45.01850883783195,45.018508832465166,0.0006951329818345377,0.0,0,0,0.0,-27.215202495003744,-1469757.4081932195,12234317.153595852,0.0860246024256802,0.0860246024256802,optimal,8.0,2.2152169561059157e-13,-0.0019078425316814238,-0.0019078425319029456,2.378623531269222e-16,6.566246137778759e-13,0.1853020188851842,1.0,16.0
60,2.734408140182495,40000009.54831744,0.02887656993915071,68.00597614408407,68.00596835512901,0.032548286022679826,0.0,0,0,0.0,-65.63534740663454,-609425.075639656,12234317.153595852,8.044377010048317,8.044377010048317,unknown,16.0,9.492519706881399e-24,-0.03518599562490368,-0.03518599562490369,1.7979374781332727e-16,1.591631389594268e-11,0.04710128697246249,1.0,29.0
61,2.7771592140197754,40000009.54822449,0.005466043241572292,126.76053716191998,126.76053716068871,0.0005587072161244138,0.0,0,0,0.0,-18.15283395873302,-2203461.7699775747,12234317.153595852,0.04144925298993202,0.04144925298993202,optimal,8.0,2.1579656149537146e-13,-0.001094334728618848,-0.0010943347288346445,1.528168555214573e-16,5.630000230059436e-13,0.10941898913151243,1.0,21.0
62,2.820326805114746,40000009.54810376,0.01910245162294826,102.84043045595558,102.8404254499717,0.03208792686310811,0.0,0,0,0.0,-59.282982526025464,-674694.6995935584,12234317.153595852,0.05553088468022721,0.05553088468022721,unknown,13.0,3.363365929128885e-22,-0.03374535053584031,-0.03374535053584031,3.3431017227315316e-16,6.954425931559082e-12,0.025031555049932444,1.0,35.0
63,2.8630311489105225,40000009.54806432,0.005534158908193038,143.11314500074724,143.11314499992847,0.0004840966487334733,0.0,0,0,0.0,-73.36463060674554,-545201.489843717,12234317.153595852,0.04333819532650141,0.04333819532650141,optimal,8.0,2.2039355085808243e-14,-0.0010082049632288152,-0.0010082049632508547,1.6102102094451595e-16,7.680575556135264e-13,0.1500946352969992,1.0,18.0
64,2.9068498611450195,40000009.548062466,0.003911346656414612,142.51555481108528,142.51555472272224,0.005018587324961728,0.0,0,0,0.0,-45.16693201865366,-885577.8246032041,12234317.153595852,1.2251081539833373,1.2251081539833373,unknown,16.0,7.6484904570051015e-25,-0.005751681193249824,-0.005751681193249824,2.5616547183087187e-16,1.4552760424418974e-11,0.004638397686588107,1.0,51.0
65,2.950355291366577,40000009.54806112,0.0016696366184447487,142.17721806487057,142.17721806184167,0.0009280546229478036,0.0,0,0,0.0,-67.89338059742158,-589138.5516294009,12234317.153595852,0.08064032892080648,0.08064032892080648,unknown,13.0,1.5105892050903786e-19,-0.0014751940572681342,-0.001475194057268135,2.6476639852263724e-16,4.284815417142343e-12,0.003757102126136367,1.0,53.0
66,3.026371479034424,40000009.5480593,0.0028716952273441718,141.51277882033955,141.51277879160767,0.00285164062603284,0.0,0,0,0.0,-28.25649786420015,-1415548.1949809468,12234317.153595852,0.01573420281384125,0.01573420281384125,unknown,15.0,2.4228805372238928e-26,-0.0034898852445722577,-0.0034898852445722573,2.783888109825603e-16,9.866104593756049e-12,0.003757102126136367,1.0,53.0
67,3.0714406967163086,40000009.548015475,0.012097082508187982,112.70039319847226,112.70039315019258,0.003298829342887093,0.0,0,0,0.0,-32.626386323650834,-1225983.2746607289,12234317.153595852,0.29364568614005226,0.29364568614005226,unknown,11.0,5.273947746104944e-17,-0.005728838874838803,-0.00572883887483886,2.125392346064551e-16,7.487058272776835e-12,0.020275559590445278,1.0,37.0
68,3.118410348892212,40000009.54801497,0.0016196610565899492,112.40225733781375,112.40225731856921,0.002079966704234229,0.0,0,0,0.0,-32.771931687150996,-1220544.0346916462,12234317.153595852,0.0035998753992629584,0.0035998753992629584,unknown,13.0,9.399334826941832e-24,-0.0024084288380829275,-0.0024084288380829275,1.7679094102116776e-16,1.332792855968249e-11,0.0017970102999144335,1.0,60.0
69,3.162907123565674,40000009.547928914,0.016498102037225626,52.95419808705168,52.95419808672697,0.00018544445406849726,0.0,0,0,0.0,-24.521223328761074,-1631195.1123658135,12234317.153595852,0.0261853132987533,0.0261853132987533,optimal,8.0,1.601906680400786e-13,-0.0006713545841572309,-0.0006713545843174215,1.8646374777700115e-16,5.010785646839859e-13,0.38742048900000015,1.0,9.0
70,3.2086493968963623,40000009.54792477,0.007264958785236396,41.44927545495185,41.44927539695919,0.0021926029954798354,0.0,0,0,0.0,-50.49134060722674,-792163.2813893096,12234317.153595852,0.030152117496690268,0.030152117496690268,unknown,15.0,2.09090736591651e-25,-0.002862135709573539,-0.002862135709573539,1.6509938843792911e-16,2.586264393033222e-11,0.00785516721127895,1.0,46.0
71,3.2520294189453125,40000009.54790674,0.01073451360619197,37.72021647753874,37.720210965301014,0.02039229193637835,0.0,0,0,0.0,-63.66468792939237,-628267.5036275013,12234317.153595852,0.050081439476451106,0.050081439476451106,unknown,13.0,9.097420183850274e-22,-0.02113010775022863,-0.02113010775022863,3.174446316650281e-16,2.058363284101759e-11,0.009697737297875247,1.0,44.0
72,3.2964820861816406,40000009.54787701,0.00539815731152847,77.80463628985149,77.80463628634635,0.0007385338240405719,0.0,0,0,0.0,-8.834914746375903,-4527235.353891727,12234317.153595852,0.05323606036437927,0.05323606036437927,optimal,10.0,1.8523432477412196e-17,-0.0009890317983658587,-0.000989031798365877,2.073546061854896e-16,4.3631345681094014e-13,0.10941898913151243,1.0,21.0
