iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,second_order_residual,condition_number,Phi,sigma,rho,maxabsLagmult,normNTdirx,normNTdirw,stepsize,linesearch_status,linesearch_counter,linesearch_RightItem,gradfNTdir,NTdir_error1,NTdir_error2,NTdir_norm,NTdir_angle,CovDerivKKT_minabseigval
15,6.187479257583618,40831479.821806476,0.002917140942641501,2775455.048773108,2775455.0487727653,1.3673261126663678,0.0,0,0.12199377889095735,0.022307468159012078,-3175594.8951837528,-12.450339546711776,7703150727759.952,0.5,0.30428229511134314,8.158928089665837,0.7467899199892424,135.29025945541935,0.00390625,True,8.0,-15539035846612.494,172286.57174621028,1426136.1981575703,6490950336343.736,135.29025945541935,0.0008306769318402063,(-0.0026220269740731424+0j)
16,6.611196041107178,40835361.50159924,0.017620017379485403,2730066.965591078,2730066.965590754,1.3184826412580262,0.0,0,0.1188778779684961,0.022643411299678222,-2794011.2940476993,-14.5595408739563,7453265636611.591,0.5,0.301543793563228,7.756102459101395,1.1277819672998923,37.936114557780556,0.015625,True,6.0,-15406301455518.516,251536.13677859388,932801.3514948052,8343675175684.083,37.936114557780556,0.0023149985330682223,(-0.0022967503626775154+0j)
17,7.044440746307373,40841812.46507009,0.028868899406911043,2657325.6547841206,2657325.654783759,1.3753931455453525,0.0,0,0.1164240465138973,0.023101353586944328,-2848668.7988102105,-13.90744691757941,7061379635573.551,0.5,0.2960111273507657,8.487382353133638,0.9240579801320414,30.56347425460498,0.03125,True,5.0,-14906531273221.818,205748.0483204586,566590.9549726424,5099791120552.445,30.56347425460498,0.004059903916447413,(-0.0025350286431704287+0j)
18,7.45295262336731,40839696.76041404,0.005929493281214356,2650614.534502191,2650614.534501845,1.3424730081358693,0.0,0,0.11531119497166727,0.023145148395322834,-2163241.345260353,-17.418946421532983,7025757410514.047,0.5,0.2956243282173138,8.081970527845739,3.035932578394361,258.964446660673,0.001953125,True,9.0,-14122759271145.787,-1085627.2207536893,3113175.4429575875,29439904772523.285,258.964446660673,-0.000767618715967796,(-0.0020975022078878807+0j)
19,7.880434989929199,40846906.23864573,0.009043091079981518,2630276.4853892657,2630276.48538886,1.4498123230335607,0.0,0,0.11666057803836576,0.023543784012912718,-3238165.2442739806,-12.404457628942682,6918354389591.172,0.5,0.29419270471962355,9.119423284077792,1.1575423469710666,139.10856043192544,0.0078125,True,7.0,-14051514821026.783,926738.179867989,236399.42409467592,1418414236152.8691,139.10856043192544,0.0011821053117110237,(-0.0023077645027120047+0j)
20,8.321699142456055,40848987.83374169,0.004644076903903788,2618003.8467217046,2618003.84672126,1.5147023832146518,0.0,0,0.1172965642427372,0.023675083991654664,-2972833.5443358277,-12.88432874193587,6853944141448.901,0.5,0.29354377361270095,9.767387830564576,1.188891783189626,170.7554602554568,0.00390625,True,8.0,-13836708779181.045,532170.6722457367,1945150.0087296558,5060817827169.037,170.7554602554568,0.0014438645040010223,(-0.0017825173521787154+0j)
21,8.756084680557251,40850030.36942794,0.0022766011020311306,2609689.172988489,2609689.172988014,1.5637401428831448,0.0,0,0.11769814710451655,0.023829693843683258,-3677989.7163960943,-10.670455960596291,6810477579612.448,0.5,0.2932177144830495,10.19423184294849,1.1656215239023606,236.8237223517968,0.001953125,True,9.0,-13707888282896.51,534754.3429466616,2430155.9816576783,5283620713416.78,236.8237223517968,0.00046694577906591965,(-0.001546010563334311+0j)
22,9.15791916847229,40852894.994394705,0.003352469353632483,2603372.32961664,2603372.329616118,1.6383774076646478,0.0,0,0.11842178345431638,0.023977472756065717,-3223931.599152946,-11.889090925821414,6777547486612.433,0.5,0.2928700621924221,10.887306459252631,1.7164692432282695,362.46029314513606,0.001953125,True,9.0,-13620955159223.607,1468347.1631635246,1648259.5298820885,3777092023924.1797,362.46029314513606,0.0006303576742291147,(-0.0014165508260576079+0j)
23,9.558789014816284,40853966.512134954,0.004334798796519689,2587290.1353248707,2587290.1353243333,1.657062663306242,0.0,0,0.11803165481658372,0.02417184234228918,-2765133.649026717,-14.13886082998054,6694070244348.178,0.5,0.292216471738492,10.988482400006214,1.1097130724934123,95.43259867157553,0.00390625,True,8.0,-13555094973223.578,275047.0483034368,1634582.786787095,7823765096660.287,95.43259867157553,0.000789703403821841,(-0.0012362099625725202+0j)
24,9.983388423919678,40856960.0368543,0.0035613378660546654,2576614.681265713,2576614.681265117,1.7424053296625817,0.0,0,0.11863658314919102,0.02441568118482643,-2354566.5843270216,-16.613052148612983,6638943215712.511,0.5,0.2918465891444668,11.69869735786133,1.8234097437712882,391.4859972373129,0.001953125,True,9.0,-13388140488695.074,1537621.9996146483,3479331.405362511,4260761237931.451,391.4859972373129,0.0003079112140437453,(-0.0012134458169527607+0j)
25,10.41682243347168,40857003.28723581,0.0005559865868038971,2574128.7956034266,2574128.795602812,1.769138790522405,0.0,0,0.1187596248626558,0.024452843858094556,-2899438.5555474204,-13.482878027955,6626139056353.148,0.5,0.2916973520212956,11.93416081705728,0.5693303153104634,254.0189518197756,0.0009765625,True,10.0,-13277886431423.744,44311.18472251533,290854.98748581536,7926834754485.229,254.0189518197756,0.00027808679976109137,(-0.0010661186772446152+0j)
26,10.83455753326416,40856571.32562388,0.0006823535784830947,2573007.768834114,2573007.76883351,1.7527801394361526,0.0,0,0.11858469094597103,0.02445106228340514,-2912391.363619494,-13.3390205740065,6620368978479.165,0.5,0.29168932650354423,11.767269291925759,22.359364671554285,5816.877426568309,3.0517578125e-05,True,15.0,-13252278112705.021,-14156045.187346147,53404049.05807223,58917922089854.68,5816.877426568309,-0.00010370039531074863,(-0.00102405189698052+0j)
27,11.255491733551025,40857493.385988854,0.0014388771394727628,2569308.362066818,2569308.3620662168,1.7472633540870655,0.0,0,0.11842741764475699,0.02450807375754472,-3068184.4055958837,-13.05813256097402,6601345459384.953,0.5,0.29161188640648633,11.67870349716459,2.946821495151487,283.4790295554419,0.00048828125,True,11.0,-13240737956957.055,1890492.5362022403,5911971.984733762,3391456919740.6895,283.4790295554419,0.00045907118871728043,(-0.0010530977870655365+0j)
28,11.706924438476562,40858145.932021245,0.0009107885437587231,2567507.4114077836,2567507.4114071624,1.7759749190793859,0.0,0,0.11859389627427629,0.024539683580583557,-3008470.799023893,-13.252067202162218,6592094307632.27,0.5,0.29146258276347725,11.953985365078303,0.9326476891697034,285.8094749508684,0.0009765625,True,10.0,-13202690918768.63,668309.5282415997,878926.033073773,1574094480679.6816,285.8094749508684,0.0005381012708865942,(-0.001069069977976685+0j)
29,12.160194158554077,40858389.68950168,0.0003136466609967911,2566542.1252769423,2566542.12527631,1.7913939299176724,0.0,0,0.11870128557093439,0.02456272877679084,-3776586.953455554,-10.366901183054036,6587138480819.401,0.5,0.29142531980442293,12.090575141023542,1.284696738589764,572.6258692740364,0.000244140625,True,12.0,-13184188615263.266,998676.2206368552,1745299.0984515536,2586357909620.5586,572.6258692740364,0.0002448714482984266,(-0.0010198348908972402+0j)
30,12.582495212554932,40858662.18892161,0.000588749973078256,2566508.1290895175,2566508.1290888726,1.8096116406918965,0.0,0,0.118822773957253,0.024565260491241064,-2795038.788962882,-14.174520286521899,6586963976680.826,0.5,0.2913507437509243,12.276472013462309,1.2057600359866452,393.81613308574407,0.00048828125,True,11.0,-13174276961637.53,557868.6678196319,3035281.225453638,1290416821965.2676,393.81613308574407,0.0004859638788006488,(-0.0009967936443634625+0j)
31,13.00445032119751,40858922.56374243,0.0004857651355727937,2565549.259512646,2565549.2595119863,1.8300506845798492,0.0,0,0.11894903885425658,0.02457920344950853,-2909362.832866419,-13.599441679702995,6582043002984.059,0.5,0.29127658551352315,12.473092813618035,0.9948470542289115,407.4878447154642,0.00048828125,True,11.0,-13173927953360.379,533162.2070256966,1139339.5656863512,2797462569353.5977,407.4878447154642,0.000518684971628655,(-0.0009666068436835518+0j)
32,13.460145235061646,40859317.5881836,0.0005289536542888355,2565350.646425336,2565350.6464246633,1.8485696977109156,0.0,0,0.11907923204667552,0.024596226988614578,-3567986.720449594,-10.840679625009676,6581023939113.0,0.5,0.2912387521223598,12.646195363077359,2.166594266088113,717.601677083863,0.000244140625,True,12.0,-13164086005966.844,1617994.611904117,5141041.361534425,1614039665604.3809,717.601677083863,0.00027261316975710063,(-0.0009361335436134145+0j)
33,13.924830436706543,40859259.13645402,0.0005941912052697324,2565320.787939286,2565320.787938618,1.8413285017043524,0.0,0,0.11900318509528941,0.02460368439587836,-3548643.7613970474,-11.504887067090968,6580870745031.572,0.5,0.29123499552956067,12.564885718716868,38.940919323633366,6314.401058330074,1.52587890625e-05,True,16.0,-13162047878224.729,-3834345.0306312027,102417628.57238695,403488537574977.75,6314.401058330074,-0.0008178847052492115,(-0.0009105064579987885+0j)
34,14.37512493133545,40859864.71111794,0.0026009046219001813,2561844.8501708605,2561844.8501702216,1.7991518123918593,0.0,0,0.11839219583242004,0.02459908258589925,-1322875.7661407832,-29.362495190919788,6563049036345.241,0.5,0.29093179556860915,12.178709319222955,1.3316660391103086,205.08815364875898,0.001953125,True,9.0,-13161741490061.873,310077.20405056584,909911.5323363054,6610544961598.389,205.08815364875898,0.0004223861289877431,(-0.0009222903003922344+0j)
35,14.786123752593994,40859580.52828461,0.0004947813961507228,2561500.116695179,2561500.1166945323,1.8105245949918287,0.0,0,0.11848457621377402,0.02460371235900125,-2629079.6680490947,-15.335961067828464,6561282847827.658,0.5,0.29092189401672275,12.280985206637475,8.106498948058702,1718.5671219495664,6.103515625e-05,True,14.0,-13126098072689.213,-4655911.365408082,6180417.861749085,9187854338335.297,1718.5671219495664,3.035400153019848e-05,(-0.0009807784278320617+0j)
36,15.216285943984985,40859808.47585795,0.0003183437612834975,2560398.6674440294,2560398.6674433686,1.8297893423425862,0.0,0,0.1185908031871681,0.02462477950603543,-2349374.7266315534,-16.932194307108425,6555641336247.332,0.5,0.290848375797074,12.457085237861895,0.6519680354018368,366.5238983859772,0.00048828125,True,11.0,-13122565695654.047,466904.4839581331,405199.2240432397,3974425135100.408,366.5238983859772,0.0003306636060219216,(-0.0009644432637668133+0j)
37,15.613628625869751,40859279.69117328,0.0016636248656332155,2554320.1224337835,2554320.1224331213,1.8294971991796793,0.0,0,0.11829556221273478,0.02466064840637747,-2346338.854275791,-16.619336946780578,6524551287868.307,0.5,0.29054712059861176,12.413408086936172,0.851776685795715,107.68929203912242,0.001953125,True,9.0,-13111282672493.395,-271352.41825393157,1146800.4714863896,8697980522814.375,107.68929203912242,0.000543044912962856,(-0.000937176588141635+0j)
38,16.049382209777832,40860249.85191445,0.0010498840327044857,2551839.997326355,2551839.99732566,1.873571348944663,0.0,0,0.11854694999320874,0.024718521495844695,-3722810.31305641,-10.326372025785034,6511887371952.577,0.5,0.29039226992787553,12.81426350343301,1.0750815287201216,417.1278444001154,0.0009765625,True,10.0,-13049102575735.348,994022.6640308276,249623.2119521009,2476500543215.5723,417.1278444001154,0.00033676485798293397,(-0.0009437718345584171+0j)
39,16.447843313217163,40860648.097095735,0.0006364287948043404,2549678.848928283,2549678.8489275584,1.9128157284138283,0.0,0,0.11874341841372159,0.0247510773354721,-3166781.787654651,-12.128492532130261,6500862232670.107,0.5,0.2902411119158372,13.179645887295871,0.6517031540998509,377.99221602822985,0.0009765625,True,10.0,-13023774743903.889,407805.33227830357,904964.0581564163,1036094013322.4707,377.99221602822985,0.00042144371976782517,(-0.0008847268133034353+0j)
40,16.872801303863525,40860302.31112207,0.0019936264360890187,2541012.105356162,2541012.105355415,1.9389718184435,0.0,0,0.1186180731544499,0.024839306492579396,-2584953.03268976,-15.289101725394367,6456742519564.302,0.5,0.28991960195810945,13.332834189663528,1.0207380552275174,182.89849984544574,0.001953125,True,9.0,-13001724465338.951,-177386.16114970844,1991917.8304434803,6836641437681.887,182.89849984544574,0.00044830456814953687,(-0.0008356721828508212+0j)
41,17.27309775352478,40860510.91745997,0.0010774291120507814,2538348.263180445,2538348.2631797087,1.9238506886284752,0.0,0,0.11835313141931526,0.024857642362250427,-3800911.8280336903,-10.218177783199755,6443211905188.987,0.5,0.28977112420381557,13.163208201983085,1.1032877463170097,212.85177059664014,0.0009765625,True,10.0,-12913485039127.342,213703.83570064727,520921.03556084563,9228207905790.764,212.85177059664014,0.00023109796920726098,(-0.0008164699156419252+0j)
42,17.68983244895935,40858140.70962803,0.0220279470347949,2490150.4674166725,2490150.467416014,1.8008645862656398,0.0,0,0.11537406155308173,0.024815152492404034,-3720564.5800970183,-10.695092718199126,6200849350373.705,0.5,0.287068474029082,11.99609083719473,1.4100114610330354,86.6007714885098,0.015625,True,6.0,-12886423810376.715,-166284.94772248477,3042513.281594991,449746811049.0508,86.6007714885098,0.0020572206847099383,(-0.000837511819426096+0j)
43,18.08545994758606,40857289.81748991,0.001402474562813186,2484320.5410076263,2484320.541006942,1.8341402838691918,0.0,0,0.11547160261117177,0.024867912646195076,-3739821.0504866433,-10.668931519488758,6171848550470.532,0.5,0.286905718205151,12.217761642716559,1.4361346753502795,361.5553514285731,0.0009765625,True,10.0,-12401698700746.174,-871872.5510260822,4123162.215307877,3935725137376.712,361.5553514285731,0.00032491648164019335,(-0.0010004501809166711+0j)
44,18.511716842651367,40857351.76529471,0.0012624371653596719,2479482.791966379,2479482.7919656783,1.8546160155547444,0.0,0,0.11531455815287377,0.024913852918037917,-3466893.2206062037,-11.35810280407762,6147834915655.421,0.5,0.2866056147549652,12.312537736024172,0.646368109806088,151.81435862840203,0.001953125,True,9.0,-12343697100939.83,31575.21021161138,706249.7977705697,8641350121561.928,151.81435862840203,0.0003391530591439672,(-0.0009641469857978689+0j)
45,18.90818738937378,40858882.64168704,0.0018343224511680899,2474087.315562629,2474087.3155618547,1.9479525439750336,0.0,0,0.11588572037037524,0.02502958413468188,-3632599.9299377236,-11.119051525761071,6121108045025.567,0.5,0.28626451476932707,13.175327033424288,0.9391738104698093,452.87513126156307,0.001953125,True,9.0,-12295669831309.61,784563.2783434128,343188.7987515088,1639548312470.9707,452.87513126156307,0.00032781649960187407,(-0.0009492992640873087+0j)
46,19.347234964370728,40860029.23803056,0.0015815271913518858,2472389.9364704243,2472389.936469626,1.977063265916995,0.0,0,0.11599507899044918,0.02507111155490434,-2795688.4398844237,-14.434909226063764,6112711997957.783,0.5,0.28611756905557767,13.457956484163548,1.6194849914245415,296.3604525634472,0.0009765625,True,10.0,-12242216090049.906,1174179.7237949586,2358479.995231933,4239828618436.0312,296.3604525634472,0.0003765244338941369,(-0.000824966042843415+0j)
47,19.74616527557373,40859264.40458674,0.0014419201453343194,2467094.8358174264,2467094.8358166073,2.0009346447557244,0.0,0,0.11581000635473947,0.025106748322066243,-2591490.3776815156,-15.294693013782561,6086556928914.471,0.5,0.28580551677736654,13.536629572588728,0.7382635713816577,207.71020884046797,0.001953125,True,9.0,-12225423995914.338,-391998.6994920736,312293.3470503467,9446669599151.89,207.71020884046797,0.00018658149773059153,(-0.0007903163285797158+0j)
48,20.177889585494995,40858612.75306735,0.0009193189150467957,2465838.685637758,2465838.6856369507,1.9863520513966764,0.0,0,0.11556884094211219,0.025099600124836006,-4562864.436825485,-8.805928042328874,6080360423585.262,0.5,0.28572568990214403,13.306901254141343,1.8827655114957083,618.5534318156019,0.00048828125,True,11.0,-12173113857827.717,-1334983.320811847,378989.83523131907,19074654643347.355,618.5534318156019,-0.00015600188110199802,(-0.0007811299912070691+0j)
49,20.576794147491455,40859101.11206429,0.0010802543420521395,2462718.764131665,2462718.7641308033,2.0516557586340336,0.0,0,0.11592882996721805,0.025160809028306638,-3685080.604575317,-10.988007009383992,6064983711203.444,0.5,0.28556193963232535,13.904867787727138,1.1061807012291942,627.9455680771896,0.0009765625,True,10.0,-12160720847169.299,500063.6909884095,1637305.9155835283,50334303735.19922,627.9455680771896,0.0002698742431617416,(-0.0008081000336067883+0j)
50,21.007660388946533,40858590.68669891,0.00067876316494321,2461690.701543592,2461690.7015427384,2.040749637543182,0.0,0,0.11573668572792205,0.025153845972311874,-3487045.4083424956,-11.482783263598565,6059921110063.472,0.5,0.28548628735398596,13.728165372827641,1.3901071070189392,486.5624891105993,0.00048828125,True,11.0,-12129967422405.666,-1045546.0786217976,429004.5243149809,15593080151216.691,486.5624891105993,-9.962950848055633e-05,(-0.0007385963191276752+0j)
51,21.485233545303345,40858590.686698966,0.0,2461690.7015436003,2461690.7015427467,2.0407496375427088,0.0,0,0.11573668572791963,0.025153845972311923,-2793932.5869388944,-14.199156881963964,6059921110063.516,0.5,0.28548628735398585,13.728165372824613,36.67177626485836,5553.215460139477,8.881784197001252e-16,False,51.0,-12119842220125.72,26209763.20676114,23251693.511991706,174809154480554.25,5553.215460139477,0.0004715441165346436,(-0.0007576102581340628+0j)
52,21.916289567947388,40859294.69790606,0.0008393388968258616,2460207.97728084,2460207.9772799644,2.066339508069952,0.0,0,0.11583613094104529,0.025191870747363895,-2894004.8933759914,-13.431144448420554,6052623291473.468,0.5,0.28541236921565916,13.940737650167629,1.7189663053984119,473.42144969659535,0.00048828125,True,11.0,-12119842220125.809,1442359.8973753548,2909799.7862777496,6108965058918.919,473.42144969659535,0.00017786074266026722,(-0.0007576102604893823+0j)
53,22.31370735168457,40859721.620880485,0.0007623089685372987,2458098.4382474655,2458098.4382465803,2.07741065408655,0.0,0,0.115740131706849,0.025218243361735747,-1698722.1133540012,-23.0617511147248,6042247932111.77,0.5,0.28526782750439744,13.97765694554622,0.7806044799168261,173.4034600662154,0.0009765625,True,10.0,-12105246582945.713,437359.6411964627,484566.69541373546,7694709413580.876,173.4034600662154,0.00035633959299287285,(-0.000734506129987797+0j)
54,22.753642797470093,40860055.55345661,0.0006728683112184836,2456190.781905457,2456190.7819045354,2.1191332460844823,0.0,0,0.11593238915546276,0.025243694478168745,-4129257.0831473875,-9.735488679848617,6032873157114.302,0.5,0.28511799623932643,14.409074655061728,0.6890172126385106,445.1567305374373,0.0009765625,True,10.0,-12084495864222.318,341798.01821314334,1225141.9901125114,726292163096.0703,445.1567305374373,0.0004033526098384812,(-0.0007306262825163588+0j)
55,23.15118956565857,40860283.22941649,0.0012972414138367522,2451342.4044962307,2451342.404495266,2.166534215240438,0.0,0,0.115900396201658,0.02529492129069294,-3982326.1990251266,-10.277702936933325,6009079584078.115,0.5,0.2848139168802939,14.720242809274147,0.6641879083029244,244.80148634678122,0.001953125,True,9.0,-12065746314227.385,116458.3313592746,1395714.730852856,7146262571855.876,244.80148634678122,0.00028181994905806363,(-0.0006868743579777916+0j)
56,23.550446271896362,40860717.284728356,0.0006223891199006112,2449104.537096395,2449104.5370953926,2.2076803501336615,0.0,0,0.11598856707029141,0.025335426336516795,-3190410.6488565593,-12.539964628875223,5998113033622.72,0.5,0.2846645243155556,15.040659332982914,0.637326523573552,383.08955209130545,0.0009765625,True,10.0,-12018159168155.014,444737.4424072583,880898.3505039401,6844900616927.742,383.08955209130545,0.00018978261494398258,(-0.000657835066688796+0j)
57,23.98455023765564,40860543.07252385,0.0002560576241486918,2448235.284197701,2448235.2841966962,2.2098377573096264,0.0,0,0.11594302148498124,0.025338874981461763,-4244472.33267675,-9.422186047397648,5993856006787.162,0.5,0.2846285488449744,15.01697137110431,1.0488120662940181,402.0807627870461,0.000244140625,True,12.0,-11996226067244.225,-713701.8492433785,1700105.384293206,8482862734497.119,402.0807627870461,0.00012281943862448933,(-0.0006298061449556479+0j)
58,24.386009454727173,40860468.80448291,0.0003346845809813486,2447094.3056043796,2447094.3056033724,2.2116786294885014,0.0,0,0.11585859654295831,0.025343967461003872,-4225445.674122474,-9.496723712841703,5988270540517.933,0.5,0.28455709441863264,14.980270914115064,0.6854340497874845,254.0964091645119,0.00048828125,True,11.0,-11987712013573.11,-152186.45671623808,592295.5021575219,8232706879240.6455,254.0964091645119,0.00020779042409505477,(-0.0006317932045608749+0j)
59,24.833502769470215,40860449.85761721,0.0002550979123166754,2446488.041907422,2446488.0419064113,2.215556043315327,0.0,0,0.11581702959650729,0.025351319554672302,-3038821.9074649764,-12.69272527249373,5985303739192.552,0.5,0.28452082683548024,14.963007239555003,1.0448810935591133,456.1441455379847,0.000244140625,True,12.0,-11976541081034.65,-77633.55531938194,1402063.0145273271,15317866290598.234,456.1441455379847,-0.00010305556544309642,(-0.0006348889050808836+0j)
60,25.233214855194092,40860572.084111966,0.00034737040040794644,2445126.0655287793,2445126.0655277483,2.236673271428159,0.0,0,0.11584919328327133,0.025371370771294675,-2658358.9400148853,-14.868494012970581,5978641476324.687,0.5,0.28444825176390093,15.109694154976205,0.7114146096752137,401.65890678868146,0.00048828125,True,11.0,-11970607478383.889,250402.29636325402,1056916.2965151544,5861839654039.075,401.65890678868146,0.00021398326949066828,(-0.0006363540350850801+0j)
61,25.660871028900146,40860621.96978047,0.00024300496059883597,2443826.7245593234,2443826.7245582743,2.2558490089834926,0.0,0,0.1158701159541096,0.025387282941718537,-3545431.1649379395,-11.304567523045375,5972289059666.705,0.5,0.2843761999445148,15.241225734912476,0.49767416096481004,369.08797778064695,0.00048828125,True,11.0,-11957282952648.16,102184.84065383875,452974.8669871609,6282478413497.281,369.08797778064695,0.00021638259725346662,(-0.0006239979808267382+0j)
