iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,second_order_residual,condition_number,Phi,sigma,rho,maxabsLagmult,normNTdirx,normNTdirw,stepsize,linesearch_status,linesearch_counter,linesearch_RightItem,gradfNTdir,NTdir_error1,NTdir_error2,NTdir_norm,NTdir_angle,CovDerivKKT_minabseigval
0,0.0,50000011.0,0.0,20000003.000001,20000003.000000924,1.7497142623868622,0.0,0,0.0,0.0,-19999999.000000898,-1.6180342196515631,400000120000072.75,0.5,1.0,1.0,,,,,,,,,,,,
1,0.4086577892303467,43063797.480082065,0.6215817283110728,9874241.56958949,9874241.569589403,1.3141731698052923,0.0,0,0.0013431801520653076,0.00017909068694203534,-7836824.308656528,-4.916762529096887,97500646574617.25,0.5,0.6723306270050636,1.2450000248750022,1.3327649318767667,3.8531269279680944,0.5,True,1.0,-800000240000130.5,-20000003.112499975,7.778514866838467e-09,0.0,3.8531269279680944,0.25952947273590565,(-0.6180339302088597+0j)
2,0.7868349552154541,42077278.23220687,0.15357376280491716,7470813.458222502,7470813.458222408,1.1842025836561743,0.0,0,0.04802182053898752,0.004009013153443329,-6606610.368632396,-5.804076713599174,55813053727563.81,0.5,0.574380160642711,1.5167804973416301,0.618820201336432,2.945790434163337,0.25,True,2.0,-195001293149227.72,-4532549.889908731,114506.30303920136,4963477305405.719,2.945790434163337,0.15591233166367924,(-0.32222530396374804+0j)
3,1.2099511623382568,41459300.60463216,0.19157696106580813,5776327.642932351,5776327.642932257,1.0380420000905486,0.0,0,0.04392657635832283,0.007999479560103745,-7024109.7897050595,-5.437722791540985,33365961038507.902,0.5,0.4859985112010208,1.7742645239690527,0.771448589757676,3.405184682838263,0.25,True,2.0,-111626107455122.67,-2825922.222018119,759575.8094462191,453967522808.1875,3.405184682838263,0.11541559565176285,(-0.22690731969614322+0j)
4,1.627044677734375,41313314.46495174,0.14426617280575169,4933631.840852414,4933631.840852301,1.047797077822929,0.0,0,0.08840534274498409,0.01714080445739996,-6004947.636771037,-6.399978748771523,24340723141075.445,0.5,0.44571573895632355,2.2731397166594336,1.1595775232574668,7.620546589779985,0.125,True,3.0,-66731922077012.266,-1254359.9813364376,389359.95467382984,9021109450476.953,7.620546589779985,0.038263562052572433,(-0.1252873262230851+0j)
5,2.045164108276367,41054920.45081105,0.20344717171490187,4537973.205372511,4537973.205372407,0.9682181222991698,0.0,0,0.08483330730497576,0.011372306001396137,-3274659.716409642,-11.752896891076695,20593200812681.02,0.5,0.4047082577281113,2.580630561851587,1.6491247036096377,10.886505454741854,0.125,True,3.0,-48681446282147.914,-2159226.8727387693,3105080.219121191,14501601312045.469,10.886505454741854,0.0347840559591071,(-0.06779069347101357+0j)
6,2.433823347091675,40903502.39825549,0.07915749684977556,3960161.0573153673,3960161.057315239,0.9960572639634705,0.0,0,0.10860982157057697,0.013120181359375604,-2256159.2995148893,-7.064932658096548,15682875599878.75,0.5,0.3736765553202635,3.4701618037914885,0.6342140772374477,9.064174182693105,0.125,True,3.0,-41186401625359.586,-1301645.9425338365,293105.14048641914,5122848249020.484,9.064174182693105,0.0376197840503661,(-0.04929587419873237+0j)
7,2.8521809577941895,40822739.08036588,0.11258490344590134,3386865.29698613,3386865.296985954,1.0818617926398115,0.0,0,0.11986371793846708,0.01637607319703026,-1957129.4805536056,-19.6237986551882,11470856539929.916,0.5,0.3417611263891614,4.84641229454175,0.9042051906628755,13.37618092053436,0.125,True,3.0,-31365751199755.406,-703718.2902529635,799559.4402255454,9035517623917.121,13.37618092053436,0.015051594126780045,(-0.022490490829208495+0j)
8,3.2752513885498047,40827966.7806512,0.03689070669197932,3254870.669267717,3254870.669267469,1.2574806208479103,0.0,0,0.1290984537521551,0.018000302647757902,-2378541.125432254,-16.29263036085548,10594183073659.73,0.5,0.33370482921775196,6.38435262620005,1.1810272602257275,54.983831269955346,0.03125,True,5.0,-22941713079858.08,159730.82222073065,1102779.1469617195,2195613562623.7695,54.983831269955346,0.004964352459316878,(-0.009125543337538558+0j)
9,3.6914522647857666,40817588.01478895,0.06542224558676384,3009238.217142402,3009238.2171420543,1.4371291943203055,0.0,0,0.12879384823502965,0.01979127656175099,-1996538.5144090983,-19.545565601837964,9055514647510.18,0.5,0.3200180346520989,8.37341127328513,1.0480613957725253,33.56428788893871,0.0625,True,4.0,-21188366147317.79,-182348.75858177902,913377.7788326638,8156096412526.77,33.56428788893871,0.004349877470881026,(-0.004690086824686792+0j)
10,4.082282543182373,40779245.70191678,0.04392217110502958,2922354.6416408806,2922354.6416406394,1.1753582126190716,0.0,0,0.12122266221713905,0.01935873235054902,-1800143.1381759224,-21.607939654337073,8540156651520.43,0.5,0.31520474634646206,6.178975117050614,2.8119390191421387,152.81057598853346,0.015625,True,6.0,-18111029295018.824,-2472303.815753729,3165023.6505686115,20484567116900.793,152.81057598853346,-0.00018861923650102995,(-0.0024343576419518223+0j)
11,4.506947755813599,40783840.95233417,0.010393061702286151,2915787.8444893006,2915787.844489042,1.2157891817020605,0.0,0,0.12242489647534933,0.019380561302902187,-2818189.260990028,-14.10085716112394,8501818754071.888,0.5,0.31444790373777587,6.605460503714385,2.6606857791103344,120.20828732252497,0.00390625,True,8.0,-17080313303039.37,1175075.5963036767,2112707.4213101105,16667384501847.373,120.20828732252497,0.0035674276845231254,(-0.004158706684288252+0j)
12,4.929889440536499,40784341.01394971,0.034084503397952375,2899921.0050452496,2899921.0050450168,1.150594327923902,0.0,0,0.11889658600507212,0.018806791346024084,-2376913.914866178,-16.151028246933937,8409541835503.094,0.5,0.31120056840206595,6.2581379531071555,2.1819736736464033,40.74790676974079,0.015625,True,6.0,-17003637508142.293,13004.911022512139,2599096.194903849,4212277405203.4414,40.74790676974079,0.006636809710118886,(-0.003622001378044285+0j)
13,5.353756666183472,40828112.96527922,0.10078545588209893,2799448.944920798,2799448.944920509,1.259403869247098,0.0,0,0.1202959345174086,0.02180264669062778,-3070836.1626989986,-12.7950568685181,7836914395218.288,0.5,0.30563153760332684,7.162356600126752,6.471703537061155,82.33672240520627,0.015625,True,6.0,-16819083671004.734,2960742.7354362626,12844337.951288529,619470593532.3105,82.33672240520627,0.0025549778874754524,(-0.004023318842392164+0j)
14,5.757355213165283,40830806.5235147,0.004291416089881603,2787385.4995868388,2787385.499586524,1.3128989011583092,0.0,0,0.12121725524621331,0.02209837929845759,-2399757.573682866,-15.81584528805503,7769517923306.944,0.5,0.3049471796619091,7.652761265760567,1.0986070890351396,133.9737029792036,0.00390625,True,8.0,-15673828790435.176,692111.1286638761,1591759.1639715394,12194024139705.723,133.9737029792036,0.000321991506704562,(-0.0030073827927784838+0j)
