iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,second_order_residual,condition_number,Phi,sigma,rho,maxabsLagmult,stepsize,linesearch_status,linesearch_counter
0,0.0,50000011.0,0.0,20000003.000001,20000003.000000924,1.7497142623868622,0.0,0,0.0,0.0,-19999999.00000094,-1.6180342196515598,400000120000072.75,0.5,1.0,1.0,,,
1,0.055577754974365234,43063797.480228834,0.6215817282915808,9874241.569328757,9874241.56932867,1.3141731698289518,0.0,0,0.0013431802554705018,0.00017909070072939884,-7842713.179363372,-4.879635623890869,97500646569468.2,0.5,0.6723306270288296,1.2450000248750022,0.5,True,1.0
2,0.11519718170166016,42006530.873109385,0.24658022508240227,7402180.024765415,7402180.024765317,1.1992943768050948,0.0,0,0.11525890867119225,0.00768392724474615,-5147269.534074717,-7.451594542038332,54792269119041.29,0.5,0.567793461255748,1.6886889885532086,0.25,True,2.0
3,0.17456603050231934,41690422.70446737,0.07735685060667105,6484356.21193665,6484356.21193654,1.1841551606414005,0.0,0,0.16207718328510848,0.010805145552340566,-4678438.364692044,-8.266242671163203,42046875483285.52,0.5,0.526986300345386,2.2426034666414285,0.125,True,3.0
4,0.22952485084533691,40768926.80929383,0.3151442977995277,3611815.081177805,3611815.081177695,0.8896039094754026,0.0,0,0.05051135152918142,0.0070805195855137525,-2475215.359856914,-15.517985823319222,13045208180624.998,0.5,0.35723581696104395,2.1163409677833442,0.5,True,1.0
5,0.29420924186706543,40664972.103939615,0.05374622191148849,3182488.322975338,3182488.322975221,0.8582789770918734,0.0,0,0.07439014820269081,0.008164297928219755,-2246775.5228322363,-16.879484345684,10128231925875.629,0.5,0.33098078577395673,2.8643704844995224,0.125,True,3.0
6,0.3533303737640381,40579313.97585702,0.06121623059016092,2818606.113382959,2818606.1133828186,0.8824457334681748,0.0,0,0.09061098967503406,0.01230504527897875,-2412543.4640057874,-15.865029064253813,7944540422400.674,0.5,0.303777387739024,4.155991420970094,0.125,True,3.0
7,0.41614484786987305,40560547.03913273,0.014233152709467114,2735363.9567580977,2735363.956757943,0.9130870028862611,0.0,0,0.09336399275309976,0.01304902993701789,-2389956.3531323033,-15.725051299712254,7482215975932.078,0.5,0.2984952527669737,4.891529232284092,0.03125,True,5.0
8,0.48055315017700195,40551700.097375706,0.011338040172146244,2699010.298195178,2699010.29819501,0.9453026874802003,0.0,0,0.09498812016743105,0.013820017567082043,-2981163.809697886,-12.760463005846086,7284656589764.296,0.5,0.295834092658042,5.449105227875654,0.015625,True,6.0
9,0.5492463111877441,40551557.369044706,0.005858714487854325,2691368.548334922,2691368.5483347448,0.9702399476984278,0.0,0,0.09656305495319596,0.013722701726669279,-2689914.593107582,-14.18568305116491,7243464662967.04,0.5,0.2951786124767185,5.8541442317878225,0.00390625,True,8.0
10,0.6158132553100586,40548084.07517248,0.003513293020206843,2671030.508527619,2671030.508527428,1.0031469687802725,0.0,0,0.09790343716659797,0.013672086711719626,-2701697.015304625,-14.07269552887289,7134403977485.848,0.5,0.29393358726882696,6.378684945044229,0.0078125,True,7.0
11,0.7058906555175781,40543778.04507165,0.003422910107721615,2650073.732731896,2650073.732731688,1.0433753892815658,0.0,0,0.09907922237795559,0.013822494122913118,-2790462.2239907966,-13.61612422306482,7022890788916.004,0.5,0.2926942438790529,6.959491612737981,0.0078125,True,7.0
12,0.7743654251098633,40541974.12878398,0.0024366623703900112,2638161.8282308467,2638161.8282306246,1.076569462632031,0.0,0,0.09996372418986135,0.01382356004562837,-2234869.510486985,-16.619706620281697,6959897831934.687,0.5,0.2920766051375331,7.40482754974286,0.00390625,True,8.0
13,0.8437051773071289,40539989.84453597,0.0010075257861290445,2628073.6284015793,2628073.6284013446,1.1037484477709878,0.0,0,0.10045885831174488,0.01388506015949634,-2815106.436021552,-13.372465044022732,6906770996300.134,0.5,0.29148092911659945,7.764721830824085,0.00390625,True,8.0
