iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,mu,num_inner,inner_status,TR_radius,dxtype,normdx,minxfeasi,minyfeasi,compl,mineigvalHw,ared/pred,radius_update,dual_clipping,maxabsLagmult
0,0.0,-0.0007790956399415547,2.9802322387695312e-08,7.944873515824368,7.579678663724635,2.3810683604476797,0.0,0,0,0.0,0.1,,,,,,,,,,,,,1.0
1,0.15557622909545898,-0.0007790956399415547,2.9802322387695312e-08,7.944873515824368,7.579678663724635,2.3810683604476797,0.0,0,0,0.0,0.1,1.0,primal_infeasible,1.0974916771297851,tCG_REACHED_TARGET_LINEAR,0.8937661548147515,-0.025477683112148316,-9.914748178688814,14.846000223787007,,,,,1.0
1,0.3005483150482178,-0.0007790956399415547,2.9802322387695312e-08,7.944873515824368,7.579678663724635,2.3810683604476797,0.0,0,0,0.0,0.1,2.0,primal_infeasible,0.22344153870368788,tCG_EXCEEDED_TR,0.2234415387036881,-0.01911801910880732,-0.24636897887288112,1.590952116341615,,,,,1.0
1,0.3890688419342041,-0.0007790956399415547,2.9802322387695312e-08,7.944873515824368,7.579678663724635,2.3810683604476797,0.0,0,0,0.0,0.1,3.0,primal_infeasible,0.055860384675922026,tCG_EXCEEDED_TR,0.05586038467592203,-0.011005808008785653,0.13514628907819592,3.2941842380553226,,,,,1.0
1,0.533804178237915,-0.0007790956399415547,2.9802322387695312e-08,7.944873515824368,7.579678663724635,2.3810683604476797,0.0,0,0,0.0,0.1,4.0,unsuccessful,0.013965096168980508,tCG_EXCEEDED_TR,0.013965096168980508,0.0007422287946177301,0.139908283399788,1.5264316591654017,,0.08873073650582498,reduced,,1.0
1,0.674372673034668,-0.004261202345135025,0.003491274041956592,119.98998935166152,119.98708512247151,0.8348343695733619,0.0,0,0,0.0,0.1,5.0,successful,0.003491274042245127,tCG_EXCEEDED_TR,0.003491274042245127,0.0014978083185919011,0.141098781980186,0.42792576423406326,,0.37407599396764424,unchanged,False,123.88452501421648
1,0.8704519271850586,-0.0050555383544197054,0.0034912673628073963,10.246881788414681,10.226380248005038,0.6478683577370359,0.0,0,0,0.0,0.1,6.0,successful,0.003491274042245127,tCG_EXCEEDED_TR,0.0034912740422451266,0.0016395520681391543,0.14064849487471381,0.09811185723067137,,1.2026962870254516,expanded,True,60.763483483222274
1,1.011988639831543,-0.010979229129397135,0.006982543348753057,11.908003437919518,11.88865938693407,0.6784717083029285,0.0,0,0,0.0,0.1,7.0,successful,0.006982548084490254,tCG_EXCEEDED_TR,0.006982548084490253,0.0014528945326596375,0.13981880587471693,0.1113547968243865,,0.6086033882533214,unchanged,False,62.89717671306693
1,1.1528611183166504,-0.008399681434213675,0.00698250459270897,10.542064274947323,10.521721060731648,0.6546030073843939,0.0,0,0,0.0,0.1,8.0,successful,0.006982548084490254,tCG_EXCEEDED_TR,0.006982548084490253,0.0020302545021343415,0.13830620429541843,0.020521978520504306,,1.0811224314721448,expanded,False,43.41158348788805
1,1.2941243648529053,-0.014863404104681972,0.013964788648607474,13.797761743549453,13.782654604455944,0.6454929790681126,0.0,0,0,0.0,0.1,9.0,successful,0.013965096168980508,tCG_EXCEEDED_TR,0.013965096168980508,0.0021823166605275607,0.13548393018878443,0.07928478592249782,,1.1673746262250322,expanded,False,43.56944359650531
1,1.4898126125335693,-0.012037752527337405,0.027926078688361975,5.9137974134435805,5.879665922585981,0.6344513267644158,0.0,0,0,0.0,0.1,10.0,successful,0.027930192337961016,tCG_EXCEEDED_TR,0.027930192337961006,0.004420239178726056,0.12894853209873638,0.10814558379995211,,1.0978311648097332,expanded,False,6.99903639023196
1,1.6841669082641602,-0.030939015950455482,0.055833253943585244,15.240334101400798,15.226682750781006,0.6449154435956952,0.0,0,0,0.0,0.1,11.0,successful,0.05586038467592203,tCG_EXCEEDED_TR,0.05586038467592203,0.005770249403266074,-2.6824467811937973,0.1849411701883252,,1.0703793951320084,expanded,True,20.220006011294174
1,1.8776676654815674,-0.03399573407741962,0.11146288074529866,3.4108402636150448,3.3528591974327115,0.6262319906300086,0.0,0,0,0.0,0.1,12.0,successful,0.11172076935184407,tCG_EXCEEDED_TR,0.1117207693518441,0.012901127300082449,-10.633733992634966,0.3250130295091308,,1.1228142690275191,expanded,True,3.97577910153901
1,2.0723109245300293,-0.01243414170292826,0.22168099434258584,5.23941836546991,5.1838372962680745,0.7611410475355278,0.0,0,0,0.0,0.1,13.0,successful,0.22344153870368813,tCG_EXCEEDED_TR,0.2234415387036881,0.01243414170292826,0.06910723584606913,0.3270944880731825,,0.7837973771070401,expanded,False,6.395043336864878
1,2.2669284343719482,-0.027725894461092207,0.43897040819300287,1.607219670539745,1.4984105236070158,0.581309704128217,0.0,0,0,0.0,0.1,14.0,successful,0.44688307740737626,tCG_EXCEEDED_TR,0.4468830774073762,0.02052202777293453,-4.612224426342346,0.9629290614279964,,0.9500125495000097,expanded,True,4.9877881509736355
1,2.4610371589660645,-0.056806984141056276,0.8658440900312274,2.1343053688840947,2.0444637489634196,0.6127212962040015,0.0,0,0,0.0,0.1,15.0,successful,0.8937661548147525,tCG_EXCEEDED_TR,0.8937661548147525,0.016301692250820014,-1.6671740660597514,0.7204187485769075,,0.7647861086646838,expanded,True,8.008235883456416
