iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,mu,num_inner,inner_status,TR_radius,dxtype,normdx,minxfeasi,minyfeasi,compl,mineigvalHw,ared/pred,radius_update,dual_clipping,maxabsLagmult
0,0.0,0.811187178447836,1.1430445635548513e-15,4.415856303022538,3.7268230397365465,2.368665641122175,0.0,0.0,0,0.0,0.1,,,,,,,,,,,,,1.0
1,1.1401934623718262,0.811187178447836,1.1430445635548513e-15,4.415856303022538,3.7268230397365465,2.368665641122175,0.0,0.0,0,0.0,0.1,1.0,primal_infeasible,0.7905694150420949,boundary,0.790569415042095,-0.17074543746698606,0.08649473600413937,0.4719760414740003,-91.61947306783873,,,,1.0
1,1.7191240787506104,0.809364275651508,0.19725837378576258,0.487552027559473,0.2474735514916004,0.42007597037855826,0.0,0.0,0,0.0,0.1,2.0,successful,0.19764235376052375,boundary,0.1976423537605238,0.08246655070041434,0.10219199437971116,0.07855320199011499,-0.08623602602813968,0.5258916179073403,unchanged,False,1.1831103778083183
1,2.2975997924804688,0.8033339778631526,0.1974143769944423,0.40544425871653683,0.05949715278062183,0.40105502831556844,0.0,0.0,0,0.0,0.1,3.0,successful,0.19764235376052375,boundary,0.19764235376052364,0.08490398961459628,0.10991836774489636,0.011649222070748491,-0.02215159515447,0.9170769233942958,expanded,False,1.244424139314574
1,2.8775033950805664,0.8033339778631526,9.08756711201214e-16,0.40544425871653683,0.05949715278062183,0.40105502831556844,0.0,0.0,0,0.0,0.1,4.0,unsuccessful,0.3952847075210475,boundary,0.39528470752104805,0.06992357612392341,0.11050665882773371,0.04169690161583592,-0.08508133447535413,-0.024219716006241853,reduced,,1.244424139314574
1,3.4577746391296387,0.801122434696211,0.09879811662046885,0.40062154272238965,0.021929193679671718,0.4000209131505838,0.0,0.0,0,0.0,0.1,5.0,successful,0.09882117688026187,boundary,0.0988211768802619,0.08006777789987085,0.11060752150936601,0.0011143071376304014,-0.009238432918729342,0.9912593422201835,expanded,False,1.2565977633181205
1,4.035274982452393,0.7973072382021592,0.19748140765235622,0.40062370710276035,0.022124840981560603,0.40001230744103233,0.0,0.0,0,0.0,0.1,6.0,successful,0.19764235376052375,boundary,0.19764235376052386,0.08088724035355939,0.11053370840433924,0.003302640446428091,-0.01067307262800867,0.9922840756514238,expanded,False,1.2561954726480091
1,4.618483781814575,0.7909940129025046,0.39389515699772126,0.40637414191236354,0.06951481258749162,0.4003843578936816,0.0,0.0,0,0.0,0.1,7.0,successful,0.3952847075210475,boundary,0.39528470752104755,0.08642202447175319,0.11049689172723352,0.01705195031147648,-0.029953195060714467,0.785867944843783,expanded,False,1.255740570145856
1,5.184405088424683,0.7909940129025046,1.169692537589555e-15,0.40637414191236354,0.06951481258749162,0.4003843578936816,0.0,0.0,0,0.0,0.1,8.0,primal_infeasible,0.790569415042095,boundary,0.790569415042095,-0.14423381214701808,0.11051621549238293,0.37696988241794943,-32.07548092352671,,,,1.255740570145856
1,5.763140678405762,0.7880252112529029,0.19742866402836343,0.40131922436892703,0.03152945111269139,0.4000787591969981,0.0,0.0,0,0.0,0.1,9.0,successful,0.19764235376052375,boundary,0.1976423537605237,0.08243902286780495,0.11050569593795959,0.005811101606506633,-0.015424351782899075,0.938949331922409,expanded,False,1.256314848162096
