iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,maxabsLagmult
74,5.844812631607056,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,6.369252716499964e+29,20.0
75,5.847508192062378,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,2.1230842388333212e+30,20.0
76,5.8502068519592285,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,7.076947462777738e+30,20.0
77,5.8529298305511475,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,2.3589824875925796e+31,20.0
78,5.855628252029419,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,7.8632749586419325e+31,20.0
79,5.858319282531738,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,2.621091652880644e+32,20.0
80,5.861016273498535,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,8.736972176268813e+32,20.0
81,5.863706827163696,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,2.9123240587562713e+33,20.0
82,5.866424798965454,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,9.707746862520905e+33,20.0
83,5.869126319885254,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,3.2359156208403017e+34,20.0
84,5.871845960617065,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,1.0786385402801006e+35,20.0
85,5.874551773071289,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,3.595461800933669e+35,20.0
86,5.877245903015137,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,1.1984872669778897e+36,20.0
