iteration,time,cost,distance,residual,gradnorm,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,stepsize,linesearch_status,linesearch_counter
0,0.0,-0.47320138748468077,1.4901161193847656e-08,1.963210624843112,1.6894365798978317,0,0.0,1.0,,1.0,,,,,,,,,,
1,0.008997917175292969,-1.2585082745672187,0.6856888728097357,0.30267200440518793,0.30267200440518716,0,0.0,1.6519809172150715,1.1519809172150715,1.1519809172150715,optimal,6.0,3.8788872431582924e-08,-0.6575500361019377,-0.6575500748908102,1.0557826743656677e-16,4.007148567567869e-15,1.0,1.0,0.0
2,0.01833176612854004,-1.2645706352661712,0.08985389669815419,0.004804524972184705,0.004804524972184588,0,0.0,1.6519809172150715,1.0314064320013558,1.0314064320013558,optimal,7.0,1.134496413965175e-09,-0.006111571056994541,-0.006111572191490951,1.4179594093577052e-16,6.5966301036283555e-15,1.0,1.0,0.0
3,0.02702498435974121,-1.2645710944916775,0.0008804687127840498,4.4755803137071283e-07,4.4755684289469353e-07,0,0.0,1.6519809172150715,1.0269007976735527,1.0269007976735527,optimal,7.0,1.0997633659416108e-09,-4.592258621510749e-07,-4.603256255170364e-07,2.375945114179957e-16,1.8499234178154437e-14,1.0,1.0,0.0
4,0.03460097312927246,-1.2645710944916775,0.0,1.3263604467515363e-09,8.337378622637337e-10,0,0.0,1.6519809172150715,1.0269003998759973,1.0269003998759973,optimal,7.0,1.0999248055264668e-09,7.961898483284966e-15,-1.0999168436279776e-09,2.2828272586278426e-16,8.494923780063415e-15,0.030903154382632643,1.0,33.0
5,0.042874813079833984,-1.2645710944916775,0.0,1.3201045918965105e-09,8.237493046921306e-10,0,0.0,1.6519809172150715,1.0269003998759736,1.0269003998759736,optimal,7.0,1.0999248055234602e-09,7.715859201506161e-15,-1.0999170896642237e-09,1.751736788020777e-16,2.8075627844360107e-14,0.011972515182562033,1.0,42.0
6,0.051393985748291016,-1.2645710944916775,0.0,1.3168461147158306e-09,8.185172391211687e-10,0,0.0,1.6519809172150715,1.026900399875997,1.026900399875997,optimal,7.0,1.0999248055227265e-09,7.623484068898759e-15,-1.0999171820386277e-09,1.3044196593281882e-16,1.5209815012067417e-14,0.00636268544113595,1.0,48.0
7,0.059996843338012695,-1.2645710944916775,0.0,1.3157175706844971e-09,8.167003770205224e-10,0,0.0,1.6519809172150715,1.0269003998760027,1.0269003998760027,optimal,7.0,1.0999248055222044e-09,7.574979922967214e-15,-1.0999172305422766e-09,1.8023831570081121e-16,3.958937516822809e-15,0.0022185312344622636,1.0,58.0
8,0.06738781929016113,-1.2645710944916775,0.0,1.309002864857501e-09,8.058382436690655e-10,0,0.0,1.6519809172150715,1.026900399876005,1.026900399876005,optimal,7.0,1.0999248055218884e-09,7.558175114879733e-15,-1.0999172473467673e-09,1.1053716655022865e-16,4.2468656028841444e-15,0.013302794647291147,1.0,41.0
9,0.07757210731506348,-1.2645710944916775,0.0,1.3090124392648378e-09,8.058537962342249e-10,0,0.0,1.6519809172150715,1.0269003998760644,1.0269003998760644,optimal,7.0,1.099924805521523e-09,7.45763370675802e-15,-1.0999173478878206e-09,9.71852951268512e-17,5.865062466921929e-14,4.295799664301754e-08,1.0,161.0
