iteration,time,cost,distance,residual,gradnorm,maxviolation,meanviolation,Phi,sigma,rho,maxabsLagmult,stepsize,linesearch_status,linesearch_counter
0,0.0,-0.47320138748468077,1.4901161193847656e-08,1.963210624843112,1.6894365798978317,0,0.0,10.054337722335156,0.5,1.0,1.0,,,
1,0.008601903915405273,-0.7231783480501811,0.33097587973901904,1.1621924515010755,0.7013666155273535,0,0.0,3.781739388207297,0.5,0.7305960967026264,1.1478502355633904,0.5,True,1.0
2,0.014850854873657227,-0.6640634159173678,0.20391421558915615,0.8406875363456822,0.061527907746130345,0,0.0,0.7372631380368464,0.5,0.38189240977569006,1.213644621681811,1.0,True,0.0
3,0.021900177001953125,-0.7955685173538041,0.1197135013405186,0.44474276478876773,0.06863815265330622,0,0.0,0.2006419089809451,0.5,0.1972625144832513,0.9282431848228587,1.0,True,0.0
4,0.028182029724121094,-1.0507009850564881,0.21979453730422416,0.21939540472879426,0.03122728734301453,0,0.0,0.05109568277945893,0.47544036616363916,0.09888884216209681,0.9918327331430011,1.0,True,0.0
5,0.03453803062438965,-1.1504542802366513,0.09941658542294128,0.11319129089091066,0.003995868423521871,0,0.0,0.012964204683349854,0.3374321583039378,0.05068050121854838,0.9869591665003429,1.0,True,0.0
6,0.04114103317260742,-1.2215845395508662,0.08192656251943704,0.043386127816451646,0.0032130190949058997,0,0.0,0.0019063033998233726,0.2089527088126596,0.019204954936025604,0.9997066904553701,1.0,True,0.0
7,0.04763603210449219,-1.2541540848490353,0.051530499234902306,0.011788299035830552,0.0014024539671114486,0,0.0,0.00014109510444802392,0.10898782515339592,0.005026113894138491,1.013723505512015,1.0,True,0.0
8,0.05448794364929199,-1.2632981091356172,0.024602168559313478,0.002155212467066168,0.0003340376417988386,0,0.0,4.739318933895797e-06,0.04665830781412603,0.0008135086850414117,1.0231358716559085,1.0,True,0.0
9,0.06081223487854004,-1.2644980689464431,0.007898018095499308,0.00021634308102506068,3.6215500262372785e-05,0,0.0,4.777999241001583e-08,0.014784666043182992,6.948075741131493e-05,1.0264439505620377,1.0,True,0.0
10,0.06715822219848633,-1.2645690975347008,0.0010515137759365691,4.577067276974872e-06,6.5977992221933e-07,0,0.0,2.125520056250928e-11,0.002147169363217891,1.619985144768793e-06,1.02689098928813,1.0,True,0.0
11,0.07598018646240234,-1.2645710876071135,2.227542185699056e-05,8.45376194494076e-09,2.938671148025991e-10,0,0.0,7.152764510417636e-17,9.196413319301268e-05,3.739653694685965e-09,1.0269003913348915,1.0,True,0.0
12,0.08304190635681152,-1.2645710945310362,2.580956827951785e-08,7.698943394362541e-13,8.862022276682137e-16,0,0.0,5.927373052926941e-25,8.774362351975951e-07,3.443060410420158e-13,1.0269004024829254,1.0,True,0.0
13,0.09076213836669922,-1.2645710945317241,0.0,9.743593349068667e-16,9.743591007281122e-16,0,0.0,1.0356851547364941e-30,3.190119397359377e-08,3.0210874072802684e-19,1.0269004024837247,1.0,True,0.0
14,0.09826803207397461,-1.2645710945317241,0.0,9.294251227726249e-16,9.29425061397522e-16,0,0.0,8.51615093545312e-31,3.037811609529942e-08,1.5105437518282823e-19,1.0269004024837243,0.5,True,1.0
15,0.11765408515930176,-1.2645710945317241,0.0,9.29425122772623e-16,9.2942506139752e-16,0,0.0,8.516150935453094e-31,3.03781160952994e-08,1.5105437518063007e-19,1.0269004024837243,1.4551915228366852e-11,True,36.0
16,0.14010882377624512,-1.2645710945317241,0.0,9.29425122772623e-16,9.2942506139752e-16,0,0.0,8.516150935453094e-31,3.03781160952994e-08,1.5105437518062995e-19,1.0269004024837243,8.881784197001252e-16,False,51.0
17,0.14753293991088867,-1.2645710945317241,0.0,9.292625366190244e-16,9.292625020894884e-16,0,0.0,8.513335483288896e-31,3.0375605021376554e-08,1.132907825326593e-19,1.0269004024837243,0.25,True,2.0
18,0.1551799774169922,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696767e-20,1.0269004024837243,0.5,True,1.0
19,0.1763780117034912,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696762e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
20,0.19742488861083984,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696758e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
21,0.21875810623168945,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696753e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
22,0.24110007286071777,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696747e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
23,0.2626688480377197,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696742e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
24,0.2838292121887207,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696737e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
25,0.30523085594177246,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696732e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
26,0.32610392570495605,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696726e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
27,0.34719395637512207,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696721e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
28,0.3682270050048828,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696717e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
29,0.39087390899658203,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696711e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
30,0.4125330448150635,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696706e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
31,0.433945894241333,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696701e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
32,0.45578885078430176,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696696e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
33,0.4771549701690674,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.66453929869669e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
34,0.49794697761535645,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696684e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
35,0.5181419849395752,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696678e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
36,0.6091179847717285,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696675e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
37,0.6474509239196777,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696669e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
38,0.6679790019989014,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696664e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
39,0.6883969306945801,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696659e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
40,0.7089087963104248,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696654e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
41,0.7292728424072266,-1.2645710945317241,0.0,9.22654931199134e-16,9.226549225049288e-16,0,0.0,8.389351929285125e-31,3.026440243754391e-08,5.664539298696649e-20,1.0269004024837243,8.881784197001252e-16,False,51.0
